k	term	gloss	blind	missing
w1955	unnecessary	לא הכרחי	מיותר	1:מיותר
w1974	wisdom	חכמה, בינה	חוכמה	1:חוכמה
w1989	ally (allies)	בן-ברית (בנות-ברית)	בעל ברית	1:בעל ברית
w1992	announcement	הכרזה	הודעה	1:הודעה
w2005	as far as	לגבי, בכל הנוגע ל-	ככל ש	1:ככל ש
w2010	attorney	עורך-דין	עורך דין	1:עורך דין
w2018	bent	כופף	כפוף | נחוש	1:כפוף | 2:נחוש
w2019	berry	גרגרי יער	גרגר | פרי יער	1:גרגר | 2:פרי יער
w2021	biblical	תנ"כי	מקראי | תנכי	1:מקראי | 2:תנכי
w2024	blew	נשב (רוח), ניפח, פוצץ	לנשוב	1:לנשוב
w2027	bold	אמיץ, חצוף; מודגש	נועז | מודגש	1:נועז
w2030	broad	נרחב	רחב | כללי	1:רחב | 2:כללי
w2035	capital	עיר בירה; אות גדולה; ראשי, משמעותי; הון	בירה | הון | ראשי	1:בירה
w2038	clash	התנגשות	להתנגש | התנגשות	1:להתנגש
w2044	collapse	להתמוטט	לקרוס | להתמוטט | קריסה	1:לקרוס | 3:קריסה
w2050	compromise	להתפשר	פשרה | להתפשר | לסכן	1:פשרה | 3:לסכן
w2055	confession	וידוי	הודאה | וידוי	1:הודאה
w2058	contrary	להפך, בניגוד ל-	מנוגד | הפך	1:מנוגד | 2:הפך
w2061	correlate	לתאם, לקשר	להתאים | לקשר	1:להתאים
w2074	decrease	ירידה, הפחתה; להפחית, לצמצם	לרדת | להפחית | ירידה	1:לרדת
w2078	department-store	חנות כלבו	כלבו	1:כלבו
w2082	differ	להיבדל, לחלוק	להיות שונה | לחלוק על	1:להיות שונה | 2:לחלוק על
w2084	discomfort	אי-נוחות	אי נוחות | מבוכה	1:אי נוחות | 2:מבוכה
w2086	disloyal	לא נאמן	בוגדני | לא נאמן	1:בוגדני
w2088	doorstep	מפתן הדלת	מפתן	1:מפתן
w2094	eccentric	מוזר, אקסצנטרי	תמהוני | משונה	1:תמהוני | 2:משונה
w2098	encounter	להיתקל ב-, לפגוש; מפגש, היתקלות	להיתקל | מפגש	1:להיתקל
w2102	engagement	התחייבות; אירוסין	מעורבות | אירוסין	1:מעורבות
w2114	every now and then	לפעמים	מדי פעם	1:מדי פעם
w2115	evolutionary	התפתחותי	אבולוציוני	1:אבולוציוני
w2123	fancy	מחבב; מגונדר	מפואר | לחבב	1:מפואר | 2:לחבב
w2124	faulty	לקוי, לא תקין	פגום | לקוי	1:פגום
w2127	finalize	לסכם, לגבש	לסיים | לגבש	1:לסיים
w2129	for the most part	בדרך-כלל	בעיקר	1:בעיקר
w2131	forgettable	שאפשר לשכוח אותו	נשכח	1:נשכח
w2135	fortunate	בעל מזל	בר מזל	1:בר מזל
w2137	fulfill	להגשים	למלא | להגשים	1:למלא
w2139	gamble	הימר	להמר | הימור	1:להמר | 2:הימור
w2143	given that	בהתחשב בכך	בהינתן ש | מאחר ש	1:בהינתן ש | 2:מאחר ש
w2144	graduate	לסיים לימודים	בוגר | לסיים לימודים	1:בוגר
w2145	gross	ברוטו, גלמי; ענק, דוחה	גועלי | ברוטו | גס	1:גועלי | 3:גס
w2148	gymnasium	אולם ספורט	אולם התעמלות | חדר כושר	1:אולם התעמלות | 2:חדר כושר
w2150	hardly ever	כמעט אף פעם	לעיתים רחוקות	1:לעיתים רחוקות
w2151	harmless	שאינו מזיק	לא מזיק | תמים	1:לא מזיק | 2:תמים
w2152	harsh	נוקשה, אכזרי	קשה | חמור	1:קשה | 2:חמור
w2154	hilarious	מצחיק	מצחיק מאוד | משעשע	1:מצחיק מאוד | 2:משעשע
w2155	horrific	אָיוֹם	מזעזע | איום	1:מזעזע
w2162	in a word	במילה אחת	בקיצור | במילה אחת	1:בקיצור
w2163	in contrast to	בניגוד ל-	בניגוד ל	1:בניגוד ל
w2164	in favor of	לטובת	בעד	1:בעד
w2167	inclusive	כולל	מכיל | כוללני	1:מכיל | 2:כוללני
w2169	indicate	להצביע על	לציין | להצביע על	1:לציין
w2171	influential	רב-השפעה	משפיע	1:משפיע
w2184	involve	לערב	לכלול | לערב	1:לכלול
w2190	lane	מסלול	נתיב	1:נתיב
w2193	legalize	להפוך חוקי, לאשר	להכשיר | להסדיר	1:להכשיר | 2:להסדיר
w2197	limitation	מגבלה	הגבלה | מגבלה	1:הגבלה
w2202	luggage	מזוודות	כבודה | מזוודה	1:כבודה | 2:מזוודה
w2206	maintain	לשמור על, לתחזק; לטעון, לגרוס	לשמור | לתחזק | לטעון	1:לשמור
w2216	migrate	להגר	לנדוד | להגר	1:לנדוד
w2219	modernize	להפוך למודרני	לחדש | לעדכן	1:לחדש | 2:לעדכן
w2227	negotiate	לשאת ולתת	לנהל מו"מ | להתמקח	1:לנהל מו"מ | 2:להתמקח
w2229	nominated	מועמד	למנות	1:למנות
w2234	occur	קרה, התרחש	להתרחש | לקרות	1:להתרחש | 2:לקרות
w2238	on the contrary	להפך, אדרבא, נהפוך הוא	להיפך	1:להיפך
w2239	once in a while	מידי פעם	מדי פעם | לפעמים	1:מדי פעם | 2:לפעמים
w2241	oppose	להתנגד ל-, להתייצב נגד	להתנגד	1:להתנגד
w2252	passive	סביל	פסיבי | סביל	1:פסיבי
w2255	permit	אישור, רישיון; להרשות	להתיר | רישיון	1:להתיר
w2263	possession	בעלות, חזקה	רכוש | חזקה	1:רכוש
w2275	progressive	מתקדם ומתמשך	מתקדם | פרוגרסיבי	1:מתקדם | 2:פרוגרסיבי
w2281	rather	עדיף; למדי	די | למדי	1:די
w2282	recall	להיזכר; להחזיר, להשיב צלצול	לזכור | להיזכר	1:לזכור
w2283	refund	החזר	החזר כספי | להחזיר	1:החזר כספי | 2:להחזיר
w2286	remains	נשאר, עדיין; שרידים	להישאר | שריד	1:להישאר | 2:שריד
w2289	reservation	שמורה; שריון מקום	הזמנה | הסתייגות	1:הזמנה | 2:הסתייגות
w2292	result in	הסתיים ב-	לגרום ל | להוביל ל	1:לגרום ל | 2:להוביל ל
w2299	scale	מאזניים; לעלות, לטפס; סולם, סקלה	קנה מידה | מאזניים | לטפס	1:קנה מידה
w2312	sober	פיכח	מפוכח | רציני	1:מפוכח | 2:רציני
w2317	spectacular	מדהים	מרהיב | מרשים	1:מרהיב | 2:מרשים
w2318	spontaneously	ללא תכנון	ספונטנית	1:ספונטנית
w2322	steam	אד, לאדות	קיטור | אדים | לאדות	1:קיטור | 2:אדים
w2324	strike	הכה, התקיף; שביתה	להכות | שביתה | לפגוע	1:להכות | 3:לפגוע
w2326	subjective	אישי, משוחד בדעתו	סובייקטיבי	1:סובייקטיבי
w2328	superior	עליון	עדיף | ממונה	1:עדיף | 2:ממונה
w2333	tend	נוטה	לנטות | לטפל	1:לנטות | 2:לטפל
w2336	throughout	במשך, בכל	לאורך כל | בכל רחבי	1:לאורך כל | 2:בכל רחבי
w2338	to begin with	בתור התחלה	ראשית	1:ראשית
w2339	trace	סימן, עִקְבָה; לעקוב, למצוא	שריד | לאתר	1:שריד | 2:לאתר
w2361	vertical	מאונך	אנכי	1:אנכי
w2377	adore	העריץ, אהב	להעריץ | לאהוב מאוד	1:להעריץ | 2:לאהוב מאוד
w2382	align	להסתדר בשורה	ליישר | להתאים	1:ליישר | 2:להתאים
w2391	artifact	חפץ מעשה ידי אדם, מוצג ארכיאולוגי	חפץ | ממצא	1:חפץ | 2:ממצא
w2403	brainwash	לשטוף את המוח	לשטוף מוח	1:לשטוף מוח
w2409	circuit	מסלול, להקיף; מעגל חשמלי	מעגל | מסלול	1:מעגל
w2413	coastline	קו/רצועת חוף	קו חוף | חוף	1:קו חוף | 2:חוף
w2423	compost	זבל אורגני	קומפוסט	1:קומפוסט
w2436	consumers	צרכנים	צרכן	1:צרכן
w2437	continuous	מתמשך	רציף	1:רציף
w2451	dairy	מחלבה	חלבי | מחלבה	1:חלבי
w2459	desirable	נחשק	רצוי | מבוקש	1:רצוי | 2:מבוקש
w2468	disapproving	לא מאשר, לא מסכים, לא מרוצה	להתנגד | לגנות	1:להתנגד | 2:לגנות
w2477	distract	להסיח את הדעת	להסיח דעת	1:להסיח דעת
w2482	downhill	מדרון, מורד	במורד | מתדרדר	1:במורד | 2:מתדרדר
w2483	drain	לנקז; ניקוז	לרוקן | נקז	1:לרוקן | 2:נקז
w2484	drift	זרם, סחף	לנדוד | ערימה | נטייה	1:לנדוד | 2:ערימה | 3:נטייה
w2502	equivalent	מקבילה	שווה ערך | מקבילה	1:שווה ערך
w2503	erosion	סחף, כרסום	שחיקה	1:שחיקה
w2504	essentially	בעיקרו, במהותו	בעצם	1:בעצם
w2509	evident	ברור, נראה לעין	ניכר | ברור	1:ניכר
w2511	exclude	לא לכלול, להוציא מן הכלל, להדיר; למנוע כניסה	להחריג | לא לכלול	1:להחריג
w2523	farther	רחוק יותר, הלאה, יותר	רחוק	1:רחוק
w2527	findings	ממצאים	ממצא	1:ממצא
w2529	flee, fled	להימלט, נמלט	לברוח | להימלט	1:לברוח
w2535	frequent	תדיר, שכיח	תכוף | לפקוד	1:תכוף | 2:לפקוד
w2538	govern	למשול	לשלוט | לנהל	1:לשלוט | 2:לנהל
w2541	grapes	ענבים	ענב	1:ענב
w2545	guidance	הנחיה, הכוונה, הנהגה	הדרכה | הכוונה	1:הדרכה
w2550	herb	עשב	עשב תיבול	1:עשב תיבול
w2558	idolize	להעריץ	להאליל | להעריץ	1:להאליל
w2571	initiated	יזם, התחיל, אִתְחֵל	ליזום | להתחיל	1:ליזום | 2:להתחיל
w2581	invaders	פולשים	פולש	1:פולש
w2584	inventory	מצאי	מלאי | רשימת מלאי	1:מלאי | 2:רשימת מלאי
w2587	just as... so...	בדיוק כמו... גם	כשם ש... כך	1:כשם ש... כך
w2596	malfunction	כשל, ליקוי	תקלה | להתקלקל	1:תקלה | 2:להתקלקל
w2597	manufacture	ייצר	לייצר | ייצור	1:לייצר | 2:ייצור
w2606	misbehave	להתנהג בצורה לא הולמת	להתנהג רע | להשתובב	1:להתנהג רע | 2:להשתובב
w2615	occasional	מדי פעם, מקרי	מזדמן | לא תדיר	1:מזדמן | 2:לא תדיר
w2616	occasionally	מידי פעם	מדי פעם | לעיתים	1:מדי פעם | 2:לעיתים
w2617	occasions	הזדמנויות, מקרים	אירוע | הזדמנות	1:אירוע | 2:הזדמנות
w2618	offender	פושע, פוגע	עבריין	1:עבריין
w2623	outlaw	להוציא אל מחוץ לחוק; פורע חוק	לאסור | פורע חוק	1:לאסור
w2626	overlaps	חופף	לחפוף | חפיפה	1:לחפוף | 2:חפיפה
w2627	overly	יותר מידי	יותר מדי	1:יותר מדי
w2630	participate	השתתף	להשתתף	1:להשתתף
w2640	predict	לצפות מראש	לחזות | לנבא	1:לחזות | 2:לנבא
w2641	prediction	חיזוי, ניבוי	תחזית | ניבוי	1:תחזית
w2647	proportion	שיעור, מידה	יחס | פרופורציה | חלק	1:יחס | 2:פרופורציה | 3:חלק
w2649	publicized	פורסם	לפרסם	1:לפרסם
w2654	quake	רעד	לרעוד | רעידת אדמה	1:לרעוד | 2:רעידת אדמה
w2655	qualify	להיות מוסמך	להעפיל | להסמיך	1:להעפיל | 2:להסמיך
w2656	railroad	מסילת רכבת	מסילת ברזל | רכבת	1:מסילת ברזל | 2:רכבת
w2664	refer	מתייחס	להתייחס | להפנות	1:להתייחס | 2:להפנות
w2668	regain	להשיג מחדש	להשיב | לשחזר	1:להשיב | 2:לשחזר
w2669	regardless	למרות, ללא קשר	בכל זאת | ללא קשר	1:בכל זאת
w2674	relating	מתייחס	להתייחס | לספר	1:להתייחס | 2:לספר
w2676	relocate	למקם מחדש	לעבור | להעביר	1:לעבור | 2:להעביר
w2681	resigned	התפטר	להתפטר | משלים	1:להתפטר | 2:משלים
w2685	revert	לחזור למצב קודם	לחזור	1:לחזור
w2687	revision	בדיקה מחדש לצורך שיפור	תיקון | עדכון	1:תיקון | 2:עדכון
w2688	revived	קם לתחייה, התחדש	להחיות | להתאושש	1:להחיות | 2:להתאושש
w2700	shuttle	מעבורת	הסעה | מעבורת	1:הסעה
w2701	sibling	אח או אחות	אח | אחות	1:אח | 2:אחות
w2705	simultaneously	בו זמנית	בו-זמנית | במקביל	1:בו-זמנית | 2:במקביל
w2711	specify	לפרט	לציין | לפרט	1:לציין
w2715	stalk	גבעול, קנה; לעקוב/לארוב אחרי, להטריד	לעקוב אחרי | גבעול	1:לעקוב אחרי
w2717	stunned	נדהם, היה המום	המום	1:המום
w2719	suburb	פרבר	פרוור	1:פרוור
w2722	summits	פסגות	פסגה | ועידת פסגה	1:פסגה | 2:ועידת פסגה
w2741	troop	יחידה צבאית; חייל	יחידה	1:יחידה
w2744	unconcerned	לא מודאג	אדיש | לא מודאג	1:אדיש
w2745	unconventional	לא שיגרתי	לא שגרתי	1:לא שגרתי
w2751	utilize	השתמש	להשתמש ב | לנצל	1:להשתמש ב | 2:לנצל
w2752	validate	אימת, נתן תוקף	לאמת | לאשר	1:לאמת | 2:לאשר
w2755	vary	משתנה	להשתנות	1:להשתנות
w2757	vest	אפודה	אפוד | גופייה	1:אפוד | 2:גופייה
w2761	whether... or...	בין אם... או...	בין אם... ובין אם...	1:בין אם... ובין אם...
w2762	widely	בצורה נרחבת	בהרחבה	1:בהרחבה
w2771	acknowledge	להכיר ב-, להודות ב-; לאשר קבלה	להודות | לאשר	1:להודות | 2:לאשר
w2774	adjust	להתרגל; לכוונן	להתאים	1:להתאים
w2775	admirable	נערץ, ראוי להערצה	מעורר הערצה | מרשים	1:מעורר הערצה | 2:מרשים
w2776	advancement	התקדמות; מקדמה	קידום | התקדמות	1:קידום
w2777	advocate	תומך, מצדד; פרקליט; לדגול ב-, לתמוך בגלוי ב-	לתמוך | תומך	1:לתמוך
w2781	airborne	נישא באוויר	מוטס | באוויר	1:מוטס | 2:באוויר
w2784	alternate	חלופי; התחלף, עבר מדבר אחד לשני וחזרה	להתחלף | חלופי	1:להתחלף
w2789	appeal	לבקש; מדבר אל, מושך; לערער	משיכה | לפנות | לערער	1:משיכה | 2:לפנות
w2790	applaud	מחא כפיים, הריע	למחוא כפיים | להריע	1:למחוא כפיים | 2:להריע
w2793	arise	להופיע, לעלות	לצוץ | להתעורר	1:לצוץ | 2:להתעורר
w2803	beware	היזהר	להיזהר	1:להיזהר
w2806	breed	מין, גזע; להרביע, להפרות	לגדל | זן	1:לגדל | 2:זן
w2810	cater	לספק	לספק קייטרינג | לשרת	1:לספק קייטרינג | 2:לשרת
w2815	certainty	וודאות	ודאות	1:ודאות
w2820	coffin	ארון מתים	ארון קבורה	1:ארון קבורה
w2822	cologne	קולון, בושם (של גבר)	אודקולון | בושם	1:אודקולון
w2832	considering	בהתחשב ב-, לאור; (כפועל) שוקל	בהתחשב ב | לאור	1:בהתחשב ב
w2834	continuity	המשכיות, רצף הגיוני	רציפות | המשכיות	1:רציפות
w2838	conveniently	באופן נוח	בנוחות	1:בנוחות
w2844	cripple	להטיל מום	לשתק | נכה	1:לשתק | 2:נכה
w2845	crucial	מכריע, קריטי	חיוני | קריטי	1:חיוני
w2849	dealt	עסק ב, חולק (קלפים, ניירת)	להתמודד | לטפל | לחלק	1:להתמודד | 2:לטפל | 3:לחלק
w2850	decay	ריקבון	להירקב | ריקבון	1:להירקב
w2853	deflate	להוציא אוויר מ-	לרוקן | להחליש	1:לרוקן | 2:להחליש
w2858	descend	ירד, הדרדר	לרדת	1:לרדת
w2859	despair	להתייאש	ייאוש | להתייאש	1:ייאוש
w2860	despise	לתעב	לבוז | לתעב	1:לבוז
w2864	discontent	חוסר שביעות רצון	אי שביעות רצון	1:אי שביעות רצון
w2865	discourage	לשכנע שלא לעשות משהו	לייאש | להניא	1:לייאש | 2:להניא
w2866	disgrace	בושה	חרפה | קלון	1:חרפה | 2:קלון
w2868	disposable	חד-פעמי	חד פעמי	1:חד פעמי
w2872	distinct	ברור, נפרד	מובהק | נבדל	1:מובהק | 2:נבדל
w2873	distinctive	מיוחד	ייחודי	1:ייחודי
w2875	disuse	חוסר שימוש	אי-שימוש	1:אי-שימוש
w2879	dread	פחד, לפחד	לחשוש | אימה	1:לחשוש | 2:אימה
w2880	due	צריך להיעשות, זמנו הגיע; בשל	מגיע | צפוי	1:מגיע | 2:צפוי
w2881	eager	נלהב, משתוקק, כמה	להוט | נלהב	1:להוט
w2884	emerge	להגיח, להופיע	לצוץ | להופיע	1:לצוץ
w2887	endurance	כוח סבל	סיבולת	1:סיבולת
w2889	enhance	להעצים	לשפר | להעצים	1:לשפר
w2890	enthusiast	חובב נלהב	חובב	1:חובב
w2894	excessive	יתר, מוגזם	מופרז	1:מופרז
w2897	exile	להגלות, לגרש	גלות | להגלות | גולה	1:גלות | 3:גולה
w2906	fine	קטן, עדין, דקיק; משביע רצון; משובח, מצוין; קנס	בסדר | קנס | עדין	1:בסדר
w2907	firm	מוצק; נחוש, תקיף; חברה (פירמה)	יציב | תקיף | חברה	1:יציב
w2908	footage	קטע צילום	קטעי וידאו	1:קטעי וידאו
w2911	foresee	לצפות מראש	לצפות	1:לצפות
w2916	fundraiser	מגייס כספים	גיוס כספים	1:גיוס כספים
w2918	furthermore	זאת ועוד	יתר על כן	1:יתר על כן
w2919	genesis	ספר בראשית; היווצרות, התהוות	ראשית	1:ראשית
w2921	glance	מבט חטוף	מבט | להעיף מבט	1:מבט | 2:להעיף מבט
w2923	grace	חסד, חינניות	חן | חסד	1:חן
w2929	growled	נהם	לנהום	1:לנהום
w2930	habitat	סביבת מגורים	בית גידול | סביבת מחיה	1:בית גידול | 2:סביבת מחיה
w2931	halve	לחלק לשניים, להקטין בחצי	לחלק לחצי	1:לחלק לחצי
w2938	hibernate	לישון שנת חורף	לחרוף	1:לחרוף
w2943	howl	יללה, לילל	לייליל | יללה	1:לייליל
w2949	implications	השלכות, משמעות	השלכה | משמעות	1:השלכה
w2951	impose	לכפות	להטיל | להטריח	1:להטיל | 2:להטריח
w2952	imprisoned	כלוא	לכלוא | כלוא	1:לכלוא
w2953	impulsively	ללא שיקול דעת	בפזיזות	1:בפזיזות
w2956	incidentally	דרך אגב	אגב	1:אגב
w2957	incompetence	חוסר יכולת	חוסר כשירות	1:חוסר כשירות
w2961	infiltrate	להסתנן	לחדור	1:לחדור
w2963	inhabitants	תושבים	תושב	1:תושב
w2967	intact	ללא פגע	שלם | ללא פגע	1:שלם
w2971	irresistible	שלא ניתן לעמוד בפניו	מפתה | כובש	1:מפתה | 2:כובש
w2974	janitor	שרת	אב בית | שרת	1:אב בית
w2976	laid	מונח	להניח | להטיל	1:להניח | 2:להטיל
w2979	likewise	כמו-כן, באותו אופן	כמו כן | גם כן	1:כמו כן | 2:גם כן
w2980	limb	גף, איבר; קצה	גפה | איבר	1:גפה
w2982	lurking	אורב, מתגנב	לארוב | להתחבא	1:לארוב | 2:להתחבא
w2989	mastery	מומחיות	שליטה | מומחיות	1:שליטה
w2990	match	גפרור; התאמה, להתאים	משחק | גפרור | להתאים	1:משחק
w2993	medieval	מתקופת ימי הביניים	ביניימי	1:ביניימי
w2996	merit	ערך, הישג	מעלה | להצדיק	1:מעלה | 2:להצדיק
w3000	misty	מעורפל	ערפילי | מעורפל	1:ערפילי
w3006	moreover	זאת ועוד	יתרה מזאת | בנוסף	1:יתרה מזאת | 2:בנוסף
w3009	mutually	באופן שווה/הדדי	הדדית	1:הדדית
w3013	nevertheless	למרות זאת	בכל זאת	1:בכל זאת
w3014	newscaster	מגיש חדשות	קריין חדשות	1:קריין חדשות
w3017	numb	רדום, חסר תחושה	קהה	1:קהה
w3018	numerous	מרובה	רב	1:רב
w3025	occurrence	התרחשות	מקרה | התרחשות	1:מקרה
w3028	oriented	מכוון, מונחה	מוכוון	1:מוכוון
w3032	oversee	לפקח	לפקח על	1:לפקח על
w3048	pledge	להתחייב	התחייבות | להתחייב	1:התחייבות
w3050	possess	להיות בעלים של, להחזיק ב-	להחזיק | לאחוז	1:להחזיק | 2:לאחוז
w3052	premature	מוקדם מדי	מוקדם | פג	1:מוקדם | 2:פג
w3055	principal	מנהל בית ספר; ראשי, עיקרי; קרן (הלוואה)	מנהל | עיקרי | קרן	1:מנהל
w3056	probe	לחטט, לברר, לגשש	חקירה | לחקור	1:חקירה | 2:לחקור
w3070	recur	קרה שוב	להישנות | לחזור	1:להישנות | 2:לחזור
w3073	regulate	לווסת	להסדיר | לווסת	1:להסדיר
w3078	rely	להסתמך	להסתמך על	1:להסתמך על
w3081	repelled	דחה, הגעיל	לדחות | להדוף	1:לדחות | 2:להדוף
w3082	resemble	דומה	להידמות ל	1:להידמות ל
w3091	revitalize	להחיות	להחיות מחדש	1:להחיות מחדש
w3092	rid	להיפטר מ-	להיפטר מ	1:להיפטר מ
w3098	sensible	נבון	הגיוני | נבון	1:הגיוני
w3099	sentiments	רגשות	רגש | דעה	1:רגש | 2:דעה
w3100	settle	להתיישב; להסדיר	ליישב | להתיישב | לסלק	1:ליישב | 3:לסלק
w3102	shepherd	רועה צאן	רועה	1:רועה
w3106	skinned	פשט עור	לקלף	1:לקלף
w3110	solely	בלבד, רק	אך ורק	1:אך ורק
w3111	solitary	מבודד	בודד	1:בודד
w3114	spike	יתד	זינוק | מסמר	1:זינוק | 2:מסמר
w3115	steer	לנווט, להוביל	להגות | לכוון	1:להגות | 2:לכוון
w3125	sustain	לתמוך; סבל מ-; להמשיך באותה צורה	לקיים	1:לקיים
w3126	tame	לאלף, לבית	מבויית | לאלף	1:מבויית
w3130	tin	בדיל, עשוי מפח	פח | קופסה	1:פח | 2:קופסה
w3139	unrest	חוסר שקט	מהומה | אי שקט	1:מהומה | 2:אי שקט
w3140	urge	לעודד, לדחוף ; דחף, רצון, תשוקה	לקרוא ל | דחף	1:לקרוא ל
w3151	virtually	למעשה, בעצם	כמעט | באופן וירטואלי	1:כמעט | 2:באופן וירטואלי
w3152	wage	לערוך, לנהל; משכורת	שכר | לנהל	1:שכר
w3153	wanted	מבוקש	לרצות | מבוקש	1:לרצות
w3158	welfare	סעד	רווחה	1:רווחה
w3160	withstand	להתמודד, לעמוד ב-	לעמוד בפני	1:לעמוד בפני
w3166	accustomed	מורגל	רגיל | מורגל	1:רגיל
w3168	acquitted	זוכה מאשמה	לזכות	1:לזכות
w3169	adhere	לדבוק ב-, לדגול ב-	לדבוק | להידבק	1:לדבוק | 2:להידבק
w3170	adjacent to	ליד	סמוך ל | גובל ב	1:סמוך ל | 2:גובל ב
w3172	adolescence	גיל ההתבגרות	התבגרות	1:התבגרות
w3174	algae	אצות	אצה	1:אצה
w3177	alterations	שינויים	שינוי | תיקון	1:שינוי | 2:תיקון
w3178	ambiguous	דו משמעי, לא לגמרי ברור	דו-משמעי | מעורפל	1:דו-משמעי | 2:מעורפל
w3180	amid	בקרב, בין	בתוך | באמצע	1:בתוך | 2:באמצע
w3184	annually	אחת לשנה, בכל שנה	מדי שנה	1:מדי שנה
w3191	arguably	ניתן לטעון ש-, כנראה	לכאורה | כנראה	1:לכאורה
w3192	arise, arose	לקום, קם	לצוץ | לקום	1:לצוץ
w3195	assert	לטעון בתוקף, להצהיר	לטעון	1:לטעון
w3202	augment	להרחיב	להגדיל | לחזק	1:להגדיל | 2:לחזק
w3210	being that	מכיוון ש-	היות ו | מכיוון ש	1:היות ו | 2:מכיוון ש
w3214	burden	עול	נטל | עול | להכביד	1:נטל | 3:להכביד
w3216	by no means	בשום אופן לא, כלל לא	בשום אופן	1:בשום אופן
w3219	cavity	חור	חלל | עששת	1:חלל | 2:עששת
w3222	circulate	להפיץ; לנוע במחזוריות	לזרום | להפיץ	1:לזרום
w3223	circumstance	מצב, תנאי, נסיבות	נסיבה	1:נסיבה
w3224	coexist	להתקיים זה בצד זה, לחיות יחד בשלום	להתקיים יחד | לדור בכפיפה אחת	1:להתקיים יחד | 2:לדור בכפיפה אחת
w3228	communal	משותף, ציבורי	קהילתי | משותף	1:קהילתי
w3229	comparable	בר-השוואה	דומה | בר השוואה	1:דומה | 2:בר השוואה
w3230	comparatively	באופן יחסי	יחסית	1:יחסית
w3240	consequently	כתוצאה מכך	לפיכך | כתוצאה מכך	1:לפיכך
w3241	considerable	הרבה, רבות	ניכר | משמעותי	1:ניכר | 2:משמעותי
w3242	consist	מורכב מ-	להיות מורכב | להכיל	1:להיות מורכב | 2:להכיל
w3244	constitute	מהווים; להקים, לייסד	להוות	1:להוות
w3252	correspondingly	בהתאמה	בהתאם	1:בהתאם
w3253	counsel	לייעץ, להדריך; פרקליט, יועץ	עצה | לייעץ | עורך דין	1:עצה | 3:עורך דין
w3254	counterpart	בעל תפקיד מקביל, עמית, בן-זוג	מקבילה | עמית	1:מקבילה
w3256	courteous	אדיב	מנומס	1:מנומס
w3263	deceive	להונות	להטעות | לרמות	1:להטעות | 2:לרמות
w3269	degenerate	להתנוון	להידרדר | מנוון	1:להידרדר | 2:מנוון
w3271	delusions	אשליות, הזיות	הזיה | אשליה	1:הזיה | 2:אשליה
w3275	derive	לשאוב, להפיק, לגזור מ-	לנבוע | להפיק	1:לנבוע
w3276	differences	חילוקי דעות	הבדל | שוני	1:הבדל | 2:שוני
w3277	disciples	תלמידים	תלמיד | חסיד	1:תלמיד | 2:חסיד
w3281	dispatch	לשגר	לשלוח | לשגר | דיווח	1:לשלוח | 3:דיווח
w3286	dissection	חיתוך, ביתור	ניתוח | נתיחה	1:ניתוח | 2:נתיחה
w3291	dwell	להתגורר	לגור | להתעכב	1:לגור | 2:להתעכב
w3292	dwelling	משכן, בית	מגורים | בית	1:מגורים
w3301	envision	לחזות, לצפות	לדמיין | לחזות	1:לדמיין
w3304	erupt	התפרץ	להתפרץ	1:להתפרץ
w3307	evade	התחמק	להתחמק	1:להתחמק
w3311	excessively	בצורה מוגזמת	בהפרזה | מדי	1:בהפרזה | 2:מדי
w3313	expendable	שניתן לוותר עליו	מתכלה | מיותר	1:מתכלה | 2:מיותר
w3317	familiarize	להתוודע	להכיר | להתוודע	1:להכיר
w3318	famine	רעב קשה	רעב	1:רעב
w3319	fascinate	לרתק	להקסים	1:להקסים
w3328	forfeit	לוותר, להפסיד	לאבד | לוותר על	1:לאבד | 2:לוותר על
w3335	glorify	להאדיר	לפאר | להלל	1:לפאר | 2:להלל
w3342	hasty	מהיר, בהול	נמהר | פזיז	1:נמהר | 2:פזיז
w3347	humility	ענוה	ענווה	1:ענווה
w3354	impair	לפגום, להחליש	לפגוע | להחליש	1:לפגוע
w3355	impartial	אוביקטיבי, ללא צד	חסר פניות | אובייקטיבי	1:חסר פניות | 2:אובייקטיבי
w3356	in due time	בבוא העת	בבוא הזמן	1:בבוא הזמן
w3357	in order	תקין, מסודר	כדי	1:כדי
w3360	incorporate	לכלול, לשתף, לאגד	לשלב | להתאגד	1:לשלב | 2:להתאגד
w3365	inferred	נגזר, משתמע	להסיק	1:להסיק
w3367	ingest	להכניס משהו לגוף דרך הפה	לבלוע | לצרוך	1:לבלוע | 2:לצרוך
w3368	inhibit	לרסן	לעכב | למנוע	1:לעכב | 2:למנוע
w3370	inquiry	חקירה	בירור | חקירה	1:בירור
w3378	invoke	לעורר, לזמן	להסתמך על | לעורר	1:להסתמך על
w3381	landmark	אבן דרך	ציון דרך	1:ציון דרך
w3387	linger	להתעכב, להשתהות	להתמהמה | להשתהות	1:להתמהמה
w3389	literate	יודע קרוא וכתוב; בקיא, בעל אוריינות	אוריין | משכיל	1:אוריין | 2:משכיל
w3390	litter	אשפה, פסולת; ללכלך בפסולת; לזרוע, לפזר	זבל | לזרוק זבל | המלטה	1:זבל | 2:לזרוק זבל | 3:המלטה
w3391	lodge	להתאכסן, אכסנייה	בקתה | להתאכסן	1:בקתה
w3392	loosely	באופן רפוי	באופן רופף | בערך	1:באופן רופף | 2:בערך
