k	term	gloss	blind	missing
w0917	except for	למעט	חוץ מ | פרט ל	1:חוץ מ | 2:פרט ל
w0918	exchange	להחליף, חלופה	להחליף | חילופין | בורסה	2:חילופין | 3:בורסה
w0920	exercise	תרגיל; להתאמן; לממש, ליישם	פעילות גופנית | להתאמן | תרגיל	1:פעילות גופנית
w0921	exist	קיים	להתקיים	1:להתקיים
w0924	extraordinary	בלתי רגיל	יוצא דופן	1:יוצא דופן
w0925	failure	כשלון	כישלון | תקלה	1:כישלון | 2:תקלה
w0927	farmer	חוואי	חקלאי | איכר	1:חקלאי | 2:איכר
w0929	fever	חום (של מחלה)	חום | קדחת	2:קדחת
w0931	financial	כספי	כספי | פיננסי	2:פיננסי
w0933	fit	בכושר; להתאים	בכושר | מתאים | להתאים	2:מתאים
w0935	flew	עף	לטוס | לעוף	1:לטוס | 2:לעוף
w0936	flip	לזרוק, להעיף; סלטה; להפוך צד	להפוך	1:להפוך
w0937	fool	טיפש, לשטות במישהו	טיפש | לרמות	2:לרמות
w0938	for instance	לדוגמה	לדוגמה | למשל	2:למשל
w0941	form	צורה; ליצור, להקים	צורה | טופס | להקים	2:טופס
w0942	frame	מסגרת, למסגר	מסגרת | להפליל	2:להפליל
w0944	function	תפקוד, לתפקד	תפקיד | לתפקד | פונקציה	1:תפקיד | 3:פונקציה
w0950	grade	כיתה; ציון, דרגה, מעמד; שיפוע	ציון | דרגה | לדרג	3:לדרג
w0952	guide	להדריך	מדריך | להדריך	1:מדריך
w0954	hall	מסדרון; היכל	אולם | מסדרון	1:אולם
w0955	harm	לפגוע, להזיק	לפגוע | נזק	2:נזק
w0958	highway	כביש ראשי	כביש מהיר	1:כביש מהיר
w0960	honest	הגון	כן | ישר	1:כן | 2:ישר
w0962	host	מארח	מארח | לארח	2:לארח
w0963	however	למרות זאת; בכל דרך	אבל | אולם | עם זאת	1:אבל | 2:אולם | 3:עם זאת
w0970	image	דמות, תמונה	תמונה | דימוי	2:דימוי
w0973	impact	השפעה; התנגשות	השפעה | להשפיע	2:להשפיע
w0975	in general	באופן כללי	בדרך כלל	1:בדרך כלל
w0977	incredible	מדהים	מדהים | לא ייאמן	2:לא ייאמן
w0979	individual	יחיד, אינדיבידואל	יחיד | אישי	2:אישי
w0983	instant	מיידי; בהרף עין	מיידי | רגע	2:רגע
w0987	intense	עז, אינטנסיבי	עז | אינטנסיבי | חזק	3:חזק
w0988	introduce	להציג, לעשות היכרות	להציג | להכניס	2:להכניס
w0990	invisible	בלתי נראה	בלתי נראה | סמוי	2:סמוי
w0994	knees	ברכיים	ברך	1:ברך
w0998	lawyer	עורך-דין	עורך דין	1:עורך דין
w0999	lecture	הרצאה	הרצאה | להרצות	2:להרצות
w1000	led to	הוביל ל-	להוביל ל | לגרום ל	1:להוביל ל | 2:לגרום ל
w1002	limit	גבול, לשים גבול, מוגבל	גבול | להגביל	2:להגביל
w1004	lower	להנמיך	להוריד | נמוך	1:להוריד | 2:נמוך
w1006	management	ניהול	ניהול | הנהלה	2:הנהלה
w1007	mark	לסמן	לסמן | ציון | כתם	2:ציון | 3:כתם
w1008	marriage	נישואין	נישואים	1:נישואים
w1009	material	חומר, חומרני	חומר | בד | מהותי	2:בד | 3:מהותי
w1011	mention	להזכיר, לאזכר	להזכיר | אזכור	2:אזכור
w1012	method	שיטה	שיטה | דרך	2:דרך
w1014	mirror	מראה	מראה | לשקף	2:לשקף
w1015	monitor	להשגיח, מוניטור	מסך | לנטר	1:מסך | 2:לנטר
w1016	mostly	לרוב	בעיקר	1:בעיקר
w1018	mystery	תעלומה	תעלומה | מסתורין	2:מסתורין
w1019	nation	אומה	אומה | עם	2:עם
w1020	nearby	ליד, קרוב	בקרבת מקום | סמוך	1:בקרבת מקום | 2:סמוך
w1021	necessary	הכרחי	הכרחי | נחוץ	2:נחוץ
w1024	no longer	לא עוד	כבר לא	1:כבר לא
w1027	notice	לשים לב; התראה	לשים לב | הודעה	2:הודעה
w1029	obviously	ברור	כמובן	1:כמובן
w1031	opposite	מנוגד, ממול	הפוך | נגדי	1:הפוך | 2:נגדי
w1033	pair	זוג	זוג | לזווג	2:לזווג
w1034	passion	תשוקה	תשוקה | להט	2:להט
w1036	patient	סבלני; חולה	סבלני | חולה | מטופל	3:מטופל
w1037	patients	מטופלים	מטופל | חולה	1:מטופל | 2:חולה
w1038	peaceful	שָׁלֵו, שקט	שליו | שקט	1:שליו
w1039	per	לכל	לפי | לכל	1:לפי
w1043	permission	רשות, היתר	רשות | אישור	2:אישור
w1046	pipe	צינור	צינור | מקטרת	2:מקטרת
w1049	pleasure	תענוג, לענג	הנאה | עונג | תענוג	1:הנאה | 2:עונג
w1051	position	מיקום, למקם; תנוחה; תפקיד, משרה	עמדה | תפקיד | למקם	1:עמדה
w1052	pot	סיר, קדרה	סיר | עציץ | גראס	2:עציץ | 3:גראס
w1053	practice	לתרגל, תרגול	תרגול | לתרגל | נוהג	3:נוהג
w1054	precious	יקר	יקר | אהוב	2:אהוב
w1055	pregnant	הרה (בהריון)	בהריון | הרה	1:בהריון
w1058	pride	גאווה	גאווה | להקה	2:להקה
w1060	prison	כלא	כלא | בית סוהר	2:בית סוהר
w1061	prize	פרס	פרס | להעריך	2:להעריך
w1063	product	מוצר	מוצר | תוצר	2:תוצר
w1064	profit	רווח	רווח | להרוויח	2:להרוויח
w1066	project	לתכנן; פרוייקט, מיזם; להשליך, להקרין	פרויקט | לחזות	1:פרויקט | 2:לחזות
w1068	protest	למחות, הפגנה	מחאה | למחות	1:מחאה
w1069	public	ציבורי	ציבורי | ציבור	2:ציבור
w1073	purpose	כוונה, מטרה	מטרה | תכלית	2:תכלית
w1074	quarter	רבע	רבע | רובע	2:רובע
w1075	rage	זעם	זעם | לזעום	2:לזעום
w1076	raise	להעלות	להרים | לגדל | העלאה	1:להרים | 2:לגדל | 3:העלאה
w1079	realize	הבין	להבין | להגשים	1:להבין | 2:להגשים
w1080	recent	שארע לאחרונה	אחרון | טרי	1:אחרון | 2:טרי
w1082	recognize	לזהות	לזהות | להכיר	2:להכיר
w1084	register	להירשם	להירשם | לרשום | מרשם	2:לרשום | 3:מרשם
w1085	release	לשחרר	לשחרר | שחרור	2:שחרור
w1088	remote	מרוחק	מרוחק | שלט	2:שלט
w1089	repair	לתקן	לתקן | תיקון	2:תיקון
w1091	reporter	עיתונאי	כתב | עיתונאי	1:כתב
w1094	rescue	להציל	להציל | הצלה	2:הצלה
w1095	research	מחקר	מחקר | לחקור	2:לחקור
w1099	rise	עליה, לעלות	לעלות | עלייה	2:עלייה
w1101	safety	בטיחות	בטיחות | ביטחון	2:ביטחון
w1102	salary	שכר	משכורת | שכר	1:משכורת
w1103	sample	מדגם, דגימה, דוגמה	דגימה | לדגום	2:לדגום
w1104	scare	פחד, להפחיד	להפחיד | בהלה	2:בהלה
w1105	schedule	לוח זמנים	לוח זמנים | לתזמן	2:לתזמן
w1107	script	תסריט	תסריט | כתב	2:כתב
w1109	section	יחידה, חלק	קטע | סעיף	1:קטע | 2:סעיף
w1110	senior	בכיר; זקן	בכיר | קשיש	2:קשיש
w1112	sentence	משפט; גזר דין	משפט | לגזור דין	2:לגזור דין
w1113	shadow	צל, להאפיל	צל | לעקוב	2:לעקוב
w1114	shave	גילוח, לגלח	להתגלח | לגלח	1:להתגלח
w1115	ship	לשלוח; אוניה	ספינה | לשלוח	1:ספינה
w1116	shy	ביישן	ביישן | להירתע	2:להירתע
w1120	simply	בפשטות	פשוט | בפשטות	1:פשוט
w1121	sin	חטא	חטא | לחטוא	2:לחטוא
w1123	soul	נשמה	נשמה | נפש	2:נפש
w1126	space	חלל; רווח	מרחב | חלל	1:מרחב
w1128	spell	כישוף, קסם; איות, לאיית	לאיית | כישוף | תקופה	3:תקופה
w1129	spirit	כוונה, רוח הדברים; רוח רפאים, נפש	רוח | אלכוהול | מורל	1:רוח | 2:אלכוהול | 3:מורל
w1132	standard	רמה, תקן, מקובל	תקן | סטנדרטי	2:סטנדרטי
w1134	stomach	בטן, קיבה	קיבה | בטן | לסבול	3:לסבול
w1135	strength	חוזק	כוח | עוצמה | חוזק	1:כוח | 2:עוצמה
w1136	structure	מבנה, לבנות	מבנה | לארגן	2:לארגן
w1139	supply	אספקה	לספק | אספקה | היצע	1:לספק | 3:היצע
w1140	surely	ללא ספק	בוודאי	1:בוודאי
w1142	surrender	להיכנע	להיכנע | כניעה	2:כניעה
w1146	target	מטרה	מטרה | למקד	2:למקד
w1153	tie	לקשור, קשר; עניבה	לקשור | עניבה | תיקו	3:תיקו
w1154	title	כותרת	כותרת | תואר	2:תואר
w1155	tongue	לשון	לשון | שפה	2:שפה
w1156	totally	לחלוטין	לגמרי	1:לגמרי
w1157	track	מסילה, מסלול; לעקוב	מסלול | לעקוב | שיר	3:שיר
w1160	train	רכבת; להכשיר, לאמן	רכבת | להתאמן | לאמן	2:להתאמן
w1162	transport	להוביל; הובלה	להוביל | תחבורה | שינוע	2:תחבורה | 3:שינוע
w1163	trap	מלכודת	מלכודת | ללכוד	2:ללכוד
w1164	treatment	טיפול	טיפול | יחס	2:יחס
w1168	unbelievable	לא יאמן	לא ייאמן | מדהים	1:לא ייאמן | 2:מדהים
w1170	unfortunately	למרבה הצער	למרבה הצער | לצערי	2:לצערי
w1171	unusual	בלתי רגיל, יוצא דופן	לא רגיל | יוצא דופן	1:לא רגיל
w1172	useful	שימושי	שימושי | מועיל	2:מועיל
w1173	useless	חסר תועלת	חסר תועלת | חסר ערך	2:חסר ערך
w1181	wear	ללבוש	ללבוש | להתבלות	2:להתבלות
w1182	weather	מזג אוויר	מזג אוויר | לשרוד	2:לשרוד
w1184	wild	פראי, טבע	פרוע | בר	1:פרוע | 2:בר
w1187	actually	למעשה	למעשה | בעצם	2:בעצם
w1190	advertisement	מודעה, פרסום	פרסומת | מודעה	1:פרסומת
w1196	amateur	חובבן	חובב	1:חובב
w1199	amount	כמות	כמות | להסתכם	2:להסתכם
w1200	analog	אנלוגי (ההיפך מדיגיטלי)	אנלוגי | מקבילה	2:מקבילה
w1204	appear	להופיע; נראה ש-	להופיע | להיראות	2:להיראות
w1209	as many as	רבים כמו (מספר גדול)	עד | לא פחות מ	1:עד | 2:לא פחות מ
w1210	as proof of	כהוכחה ל-	כהוכחה ל	1:כהוכחה ל
w1211	aside from	חוץ מ-	מלבד	1:מלבד
w1212	attitude	גישה	גישה | עמדה	2:עמדה
w1216	authority	סמכות	סמכות | רשות	2:רשות
w1217	automobile	כלי רכב, אוטו	מכונית | רכב	1:מכונית | 2:רכב
w1220	backward	לאחור	אחורה | נחשל	1:אחורה | 2:נחשל
w1221	bacteria	חיידקים	חיידק	1:חיידק
w1222	beg	להתחנן	להתחנן | לקבץ נדבות	2:לקבץ נדבות
w1223	belong	שייך	להשתייך	1:להשתייך
w1224	benefit	תועלת, יתרון; הטבה; להפיק תועלת	תועלת | הטבה | ליהנות	3:ליהנות
w1225	besides	בכל מקרה; בנוסף על; מלבד, חוץ מ-	מלבד | חוץ מזה	2:חוץ מזה
w1226	best-seller	רב-מכר	רב מכר	1:רב מכר
w1227	beyond	מעבר	מעבר ל	1:מעבר ל
w1231	brilliant	מבריק	מבריק | גאוני	2:גאוני
w1232	bullet	קליע	כדור | תבליט	1:כדור | 2:תבליט
w1234	by now	עד עתה	עד עכשיו	1:עד עכשיו
w1237	campaign	מערכה, מסע	קמפיין | מסע	1:קמפיין
w1238	cast	להשליך, לגרש; צוות שחקנים	לזרוק | שחקנים | גבס	1:לזרוק | 2:שחקנים | 3:גבס
w1239	casual	אגבי, רגיל, יומיומי	לא רשמי | אגבי | מזדמן	1:לא רשמי | 3:מזדמן
w1242	century	מאה שנים	מאה	1:מאה
w1245	charge	לגבות; להאשים; להסתער; לחייב	לגבות | להאשים | מטען	3:מטען
w1247	citrus	פרי הדר	הדר	1:הדר
w1248	claim	טענה, טוען; תביעה	לטעון | טענה	1:לטעון
w1250	clever	פיקח	חכם | פיקח	1:חכם
w1253	cognitive	קוגניטיבי, הכרתי	קוגניטיבי | שכלי	2:שכלי
w1254	common	נפוץ, משותף	נפוץ | משותף | רגיל	3:רגיל
w1256	components	חלקים, מרכיבים	רכיב | מרכיב	1:רכיב | 2:מרכיב
w1257	conference	ועידה	כנס | ועידה	1:כנס
w1259	confusion	בלבול	בלבול | מבוכה	2:מבוכה
w1260	consider	לקחת בחשבון, לשקול	לשקול | לחשוב	2:לחשוב
w1263	contract	ללקות, להידבק (במחלה); חוזה, הסכם; להתכווץ	חוזה | להתכווץ | לחלות	3:לחלות
w1264	contrast	ניגוד; להוות ניגוד	ניגוד | לעמת	2:לעמת
w1267	coordinator	מתאם	רכז	1:רכז
w1268	copies	עותקים	עותק | להעתיק	1:עותק | 2:להעתיק
w1270	count	לספור; רוזן	לספור | ספירה	2:ספירה
w1271	course	מנה; קורס; מסלול	קורס | מהלך | מסלול	2:מהלך
w1273	creator	יוצר	יוצר | בורא	2:בורא
w1276	customize	להתאים באופן אישי	להתאים אישית	1:להתאים אישית
w1277	dare	להעיז, תעוזה; אתגר	להעז | אתגר	1:להעז
w1279	deeply	מאוד, במידה רבה	עמוקות | מאוד	1:עמוקות
w1280	deer	איל	צבי	1:צבי
w1282	depend on	תלוי ב-	להסתמך על	1:להסתמך על
w1283	desire	תשוקה, חשק, לחפוץ	תשוקה | להשתוקק	2:להשתוקק
w1286	dimension	מימד	ממד | היבט	1:ממד | 2:היבט
w1287	disadvantage	חסרון	חיסרון | נחיתות	1:חיסרון | 2:נחיתות
w1288	disagreement	חוסר הסכמה	אי הסכמה | חילוקי דעות	1:אי הסכמה | 2:חילוקי דעות
w1289	discoveries	תגליות	תגלית	1:תגלית
w1291	divorce	גירושין	גירושין | להתגרש	2:להתגרש
w1292	dominate	לשלוט	לשלוט | להשתלט	2:להשתלט
w1294	doubt	ספק, להטיל ספק	ספק | לפקפק	2:לפקפק
w1295	due to	בגלל, לאור	בגלל | עקב	2:עקב
w1297	duty	תפקיד, חובה	חובה | תפקיד | מכס	3:מכס
w1298	earn	להרוויח	להרוויח | לזכות ב	2:לזכות ב
w1300	edge	קצה, שוליים; יתרון; להב (של סכין)	קצה | חוד	2:חוד
w1307	epidemic	מגיפה, אפידמיה	מגפה	1:מגפה
w1309	even	אפילו; זוגי (מספר); ליישר, להשוות	אפילו | זוגי | שווה	3:שווה
w1310	even so	אף על פי כן	ובכל זאת	1:ובכל זאת
w1312	evidence	ראיה	ראיה | הוכחה	2:הוכחה
w1315	examine	לבחון	לבחון | לבדוק	2:לבדוק
w1316	excite	לרגש, לעורר	לרגש | להלהיב	2:להלהיב
w1317	exclusive	בלעדי	בלעדי | יוקרתי	2:יוקרתי
w1318	expectations	ציפיות	ציפייה	1:ציפייה
w1320	explosive	חומר נפץ	נפיץ | חומר נפץ	1:נפיץ
w1321	export	ייצוא	לייצא | יצוא	1:לייצא | 2:יצוא
w1331	favor	טובה; להעדיף	טובה | להעדיף | חיבה	3:חיבה
w1332	fiction	בדיון, לא אמיתי	בדיון | ספרות בדיונית	2:ספרות בדיונית
w1333	filmmaker	יוצר סרטים	יוצר קולנוע | במאי	1:יוצר קולנוע | 2:במאי
w1337	folklore	פולקלור	פולקלור | מסורת עממית	2:מסורת עממית
w1338	fork	מזלג	מזלג | הסתעפות	2:הסתעפות
w1339	formal	רשמי	רשמי | פורמלי	2:פורמלי
w1340	fortune	מזל; עושר	הון | מזל	1:הון
w1341	from time to time	מפעם לפעם	מדי פעם	1:מדי פעם
w1343	fundamental	בסיסי (פונדמנטלי)	בסיסי | יסודי	2:יסודי
w1345	generally	באופן כללי	בדרך כלל	1:בדרך כלל
w1347	generated	יצר	לייצר | ליצור	1:לייצר | 2:ליצור
w1350	glitch	תקלה, הפרעה	תקלה | באג	2:באג
w1352	grand	גדול, כולל, מרשים	מפואר | נהדר	1:מפואר | 2:נהדר
w1354	handle	להתמודד	לטפל | ידית	1:לטפל | 2:ידית
w1355	heartbeat	דופק, פעימות לב	פעימת לב	1:פעימת לב
w1356	hint	רמז	רמז | לרמוז	2:לרמוז
w1358	hold back	לעכב, למנוע	להתאפק | לעכב	1:להתאפק
w1361	hybrid	כלאיים, היברידי	היברידי | הכלאה	2:הכלאה
w1362	iceberg	קרחון	הר קרח	1:הר קרח
w1365	improve	לשפר	לשפר | להשתפר	2:להשתפר
w1367	in particular	במיוחד	בפרט | במיוחד	1:בפרט
w1368	incident	תקרית	תקרית | אירוע	2:אירוע
w1369	indeed	בהחלט	אכן	1:אכן
w1374	instantly	מיד	מיד | תכף	2:תכף
w1375	instrument	כלי	כלי | כלי נגינה	2:כלי נגינה
w1379	irregular	לא רגיל	לא סדיר | חריג	1:לא סדיר | 2:חריג
w1380	issue	נושא, עניין, סוגיה; להוציא לאור, להפיץ; גיליון	נושא | בעיה | להנפיק	2:בעיה | 3:להנפיק
w1381	label	תגית; לתייג	תווית | לתייג	1:תווית
w1384	lead, led	להוביל, הוביל	להוביל | להנהיג	2:להנהיג
w1387	legend	אגדה; מקרא מפה	אגדה | מקרא	2:מקרא
w1389	likely	סביר	סביר | קרוב לוודאי	2:קרוב לוודאי
w1390	load	להעמיס	מטען | לטעון	1:מטען | 2:לטעון
w1391	logic	הגיון	היגיון | לוגיקה	1:היגיון | 2:לוגיקה
w1393	major	סולם מז'ור (במוזיקה); מסלול לימודים; ראשי, עיקרי	עיקרי | רב-סרן | התמחות	2:רב-סרן | 3:התמחות
w1394	march	לצעוד	לצעוד | צעדה	2:צעדה
w1396	mass	המון, המוני; מסה	מסה | המון | מיסה	3:מיסה
w1400	mind	לשים לב, לשמור; שכל; אכפת	מוח | להשגיח	1:מוח | 2:להשגיח
w1402	minister	שר (בממשלה)	שר | כומר	2:כומר
w1408	motivate	לדרבן	להניע | לעודד	1:להניע | 2:לעודד
w1409	mountaintop	פסגת הר	פסגה	1:פסגה
w1411	narrow	צר	צר | לצמצם	2:לצמצם
w1417	nut	אגוז	אגוז | מטורף	2:מטורף
w1418	object	פריט, אובייקט; להתנגד	חפץ | להתנגד | מטרה	1:חפץ | 3:מטרה
w1425	overall	כולל, באופן כללי	כללי | בסך הכל	1:כללי | 2:בסך הכל
w1427	painter	צייר	צייר | צבע	2:צבע
w1429	party	מפלגה; מסיבה	מסיבה | מפלגה | צד	3:צד
w1432	pigment	פיגמנט, צבען	פיגמנט | חומר צבע	2:חומר צבע
w1434	prank	מתיחה	מתיחה | למתוח	2:למתוח
w1437	preparation for	הכנות לקראת	הכנה	1:הכנה
w1440	previously	הקודם, לפני-כן	בעבר | קודם לכן	1:בעבר | 2:קודם לכן
w1441	priest	כומר	כומר | כהן	2:כהן
w1442	prime	ראשוני, עיקרי, מובחר	ראשי | מעולה | שיא	1:ראשי | 2:מעולה | 3:שיא
w1443	primitive	קדום, חסר תרבות	פרימיטיבי | קדמוני	1:פרימיטיבי | 2:קדמוני
w1445	proper	מתאים, הולם	הולם | נכון | ראוי	2:נכון | 3:ראוי
w1446	properly	כראוי	כראוי | כהלכה	2:כהלכה
w1447	prove	להוכיח	להוכיח | להתברר	2:להתברר
w1450	purchase	לקנות, לרכוש	לרכוש | רכישה	2:רכישה
w1451	quite	למדי	די | לגמרי	1:די | 2:לגמרי
w1452	quote	ציטוט	לצטט | ציטוט | הצעת מחיר	1:לצטט | 3:הצעת מחיר
w1453	race	מרוץ; גזע	מירוץ | גזע	1:מירוץ
w1454	raid	פשיטה	פשיטה | לפשוט על	2:לפשוט על
w1455	rainfall	ירידת גשמים	משקעים	1:משקעים
w1456	rainstorm	סערת גשמים	סופת גשמים	1:סופת גשמים
w1457	randomly	באקראיות	באקראי	1:באקראי
w1458	range	טווח; רכס; מטווח	טווח | לנוע	2:לנוע
w1459	rank	דרגה	דרגה | לדרג	2:לדרג
w1462	rational	הגיוני, רציונאלי	רציונלי | הגיוני	1:רציונלי
w1465	rebel	מורד	מורד | למרוד	2:למרוד
w1467	recordings	הקלטות	הקלטה	1:הקלטה
w1469	recycling	מחזור	מיחזור	1:מיחזור
w1471	reduce	להפחית	להפחית | לצמצם	2:לצמצם
w1472	reform	שינוי, רפורמה	רפורמה | לתקן	2:לתקן
w1473	regret	להתחרט, חרטה	להצטער | חרטה	1:להצטער
w1474	regularly	באופן קבוע	בקביעות	1:בקביעות
w1475	relations	יחסים	יחסים | קשרים	2:קשרים
w1477	replacement	מחליף	תחליף | מחליף	1:תחליף
w1478	replica	העתק מדויק	העתק | שכפול | דגם	1:העתק | 2:שכפול | 3:דגם
w1479	reply	להשיב	להשיב | תשובה	2:תשובה
w1481	rest	מנוחה; יתר, שאר	מנוחה | שאר | לנוח	3:לנוח
w1484	rough	קשה, מחוספס	מחוספס | גס | קשה	2:גס
w1485	ruin	להרוס	להרוס | חורבה	2:חורבה
w1489	seeds	זרעים	זרע	1:זרע
w1491	segment	קטע, מקטע	קטע | פלח	2:פלח
w1492	select	לבחור	לבחור | נבחר	2:נבחר
w1493	selective	סלקטיבי	בררני | סלקטיבי	1:בררני
w1494	self-confidence	בטחון-עצמי	ביטחון עצמי	1:ביטחון עצמי
w1496	separation	הפרדה	הפרדה | פרידה	2:פרידה
w1498	share	מניה; לחלוק	לשתף | חלק | מניה	1:לשתף | 2:חלק
w1500	shift	משמרת; להזיז	שינוי | משמרת | להזיז	1:שינוי
w1502	sight	ראייה, כוונת	ראייה | מראה	2:מראה
w1503	significantly	באופן משמעותי	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
w1506	so long as	כל עוד	כל עוד | ובלבד ש	2:ובלבד ש
w1507	sound	קול; בריא	צליל | להישמע | הגיוני	1:צליל | 2:להישמע | 3:הגיוני
w1508	speaker	דובר	דובר | רמקול	2:רמקול
w1510	spot	כתם; לזהות	כתם | מקום | להבחין	2:מקום | 3:להבחין
w1511	spread	התפשטות, פיזור; ממרח, למרוח	להתפשט | למרוח | ממרח	1:להתפשט
w1513	stamina	כושר עמידה, סיבולת	סיבולת | עמידות	2:עמידות
w1514	statement	הצהרה	הצהרה | הודעה	2:הודעה
w1516	storage	אחסון	אחסון | מחסן	2:מחסן
w1517	study	מחקר; חדר עבודה	ללמוד | מחקר | חדר עבודה	1:ללמוד
w1518	subject	נושא; נתין, אזרח; נבדק; להכפיף, לחשוף ל-; נתון ל-, כפוף ל-	נושא | נתין | מקצוע	3:מקצוע
w1520	surface	פני שטח	משטח | לצוף	1:משטח | 2:לצוף
w1521	surprisingly	במפתיע	באופן מפתיע	1:באופן מפתיע
w1525	symptom	סימפטום	תסמין | סימן	1:תסמין | 2:סימן
w1528	take place	התרחש	להתרחש | להתקיים	1:להתרחש | 2:להתקיים
w1530	terms	מונחים; תנאים	תנאי | מונח	1:תנאי | 2:מונח
w1534	though	למרות זאת; למרות ש-	למרות ש | בכל זאת	1:למרות ש | 2:בכל זאת
w1536	timeline	ציר זמן	ציר זמן | לוח זמנים	2:לוח זמנים
w1537	to sum up	כדי לסכם; לסכם	לסיכום	1:לסיכום
w1539	trade	להחליף; לסחור, מסחר	מסחר | לסחור | מקצוע	3:מקצוע
w1541	transform	לשנות צורה	להפוך | לשנות	1:להפוך | 2:לשנות
w1545	treat	להתייחס; פינוק, ממתק; לפנק	לטפל ב | להתייחס אל | פינוק	1:לטפל ב | 2:להתייחס אל
w1549	unite	לאחד	לאחד | להתאחד	2:להתאחד
w1551	unofficial	בלתי רשמי	לא רשמי	1:לא רשמי
w1552	unorganized	לא מאורגן	לא מאורגן | מבולגן	2:מבולגן
w1553	unrealistic	לא מציאותי	לא ריאלי	1:לא ריאלי
w1560	vehicle	כלי רכב	רכב	1:רכב
w1561	verbal	ורבלי, מילולי	מילולי | בעל פה	2:בעל פה
w1567	waste	בזבוז, לבזבז; הפסולת	לבזבז | בזבוז | פסולת	3:פסולת
w1568	waterfall	מפל	מפל מים	1:מפל מים
w1571	whenever	בכל פעם ש-, מתי ש-; לא משנה מתי	בכל פעם ש	1:בכל פעם ש
w1573	whom	מי	את מי	1:את מי
w1577	witness	עד, להעיד	עד | לחזות | להעיד	2:לחזות
w1581	abroad	חו"ל	בחו"ל	1:בחו"ל
w1582	absent	חסר, לא נוכח	נעדר | חסר	1:נעדר
w1588	addition	תוספת, הוספה	תוספת | חיבור	2:חיבור
w1589	administration	מנהל	ממשל | ניהול	1:ממשל | 2:ניהול
w1591	afterwards	לאחר מכן	אחר כך	1:אחר כך
w1593	aim	לכוון, מטרה	מטרה | לשאוף | לכוון	2:לשאוף
w1594	annoy	להציק	להרגיז	1:להרגיז
w1595	apply	ליישם, להחיל; לחול על; להגיש בקשה, לפנות	ליישם | להגיש בקשה | למרוח	3:למרוח
w1597	arrange	לסדר	לסדר | לארגן | לתאם	2:לארגן | 3:לתאם
w1598	article	מאמר; פריט	מאמר | פריט | סעיף	3:סעיף
w1600	assignment	משימה, מטלה	מטלה | הקצאה	2:הקצאה
w1602	association	אסוציאציה; איגוד	עמותה | קשר	1:עמותה | 2:קשר
w1604	attach	לחבר, לייחס	לצרף | לחבר	1:לצרף
w1605	attempt	ניסיון	לנסות | ניסיון	1:לנסות
w1607	attraction	משיכה	משיכה | אטרקציה	2:אטרקציה
w1611	awkward	מגושם; מוזר, מביך	מביך | מסורבל	2:מסורבל
w1612	baggage	מטען, מזוודה	מטען | כבודה	2:כבודה
w1614	bald	קרח	קירח	1:קירח
w1615	ban	חרם, איסור	איסור | לאסור	2:לאסור
w1616	barrier	מחסום	מחסום | חסם	2:חסם
w1617	bass	בס (במוזיקה)	בס | דג בס	2:דג בס
w1619	beside	ליד	ליד | לצד	2:לצד
w1621	blank	ריק, רווח	ריק | חלל ריק	2:חלל ריק
w1622	blend	לערבב	למזג | תערובת	1:למזג | 2:תערובת
w1623	boil	להרתיח	לרתוח | להרתיח	1:לרתוח
w1624	bond	קשר	קשר | אג"ח | להתחבר	2:אג"ח | 3:להתחבר
w1625	boost	דחף, המריץ	להגביר | לחזק	1:להגביר | 2:לחזק
w1626	boot	מגף	מגף | לאתחל | תא מטען	2:לאתחל | 3:תא מטען
w1627	bore	לשעמם, שעמום; לקדוח (חור)	לשאת | לסבול | ללדת	1:לשאת | 2:לסבול | 3:ללדת
w1628	bounce	לקפץ, ניתור	לנתר | לקפוץ	1:לנתר | 2:לקפוץ
w1629	branch	ענף, סניף	ענף | סניף | להסתעף	3:להסתעף
w1632	bully	בריון	בריון | להציק	2:להציק
w1633	bury	לקבור	לקבור | להטמין	2:להטמין
w1635	cabin	בקתה	תא | בקתה	1:תא
w1642	cereal	דגני בוקר	דגן | דגני בוקר	1:דגן
w1644	charm	קסם	קסם | להקסים | קמיע	2:להקסים | 3:קמיע
w1645	chart	גיליון, תרשים	תרשים | לשרטט	2:לשרטט
w1652	commercial	מסחרי; סרטון פרסומת	מסחרי | פרסומת	2:פרסומת
w1653	commit	ביצוע/ לבצע; להתחייב	להתחייב | לבצע	2:לבצע
w1656	concentrate	להתרכז	להתרכז | תרכיז	2:תרכיז
w1657	confident	בטוח בעצמו	בטוח בעצמו | בטוח	2:בטוח
w1658	conservative	שמרני	שמרן | זהיר	1:שמרן | 2:זהיר
w1659	conspiracy	קשר, מזימה	קשר | קונספירציה	2:קונספירציה
w1660	constant	קבוע, רצוף	קבוע | מתמיד	2:מתמיד
w1662	consult	להתייעץ	להתייעץ | לעיין ב	2:לעיין ב
w1663	contain	להכיל, מכיל	להכיל | לבלום	2:לבלום
w1665	conventional	שגרתי, קונבנציונאלי	מקובל | שגרתי	1:מקובל
w1671	craft	אומנות, מלאכה; כלי טייס / כלי שייט	מלאכה | אומנות | לעצב	3:לעצב
w1676	cult	כת	כת | פולחן	2:פולחן
w1679	curve	עקומה, פניה	עקומה | לעקם	2:לעקם
w1680	deaf	חרש	חירש	1:חירש
