# צבירה חוצת-מבחנים · קורפוס=22 מבחנים · פריטים ייחודיים=4254
מנורמל	ייצוג	סוג	תוצאה	התאמה	מועדים	הופעות	ממוצע-שאלה	ציטוטים
מטרייה	מטרייה	analogy	miss		2	2	3.0	summer_2022·פרק2·ש5·מסיח 4 ; summer_2024·פרק1·ש1·מסיח 3
מיאן	מיאן	analogy+completion	full	מאן	2	2	5.0	summer_2024·פרק2·ש10·אפשרות 1 ; 2020_spring·פרק2·ש5·מסיח 2
מידע	מידע	analogy+completion	miss		2	2	2.0	spring_2022·פרק2·ש2·רגל ; spring_2023·פרק2·ש7·אפשרות 4
מייחסים	מייחסים	completion	miss		2	2	0.0	autumn_2024·פרק1·ש13·אפשרות 2 ; winter_2023·פרק1·ש11·אפשרות 1
מיעוט	מיעוט	completion	close	מעט	2	2	0.0	winter_2022·פרק2·ש14·אפשרות 2 ; 2019_spring·פרק1·ש14·אפשרות ?
מיתר	מיתר	analogy	miss		2	2	4.0	spring_2025·פרק2·ש6·מסיח 3 ; summer_2023·פרק2·ש2·מסיח 1
מכל	מכל	completion	miss		2	2	0.0	spring_2023·פרק1·ש13·אפשרות 4 ; summer_2021·פרק1·ש10·אפשרות 1
מכפי	מכפי	completion	miss		2	2	0.0	autumn_2024·פרק1·ש15·אפשרות 2 ; summer_2022·פרק2·ש15·אפשרות 4
ממהר	ממהר	completion	close	מהר	2	2	0.0	autumn_2021·פרק1·ש12·אפשרות 1 ; summer_2024·פרק1·ש17·אפשרות 2
ממושך	ממושך	analogy+completion	close	משכ	2	2	6.0	autumn_2021·פרק1·ש12·אפשרות 4 ; 2019_spring·פרק2·ש6·לא-זוהה
ממחקרים	ממחקרים	completion	close	קרמ	2	2	0.0	2020_spring·פרק1·ש9·אפשרות 1 ; 2020_winter·פרק2·ש11·אפשרות 2
מנגד	מנגד	completion	full	מנגד	2	2	0.0	spring_2024·פרק2·ש10·אפשרות 1 ; summer_2025·פרק2·ש7·אפשרות 4
מנה	מנה	analogy+completion	miss		2	2	1.0	2020_spring·פרק2·ש1·מסיח 4 ; 2020_winter·פרק1·ש7·אפשרות 1
מנומר	מנומר	analogy	full	מנומר	2	2	3.5	spring_2022·פרק2·ש5·רגל ; winter_2023·פרק2·ש2·מסיח 4
מנוף	מנוף	analogy	miss		2	2	2.5	summer_2024·פרק2·ש4·מסיח 1 ; 2020_winter·פרק2·ש1·מסיח 2
מנצח	מנצח	analogy	close	נצח	2	2	1.5	spring_2025·פרק2·ש2·מסיח 2 ; summer_2026·פרק1·ש1·מסיח 3
מסגרת	מסגרת	analogy	close	סגר	2	2	3.5	autumn_2021·פרק2·ש3·מסיח 2 ; 2019_winter·פרק2·ש4·רגל
מסוגל	מסוגל	analogy	close	סגל	2	2	3.5	spring_2023·פרק2·ש5·מסיח 2 ; 2020_spring·פרק1·ש2·מסיח 2
מסוגלים	מסוגלים	completion	close	סגל	2	2	0.0	2020_summer·פרק2·ש11·אפשרות 3 ; 2020_winter·פרק2·ש10·אפשרות 3
מסוגלת	מסוגלת	completion	close	סגל	2	2	0.0	spring_2024·פרק1·ש17·אפשרות 1 ; 2020_winter·פרק2·ש11·אפשרות 4
מסוימים	מסוימים	completion	miss		2	2	0.0	spring_2022·פרק2·ש17·אפשרות 3 ; 2020_autumn·פרק1·ש14·אפשרות 2
מסור	מסור	analogy	miss		2	2	4.0	spring_2022·פרק2·ש4·מסיח 4 ; 2019_spring·פרק1·ש4·לא-זוהה
מסייעת	מסייעת	completion	miss		2	2	0.0	summer_2022·פרק2·ש17·אפשרות 1 ; 2020_spring·פרק2·ש7·אפשרות 4
מסכים	מסכים	completion	full	מסך	2	2	0.0	autumn_2023·פרק2·ש13·אפשרות 1 ; autumn_2025·פרק1·ש10·אפשרות 1
מעבורת	מעבורת	analogy+completion	close	עבר	2	2	6.0	autumn_2025·פרק2·ש6·מסיח 3 ; winter_2022·פרק2·ש13·אפשרות 4
מעלה	מעלה	completion	close	עלה	2	2	0.0	autumn_2025·פרק1·ש11·אפשרות 3 ; 2019_winter·פרק2·ש8·אפשרות 1
מפגר	מפגר	completion	miss		2	2	0.0	autumn_2021·פרק1·ש12·אפשרות 2 ; summer_2024·פרק1·ש17·אפשרות 1
מפגש	מפגש	analogy	miss		2	2	4.5	spring_2025·פרק2·ש3·מסיח 3 ; 2019_spring·פרק1·ש6·לא-זוהה
מפחיתה	מפחיתה	completion	close	חתה	2	2	0.0	2019_winter·פרק2·ש8·אפשרות 3 ; 2020_autumn·פרק1·ש14·אפשרות 4
מפתיע	מפתיע	completion	miss		2	2	0.0	summer_2023·פרק1·ש10·אפשרות 2 ; 2019_spring·פרק1·ש13·אפשרות ?
מצוקה	מצוקה	completion	miss		2	2	0.0	summer_2024·פרק1·ש15·אפשרות 1 ; 2020_spring·פרק1·ש11·אפשרות 4
מצחין	מצחין	analogy	close	צחנ	2	2	4.5	spring_2025·פרק1·ש5·מסיח 3 ; summer_2021·פרק2·ש4·מסיח 1
מצטערת	מצטערת	completion	miss		2	2	0.0	summer_2023·פרק2·ש16·אפשרות 2 ; winter_2023·פרק1·ש11·אפשרות 1
מצמץ	מצמץ	analogy	miss		2	2	3.0	spring_2022·פרק2·ש1·מסיח 3 ; 2019_spring·פרק2·ש5·לא-זוהה
מקבל	מקבל	analogy+completion	close	קבל	2	2	1.0	summer_2023·פרק1·ש1·מסיח 1 ; summer_2025·פרק1·ש15·אפשרות 1
מקהלה	מקהלה	analogy	close	הלה	2	2	3.5	summer_2023·פרק2·ש3·מסיח 1 ; 2019_winter·פרק1·ש4·מסיח 4
מקובלת	מקובלת	completion	close	קבל	2	2	0.0	spring_2024·פרק1·ש17·אפשרות 4 ; summer_2026·פרק2·ש12·אפשרות 3
מקצוע	מקצוע	analogy+completion	close	קצע	2	2	3.0	spring_2023·פרק1·ש13·אפשרות 3 ; summer_2025·פרק2·ש3·מסיח 2
מקצועיים	מקצועיים	completion	close	קצע	2	2	0.0	spring_2023·פרק1·ש12·אפשרות 4 ; 2019_spring·פרק1·ש14·אפשרות ?
מקצועית	מקצועית	completion	close	קצע	2	2	0.0	autumn_2021·פרק1·ש10·אפשרות 2 ; 2019_spring·פרק1·ש14·אפשרות ?
מקצת	מקצת	completion	miss		2	2	0.0	summer_2022·פרק1·ש10·אפשרות 2 ; summer_2026·פרק1·ש10·אפשרות 2
מקרה	מקרה	completion	close	קרה	2	2	0.0	spring_2022·פרק2·ש17·אפשרות 4 ; summer_2023·פרק1·ש9·אפשרות 1
מקשיב	מקשיב	analogy	miss		2	2	4.0	autumn_2023·פרק2·ש4·מסיח 1 ; summer_2021·פרק2·ש4·מסיח 4
מרוהט	מרוהט	analogy	close	מרה	2	2	3.5	summer_2024·פרק1·ש5·רגל ; winter_2023·פרק2·ש2·מסיח 2
מרוצה	מרוצה	completion	close	רצה	2	2	0.0	autumn_2025·פרק1·ש10·אפשרות 2 ; 2019_spring·פרק1·ש13·אפשרות ?
משאית	משאית	analogy	close	שאת	2	2	3.5	summer_2022·פרק1·ש2·מסיח 1 ; 2020_summer·פרק2·ש5·מסיח 2
משך	משך	analogy	close	משכ	2	2	4.5	autumn_2023·פרק1·ש3·מסיח 3 ; 2019_spring·פרק2·ש6·לא-זוהה
משכנעות	משכנעות	completion	close	כנע	2	2	0.0	autumn_2023·פרק2·ש15·אפשרות 2 ; autumn_2025·פרק2·ש16·אפשרות 1
משתלה	משתלה	analogy	miss		2	2	2.5	autumn_2024·פרק1·ש1·מסיח 4 ; 2020_autumn·פרק2·ש4·מסיח 1
מתמיה	מתמיה	analogy+completion	close	תמה	2	2	5.0	spring_2025·פרק1·ש5·רגל ; 2019_spring·פרק2·ש14·אפשרות ?
מתקבלות	מתקבלות	completion	close	קבל	2	2	0.0	autumn_2025·פרק2·ש16·אפשרות 1 ; spring_2022·פרק2·ש17·אפשרות 1
נאלם	נאלם	analogy	full	נאלם	2	2	3.5	autumn_2023·פרק1·ש3·מסיח 1 ; autumn_2025·פרק2·ש4·מסיח 4
נדוש	נדוש	completion	miss		2	2	0.0	autumn_2024·פרק1·ש14·אפשרות 1 ; summer_2026·פרק1·ש8·אפשרות 1
נדן	נדן	analogy	full	נדן	2	2	2.5	autumn_2023·פרק2·ש1·מסיח 3 ; spring_2022·פרק2·ש4·מסיח 1
נהג	נהג	analogy	miss		2	2	3.0	spring_2025·פרק2·ש2·מסיח 3 ; 2020_summer·פרק2·ש4·מסיח 1
נהנה	נהנה	completion	close	הנה	2	2	0.0	winter_2022·פרק2·ש12·אפשרות 2 ; 2020_summer·פרק2·ש12·אפשרות 2
נהנים	נהנים	completion	miss		2	2	0.0	winter_2023·פרק1·ש11·אפשרות 1 ; 2019_spring·פרק2·ש13·אפשרות ?
נהנתן	נהנתן	analogy	full	נהנתן	2	2	3.5	autumn_2023·פרק2·ש3·מסיח 1 ; autumn_2024·פרק1·ש4·מסיח 4
נוזל	נוזל	analogy	miss		2	2	2.5	summer_2026·פרק1·ש4·מסיח 2 ; 2020_spring·פרק2·ש1·מסיח 1
נוטה	נוטה	completion	close	נטה	2	2	0.0	autumn_2023·פרק2·ש15·אפשרות 4 ; 2019_spring·פרק2·ש13·אפשרות ?
נועד	נועד	analogy+completion	miss		2	2	6.0	summer_2023·פרק2·ש16·אפשרות 4 ; winter_2023·פרק1·ש6·מסיח 1
נורה	נורה	analogy	miss		2	2	4.5	autumn_2023·פרק1·ש4·רגל ; spring_2023·פרק1·ש5·מסיח 1
נזקק	נזקק	analogy+completion	close	זקק	2	2	4.0	spring_2023·פרק2·ש4·מסיח 3 ; 2020_spring·פרק1·ש11·אפשרות 4
נחל	נחל	analogy+completion	full	נחל	2	2	2.0	spring_2025·פרק1·ש2·מסיח 3 ; winter_2022·פרק2·ש14·אפשרות 1
נטל	נטל	completion	full	נטול	2	2	0.0	2019_winter·פרק1·ש13·אפשרות ? ; 2020_spring·פרק1·ש11·אפשרות ?
נטע	נטע	analogy	full	נטע	2	2	5.0	autumn_2025·פרק2·ש4·מסיח 1 ; spring_2023·פרק2·ש6·מסיח 2
ניסויים	ניסויים	completion	miss		2	2	0.0	summer_2022·פרק1·ש9·אפשרות 3 ; 2020_spring·פרק2·ש9·אפשרות 4
ניקוד	ניקוד	analogy+completion	full	נוקד	2	2	5.0	2019_spring·פרק1·ש5·לא-זוהה ; 2020_spring·פרק1·ש9·אפשרות 2
נישואין	נישואין	analogy	close	נשא	2	2	2.0	winter_2022·פרק2·ש3·מסיח 4 ; 2019_winter·פרק1·ש1·לא-זוהה
נכשל	נכשל	analogy+completion	close	כשל	2	2	5.0	summer_2021·פרק2·ש5·מסיח 2 ; winter_2022·פרק2·ש14·אפשרות 4
נמנע	נמנע	completion	miss		2	2	0.0	autumn_2025·פרק1·ש11·אפשרות 4 ; summer_2026·פרק1·ש9·אפשרות 2
נמנעת	נמנעת	completion	miss		2	2	0.0	summer_2025·פרק2·ש9·אפשרות 1 ; 2020_winter·פרק1·ש8·אפשרות 2
נמר	נמר	analogy	close	נמר	2	2	2.5	spring_2024·פרק2·ש3·רגל ; winter_2023·פרק2·ש2·מסיח 4
נעלב	נעלב	analogy	miss		2	2	4.5	spring_2024·פרק1·ש4·מסיח 2 ; summer_2026·פרק1·ש5·מסיח 3
נפוץ	נפוץ	completion	full	ניפץ	2	2	0.0	autumn_2021·פרק1·ש11·אפשרות 1 ; autumn_2023·פרק1·ש14·אפשרות 1
נפל	נפל	analogy+completion	full	נפיל	2	2	4.0	spring_2023·פרק1·ש4·מסיח 2 ; summer_2022·פרק2·ש17·אפשרות 4
נצמד	נצמד	analogy+completion	miss		2	2	6.0	spring_2022·פרק1·ש9·אפשרות 3 ; summer_2022·פרק2·ש6·מסיח 1
נקודה	נקודה	analogy	close	נקד	2	2	1.5	2019_spring·פרק2·ש2·רגל ; 2020_winter·פרק2·ש1·מסיח 1
נקי	נקי	analogy	close	נקי	2	2	3.0	winter_2022·פרק1·ש1·מסיח 4 ; winter_2023·פרק2·ש5·מסיח 2
נרגע	נרגע	analogy	miss		2	2	4.0	autumn_2021·פרק1·ש3·מסיח 2 ; winter_2022·פרק2·ש5·מסיח 1
נרכשת	נרכשת	completion	miss		2	2	0.0	summer_2023·פרק1·ש11·אפשרות 2 ; 2020_autumn·פרק2·ש17·אפשרות 2
נשבר	נשבר	analogy+completion	close	שבר	2	2	4.0	autumn_2024·פרק2·ש14·אפשרות 3 ; summer_2025·פרק1·ש4·מסיח 2
נשואים	נשואים	analogy	full	נשיא	2	2	3.5	summer_2025·פרק2·ש3·מסיח 4 ; winter_2023·פרק2·ש4·מסיח 3
נשכרים	נשכרים	completion	close	נשכר	2	2	0.0	winter_2023·פרק1·ש11·אפשרות 4 ; 2020_autumn·פרק1·ש12·אפשרות 3
נתמך	נתמך	analogy	close	תמכ	2	2	4.5	spring_2023·פרק2·ש4·מסיח 2 ; 2019_winter·פרק2·ש5·מסיח 3
סבורה	סבורה	completion	close	סבר	2	2	0.0	spring_2025·פרק2·ש14·אפשרות 1 ; winter_2023·פרק1·ש11·אפשרות 4
סביב	סביב	analogy+completion	close	סבב	2	2	3.0	spring_2023·פרק2·ש3·מסיח 1 ; summer_2021·פרק1·ש11·אפשרות 2
סגור	סגור	analogy	full	סוגר	2	2	4.0	autumn_2023·פרק1·ש5·רגל ; 2020_autumn·פרק2·ש3·מסיח 3
סוכר	סוכר	analogy	full	סכר	2	2	3.0	2019_spring·פרק1·ש1·לא-זוהה ; 2019_winter·פרק1·ש5·מסיח 4
סיכום	סיכום	analogy+completion	full	סכם	2	2	3.0	summer_2022·פרק1·ש9·אפשרות 2 ; summer_2023·פרק1·ש3·מסיח 4
סלט	סלט	analogy	miss		2	2	3.5	autumn_2021·פרק1·ש4·מסיח 3 ; autumn_2025·פרק1·ש3·מסיח 3
סליחה	סליחה	analogy	miss		2	2	4.0	autumn_2025·פרק1·ש4·מסיח 1 ; spring_2025·פרק1·ש4·רגל
ספינה	ספינה	analogy+completion	close	ספנ	2	2	2.0	autumn_2023·פרק2·ש13·אפשרות 2 ; summer_2022·פרק1·ש2·מסיח 3
ספרים	ספרים	analogy+completion	full	ספר	2	2	4.0	spring_2023·פרק1·ש12·אפשרות 4 ; winter_2022·פרק1·ש4·מסיח 4
סקרן	סקרן	analogy	close	קרנ	2	2	1.5	spring_2022·פרק2·ש2·רגל ; spring_2024·פרק1·ש1·מסיח 4
סרגל	סרגל	analogy	close	סרג	2	2	2.0	summer_2024·פרק2·ש2·מסיח 2 ; winter_2023·פרק1·ש2·מסיח 1
עבה	עבה	analogy+completion	miss		2	2	6.0	autumn_2025·פרק1·ש12·אפשרות 2 ; 2019_winter·פרק1·ש6·רגל
עברה	עברה	analogy+completion	full	עברה	2	2	5.0	autumn_2021·פרק1·ש5·מסיח 1 ; autumn_2023·פרק1·ש15·אפשרות 2
עברו	עברו	completion	close	עבר	2	2	0.0	autumn_2024·פרק2·ש12·אפשרות 1 ; autumn_2025·פרק2·ש?·אפשרות 1
עגלה	עגלה	analogy	close	גלה	2	2	2.0	summer_2022·פרק1·ש2·מסיח 4 ; 2020_autumn·פרק2·ש2·רגל
עדיף	עדיף	analogy+completion	miss		2	2	3.0	spring_2025·פרק1·ש10·אפשרות 1 ; 2019_spring·פרק1·ש3·לא-זוהה
עדשה	עדשה	analogy	miss		2	2	3.0	summer_2021·פרק2·ש3·מסיח 4 ; summer_2023·פרק2·ש3·רגל
עובדה	עובדה	completion	close	בדה	2	2	0.0	autumn_2024·פרק2·ש12·אפשרות 3 ; spring_2023·פרק2·ש7·אפשרות 2
עובדים	עובדים	completion	miss		2	2	0.0	winter_2023·פרק1·ש10·אפשרות 1 ; 2019_spring·פרק1·ש14·אפשרות ?
עומד	עומד	completion	close	עמד	2	2	0.0	spring_2025·פרק1·ש12·אפשרות 2 ; 2020_winter·פרק2·ש11·אפשרות 1
עונה	עונה	analogy	miss		2	2	1.5	winter_2022·פרק1·ש2·רגל ; 2020_autumn·פרק2·ש1·מסיח 4
עושה	עושה	completion	close	עשה	2	2	0.0	summer_2021·פרק1·ש12·אפשרות 1 ; winter_2023·פרק1·ש10·אפשרות 1
עט	עט	analogy	full	עט	2	2	3.5	autumn_2023·פרק1·ש2·מסיח 2 ; summer_2022·פרק2·ש5·מסיח 2
עילאי	עילאי	completion	miss		2	2	0.0	summer_2021·פרק2·ש10·אפשרות 3 ; summer_2026·פרק1·ש8·אפשרות 3
עיר	עיר	analogy	full	עיר	2	2	1.0	summer_2025·פרק1·ש1·מסיח 3 ; 2020_autumn·פרק2·ש1·מסיח 2
עלווה	עלווה	analogy	close	עלה	2	2	4.0	autumn_2021·פרק1·ש4·רגל ; 2019_winter·פרק1·ש4·רגל
עליהם	עליהם	completion	close	עלה	2	2	0.0	spring_2023·פרק2·ש7·אפשרות 2 ; 2020_autumn·פרק2·ש16·אפשרות 2
עליי	עליי	completion	full	עלי	2	2	0.0	spring_2024·פרק1·ש17·אפשרות 4 ; summer_2026·פרק2·ש12·אפשרות 3
עלתה	עלתה	completion	close	עלתה	2	2	0.0	spring_2023·פרק1·ש12·אפשרות 2 ; summer_2026·פרק2·ש13·אפשרות 3
עמד על דעתו	עמד על דעתו	analogy	full	עמד על דעתו	2	2	5.0	autumn_2024·פרק2·ש4·מסיח 2 ; spring_2024·פרק1·ש6·מסיח 2
עצלן	עצלן	analogy	miss		2	2	3.5	autumn_2025·פרק2·ש1·מסיח 1 ; winter_2023·פרק2·ש6·רגל
עצר	עצר	analogy+completion	close	עצר	2	2	5.0	autumn_2023·פרק1·ש14·אפשרות 2 ; 2019_winter·פרק2·ש5·מסיח 4
עקב	עקב	completion	close	עקב	2	2	0.0	autumn_2024·פרק2·ש12·אפשרות 3 ; summer_2021·פרק2·ש11·אפשרות 4
עקר	עקר	analogy	full	עקר	2	2	4.5	autumn_2024·פרק1·ש6·מסיח 2 ; summer_2025·פרק1·ש3·מסיח 1
ערער	ערער	analogy	miss		2	2	5.0	spring_2022·פרק1·ש4·מסיח 3 ; 2020_autumn·פרק2·ש6·מסיח 1
עשה	עשה	analogy+completion	close	עשה	2	2	2.0	2020_autumn·פרק1·ש2·מסיח 4 ; 2020_spring·פרק1·ש11·אפשרות 2
עשוי	עשוי	completion	miss		2	2	0.0	summer_2025·פרק1·ש16·אפשרות 4 ; winter_2022·פרק2·ש12·אפשרות 3
עשיר	עשיר	analogy+completion	miss		2	2	5.0	spring_2023·פרק2·ש7·אפשרות 2 ; summer_2021·פרק1·ש5·מסיח 1
עת	עת	analogy	full	עווית	2	2	3.5	winter_2022·פרק2·ש4·מסיח 1 ; 2019_winter·פרק1·ש3·רגל
עתיק	עתיק	analogy	close	עתק	2	2	2.5	autumn_2023·פרק2·ש3·מסיח 3 ; spring_2023·פרק2·ש2·מסיח 1
פגע	פגע	analogy+completion	miss		2	2	2.0	autumn_2023·פרק1·ש13·אפשרות 4 ; 2020_autumn·פרק1·ש2·מסיח 3
פחתה	פחתה	completion	close	חתה	2	2	0.0	summer_2026·פרק2·ש13·אפשרות 4 ; 2020_autumn·פרק2·ש16·אפשרות 4
פנה	פנה	analogy+completion	close	פנה	2	2	4.0	autumn_2023·פרק1·ש13·אפשרות 2 ; 2020_spring·פרק1·ש4·מסיח 4
פסגה	פסגה	analogy	miss		2	2	2.5	summer_2023·פרק1·ש1·מסיח 3 ; 2019_winter·פרק1·ש4·מסיח 2
פעל	פעל	analogy	miss		2	2	5.5	autumn_2025·פרק1·ש5·מסיח 2 ; 2020_winter·פרק2·ש6·מסיח 3
פעמים	פעמים	completion	close	עממ	2	2	0.0	spring_2025·פרק1·ש11·אפשרות 3 ; summer_2026·פרק1·ש9·אפשרות 1
פקד	פקד	analogy	full	פקד	2	2	3.5	summer_2021·פרק2·ש5·רגל ; 2020_summer·פרק1·ש2·מסיח 3
פקודה	פקודה	analogy	close	פקד	2	2	1.5	autumn_2021·פרק2·ש1·מסיח 1 ; autumn_2024·פרק1·ש2·מסיח 4
פקק	פקק	analogy	miss		2	2	2.0	autumn_2024·פרק1·ש3·מסיח 3 ; winter_2023·פרק1·ש1·מסיח 4
פרדס	פרדס	analogy	close	פרד	2	2	3.5	autumn_2021·פרק1·ש1·מסיח 4 ; 2020_spring·פרק2·ש6·מסיח 2
פרס	פרס	analogy	close	פרס	2	2	4.5	spring_2024·פרק2·ש4·מסיח 3 ; 2020_autumn·פרק1·ש5·רגל
פשרנות	פשרנות	analogy	close	פשר	2	2	1.5	summer_2022·פרק2·ש1·מסיח 4 ; winter_2022·פרק2·ש2·מסיח 4
צורך	צורך	completion	close	צרכ	2	2	0.0	summer_2022·פרק1·ש8·אפשרות 2 ; winter_2023·פרק1·ש11·אפשרות 4
צחנה	צחנה	analogy	full	צחנה	2	2	4.5	spring_2025·פרק1·ש5·מסיח 3 ; summer_2021·פרק2·ש4·מסיח 1
צידוק	צידוק	analogy	close	צדק	2	2	5.5	spring_2022·פרק1·ש5·מסיח 3 ; summer_2026·פרק2·ש6·רגל
ציור	ציור	analogy	full	צור	2	2	4.0	spring_2022·פרק1·ש3·מסיח 4 ; summer_2023·פרק2·ש5·מסיח 3
ציפורן	ציפורן	analogy	close	צפר	2	2	3.0	spring_2022·פרק2·ש1·רגל ; 2020_summer·פרק1·ש5·רגל
ציפורניים	ציפורניים	analogy	close	צפר	2	2	5.0	summer_2025·פרק1·ש5·מסיח 4 ; 2020_summer·פרק1·ש5·רגל
צמח	צמח	analogy	miss		2	2	3.5	spring_2025·פרק1·ש2·רגל ; summer_2023·פרק2·ש5·רגל
צפוי	צפוי	analogy+completion	miss		2	2	1.0	autumn_2024·פרק2·ש12·אפשרות 4 ; spring_2023·פרק2·ש1·מסיח 1
צר	צר	completion	full	צור	2	2	0.0	summer_2022·פרק1·ש9·אפשרות 2 ; 2019_spring·פרק2·ש13·אפשרות ?
קודם	קודם	completion	miss		2	2	0.0	autumn_2024·פרק2·ש13·אפשרות 1 ; 2019_winter·פרק2·ש10·אפשרות 2
קורא	קורא	analogy+completion	miss		2	2	1.0	summer_2026·פרק1·ש1·רגל ; 2019_winter·פרק2·ש10·אפשרות 3
קינוח	קינוח	analogy	miss		2	2	3.0	summer_2025·פרק2·ש5·מסיח 2 ; 2020_spring·פרק2·ש1·מסיח 4
קנאה	קנאה	analogy+completion	close	נאה	2	2	4.0	summer_2021·פרק2·ש4·מסיח 3 ; 2019_spring·פרק2·ש13·אפשרות ?
קר	קר	analogy	miss		2	2	3.5	summer_2022·פרק2·ש1·מסיח 3 ; 2019_winter·פרק1·ש6·מסיח 2
קרא	קרא	analogy+completion	miss		2	2	2.0	summer_2025·פרק1·ש2·מסיח 1 ; 2020_winter·פרק2·ש10·אפשרות 1
ראוי	ראוי	completion	miss		2	2	0.0	summer_2023·פרק2·ש15·אפשרות 3 ; winter_2022·פרק2·ש12·אפשרות 2
ראייה	ראייה	analogy	miss		2	2	1.0	autumn_2025·פרק1·ש1·מסיח 1 ; summer_2022·פרק1·ש1·מסיח 1
רגזן	רגזן	analogy	miss		2	2	2.0	spring_2024·פרק1·ש1·מסיח 1 ; summer_2026·פרק2·ש3·מסיח 4
רגיל	רגיל	analogy+completion	miss		2	2	6.0	autumn_2021·פרק1·ש11·אפשרות 3 ; 2019_winter·פרק1·ש6·מסיח 4
רדף	רדף	analogy	miss		2	2	4.0	2019_spring·פרק1·ש6·לא-זוהה ; 2020_summer·פרק1·ש2·מסיח 2
רואה	רואה	completion	miss		2	2	0.0	autumn_2023·פרק2·ש13·אפשרות 3 ; spring_2024·פרק2·ש11·אפשרות 1
רוח	רוח	completion	full	רווח	2	2	0.0	summer_2026·פרק2·ש13·אפשרות 1 ; 2019_spring·פרק2·ש13·אפשרות ?
ריהוט	ריהוט	analogy	full	רהוט	2	2	1.5	2020_summer·פרק2·ש1·מסיח 4 ; 2020_winter·פרק2·ש2·מסיח 2
רישיון	רישיון	completion	miss		2	2	0.0	spring_2024·פרק1·ש16·אפשרות 4 ; 2019_spring·פרק1·ש14·אפשרות ?
רך	רך	analogy	miss		2	2	4.0	summer_2025·פרק1·ש6·מסיח 3 ; winter_2023·פרק1·ש2·מסיח 2
רכישת	רכישת	completion	miss		2	2	0.0	spring_2022·פרק1·ש11·אפשרות 3 ; 2020_autumn·פרק2·ש17·אפשרות 1
רכס	רכס	analogy	full	רכס	2	2	2.5	2019_winter·פרק1·ש4·מסיח 2 ; 2020_summer·פרק1·ש1·מסיח 3
רמז	רמז	analogy	miss		2	2	5.0	autumn_2021·פרק1·ש5·מסיח 4 ; summer_2024·פרק1·ש5·מסיח 3
רעב	רעב	analogy	miss		2	2	1.0	spring_2025·פרק1·ש1·מסיח 3 ; winter_2022·פרק1·ש1·מסיח 1
רפרף	רפרף	analogy	miss		2	2	3.0	spring_2022·פרק1·ש4·מסיח 2 ; summer_2025·פרק1·ש2·מסיח 1
רצון	רצון	completion	miss		2	2	0.0	spring_2022·פרק2·ש17·אפשרות 2 ; summer_2026·פרק2·ש13·אפשרות 4
רציני	רציני	analogy+completion	miss		2	2	3.0	spring_2022·פרק1·ש9·אפשרות 2 ; 2019_spring·פרק1·ש3·לא-זוהה
רשאי	רשאי	analogy+completion	miss		2	2	2.0	autumn_2024·פרק1·ש2·רגל ; winter_2023·פרק1·ש11·אפשרות 4
רשות	רשות	analogy+completion	full	רש	2	2	1.0	autumn_2021·פרק2·ש1·רגל ; winter_2023·פרק1·ש11·אפשרות 4
שאי	שאי	completion	miss		2	2	0.0	summer_2023·פרק1·ש11·אפשרות 1 ; winter_2023·פרק1·ש11·אפשרות 4
שאינן	שאינן	completion	full	שאנן	2	2	0.0	autumn_2025·פרק1·ש10·אפשרות 4 ; spring_2025·פרק1·ש11·אפשרות 2
שאל	שאל	analogy	miss		2	2	1.5	autumn_2025·פרק2·ש2·מסיח 2 ; 2019_winter·פרק1·ש1·רגל
שאפשר	שאפשר	completion	close	פשר	2	2	0.0	summer_2023·פרק1·ש11·אפשרות 2 ; 2020_winter·פרק1·ש9·אפשרות 3
שאפתנות	שאפתנות	analogy+completion	miss		2	2	4.0	summer_2023·פרק1·ש4·מסיח 3 ; winter_2022·פרק2·ש13·אפשרות 4
שבור	שבור	analogy	close	שבר	2	2	1.5	autumn_2021·פרק2·ש2·מסיח 3 ; spring_2023·פרק2·ש1·מסיח 3
שביעות	שביעות	completion	close	בעת	2	2	0.0	autumn_2021·פרק2·ש12·אפשרות 4 ; summer_2026·פרק2·ש13·אפשרות 4
שגוי	שגוי	completion	miss		2	2	0.0	summer_2024·פרק2·ש11·אפשרות 3 ; 2020_summer·פרק2·ש11·אפשרות 2
שגויה	שגויה	completion	close	שגה	2	2	0.0	2020_autumn·פרק1·ש14·אפשרות 1 ; 2020_winter·פרק1·ש9·אפשרות 3
שדה	שדה	analogy	full	שידה	2	2	6.0	summer_2023·פרק1·ש6·מסיח 2 ; 2020_spring·פרק1·ש6·מסיח 3
שהייתה	שהייתה	completion	miss		2	2	0.0	summer_2023·פרק2·ש16·אפשרות 2 ; winter_2023·פרק1·ש11·אפשרות 4
שורש	שורש	analogy	miss		2	2	3.5	spring_2024·פרק1·ש3·מסיח 3 ; 2020_winter·פרק2·ש4·מסיח 2
שחושב	שחושב	completion	miss		2	2	0.0	autumn_2024·פרק1·ש15·אפשרות 1 ; summer_2023·פרק2·ש17·אפשרות 2
שחקן	שחקן	analogy	close	שחק	2	2	1.0	summer_2026·פרק1·ש1·מסיח 4 ; 2020_summer·פרק2·ש1·מסיח 2
שיר	שיר	analogy	full	שור	2	2	4.0	autumn_2021·פרק2·ש3·מסיח 4 ; autumn_2024·פרק2·ש5·רגל
שכאשר	שכאשר	completion	close	אשר	2	2	0.0	spring_2022·פרק2·ש17·אפשרות 1 ; summer_2025·פרק1·ש14·אפשרות 1
