מנורמל	ייצוג	סיבה	הערה	מנה
נחבל	נחבל	דחייה: שורש-קיים		j-24
נלכד	נלכד	דחייה: שורש-קיים		j-24
נמלט בעור שיניו	נמלט בעור שיניו	דחייה: שורש-קיים	ספק: כנראה "בעור שיניו" כבר במאגר	j-24
נמלך בדעתו	נמלך בדעתו	דחייה: שורש-קיים	ספק: הערך הקיים הוא ככל הנראה הניב עצמו	j-24
נספח	נספח	דחייה: שורש-קיים		j-25
סכר את פיו	סכר את פיו	דחייה: שורש-קיים	ספק: ניב, אך כל תוכנו הפועל סָכַר מהשורש הקיים סכר	j-25
עורמה	עורמה	דחייה: שורש-קיים	ספק: הדגל close:רמה הוא צירוף-מקרים, אך פריט עירום באותה קבוצה מסומן close:ערמ — השורש ערמ כבר קיים במאגר	j-26
עלה על יצועו	עלה על יצועו	דחייה: שורש-קיים	ספק: ניב אטום בעל ערך, אך השורש יצע שבליבו כבר במאגר ואין עדות שהמבחן בוחן אותם כערכים נבדלים	j-26
עמדו על טיבו	עמדו על טיבו	דחייה: שורש-קיים	ספק: ניב בעל ערך עצמאי, אך שורש עמד קיים ואין עדות שהמבחן בוחן אותו מול ערך עמד אחר כנבדל	j-26
עשוי בקפידה	עשוי בקפידה	דחייה: שורש-קיים		j-26
פטר	פטר	דחייה: שורש-קיים		j-27
פישט	פישט	דחייה: שורש-קיים		j-27
פקע	פקע	דחייה: שורש-קיים		j-27
פרימה	פרימה	דחייה: שורש-קיים		j-27
פריעה	פריעה	דחייה: שורש-קיים		j-27
פרסות	פרסות	דחייה: שורש-קיים	ספק: פרסה ככל הנראה מאותו שורש פ-ר-ס (מפריס פרסה)	j-27
רוחב לב	רוחב לב	דחייה: שורש-קיים		j-28
תזזיתי	תזזיתי	דחייה: שורש-קיים		j-31
תחנונים	תחנונים	דחייה: שורש-קיים		j-31
תמיהה	תמיהה	דחייה: שורש-קיים		j-31
תרחיש	תרחיש	דחייה: שורש-קיים	ספק: משמעות רחוקה מ"רחש", אך אותו שורש (ר-ח-ש)	j-31
אבדה	אבדה	דחייה: שכיחה		j-02
אבחון	אבחון	דחייה: שכיחה		j-06
אבק	אבק	דחייה: שכיחה		j-06
אגמים	אגמים	דחייה: שכיחה		j-06
אדום	אדום	דחייה: שכיחה		j-06
אדיבים	אדיבים	דחייה: שכיחה		j-06
אדיש	אדיש	דחייה: שכיחה		j-06
אדישות	אדישות	דחייה: שכיחה		j-06
אדמה	אדמה	דחייה: שכיחה		j-06
אדריכל	אדריכל	דחייה: שכיחה		j-02
אהב	אהב	דחייה: שכיחה		j-02
אהוב	אהוב	דחייה: שכיחה		j-06
אוויר	אוויר	דחייה: שכיחה		j-02
אוזניות	אוזניות	דחייה: שכיחה		j-07
אוכל	אוכל	דחייה: שכיחה		j-07
אוכלוסייה	אוכלוסייה	דחייה: שכיחה		j-02
אולי	אולי	דחייה: שכיחה		j-02
אומנות	אומנות	דחייה: שכיחה		j-07
אומץ לב	אומץ לב	דחייה: שכיחה		j-07
אופי	אופי	דחייה: שכיחה		j-02
אופנוע	אופנוע	דחייה: שכיחה		j-07
אופניים	אופניים	דחייה: שכיחה		j-01
אוקיינוס	אוקיינוס	דחייה: שכיחה		j-07
אור	אור	דחייה: שכיחה		j-01
אות	אות	דחייה: שכיחה		j-02
אזהרה	אזהרה	דחייה: שכיחה		j-07
אזעקה	אזעקה	דחייה: שכיחה		j-07
אח	אח	דחייה: שכיחה		j-07
אחורה	אחורה	דחייה: שכיחה		j-07
אחריות	אחריות	דחייה: שכיחה		j-07
איום	איום	דחייה: שכיחה		j-02
איחול	איחול	דחייה: שכיחה		j-07
איחר	איחר	דחייה: שכיחה		j-07
איטי	איטי	דחייה: שכיחה		j-02
אימץ	אימץ	דחייה: שכיחה		j-07
איסור	איסור	דחייה: שכיחה		j-01
איש	איש	דחייה: שכיחה		j-07
אישי	אישי	דחייה: שכיחה		j-07
איתרוהו	איתרוהו	דחייה: שכיחה	ספק: הוחזר ללמה אִתֵּר — שכיחה (לאתר, איתור)	j-07
אכזבה	אכזבה	דחייה: שכיחה		j-01
אכילה	אכילה	דחייה: שכיחה		j-02
אכיפה	אכיפה	דחייה: שכיחה		j-07
אכל	אכל	דחייה: שכיחה		j-01
אלרגי	אלרגי	דחייה: שכיחה		j-07
אמבט	אמבט	דחייה: שכיחה		j-07
אמונה	אמונה	דחייה: שכיחה		j-07
אמין	אמין	דחייה: שכיחה		j-07
אמינות	אמינות	דחייה: שכיחה		j-07
אמת	אמת	דחייה: שכיחה		j-01
אנושיות	אנושיות	דחייה: שכיחה		j-07
אנסה	אנסה	דחייה: שכיחה	ספק: עתיד של נִסָּה — הלמה שכיחה	j-07
אנרגיה	אנרגיה	דחייה: שכיחה		j-07
אסור	אסור	דחייה: שכיחה		j-07
אסיר	אסיר	דחייה: שכיחה		j-07
אפשרות	אפשרות	דחייה: שכיחה		j-01
אצטדיון	אצטדיון	דחייה: שכיחה		j-07
אצן	אצן	דחייה: שכיחה	ספק: מוכר לרוב התלמידים מסיקור ספורט	j-07
אקדח	אקדח	דחייה: שכיחה		j-07
אקווריום	אקווריום	דחייה: שכיחה		j-07
ארוך	ארוך	דחייה: שכיחה		j-07
ארון	ארון	דחייה: שכיחה		j-07
ארמון	ארמון	דחייה: שכיחה		j-07
ארנק	ארנק	דחייה: שכיחה		j-02
אש	אש	דחייה: שכיחה		j-01
אשליות	אשליות	דחייה: שכיחה		j-07
אשם	אשם	דחייה: שכיחה		j-07
אשמה	אשמה	דחייה: שכיחה		j-02
אתמול	אתמול	דחייה: שכיחה		j-02
בא	בא	דחייה: שכיחה		j-02
באקראי	באקראי	דחייה: שכיחה		j-07
בביצת	בביצת	דחייה: שכיחה	ספק: בֵּיצָה או בִּצָּה — שתי הקריאות שכיחות	j-07
בגד	בגד	דחייה: שכיחה	ספק: הומוגרף (בֶּגֶד/בָּגַד), אך שתי הקריאות מוכרות לכל תלמיד	j-01
בגדים	בגדים	דחייה: שכיחה		j-02
בגדר	בגדר	דחייה: שכיחה		j-07
בגרות	בגרות	דחייה: שכיחה		j-07
בד	בד	דחייה: שכיחה		j-03
בדעה	בדעה	דחייה: שכיחה		j-07
בהוצאות	בהוצאות	דחייה: שכיחה		j-07
בהחלט	בהחלט	דחייה: שכיחה		j-03
בהיסטוריה	בהיסטוריה	דחייה: שכיחה		j-07
בהיעדר	בהיעדר	דחייה: שכיחה		j-07
בהצגת	בהצגת	דחייה: שכיחה		j-07
בהצלחה	בהצלחה	דחייה: שכיחה		j-03
בהרבה	בהרבה	דחייה: שכיחה		j-03
בהתאם	בהתאם	דחייה: שכיחה		j-01
בוגר	בוגר	דחייה: שכיחה		j-07
בוודאות	בוודאות	דחייה: שכיחה		j-07
בוודאי	בוודאי	דחייה: שכיחה		j-03
בוחר	בוחר	דחייה: שכיחה		j-08
בולט	בולט	דחייה: שכיחה		j-08
בולי עץ	בולי עץ	דחייה: שכיחה	ספק: ביטוי מוכר לרוב התלמידים, מסיח בשאלה 1	j-08
בושה	בושה	דחייה: שכיחה		j-08
בזבוז	בזבוז	דחייה: שכיחה		j-08
בזכות	בזכות	דחייה: שכיחה		j-08
בחיוב	בחיוב	דחייה: שכיחה		j-08
בחירות	בחירות	דחייה: שכיחה		j-08
בחר	בחר	דחייה: שכיחה		j-08
בטלן	בטלן	דחייה: שכיחה		j-08
בידי	בידי	דחייה: שכיחה		j-03
ביוקר	ביוקר	דחייה: שכיחה		j-08
בינוני	בינוני	דחייה: שכיחה		j-08
ביצה	ביצה	דחייה: שכיחה	ספק: הומוגרף (בֵּיצָה/בִּיצָה) אך שתי הקריאות שכיחות	j-08
ביצים	ביצים	דחייה: שכיחה		j-08
ביקרו	ביקרו	דחייה: שכיחה		j-08
ביקש	ביקש	דחייה: שכיחה		j-01
בית	בית	דחייה: שכיחה		j-01
בית חרושת	בית חרושת	דחייה: שכיחה		j-08
בית מלאכה	בית מלאכה	דחייה: שכיחה	ספק: מוכר לרוב התלמידים, מסיח בשאלה 1	j-08
בית ספר	בית ספר	דחייה: שכיחה		j-08
בכוח	בכוח	דחייה: שכיחה		j-08
בליטה	בליטה	דחייה: שכיחה		j-08
במדינה	במדינה	דחייה: שכיחה		j-03
במה	במה	דחייה: שכיחה		j-08
במיוחד	במיוחד	דחייה: שכיחה		j-03
בנה	בנה	דחייה: שכיחה		j-03
בנייה	בנייה	דחייה: שכיחה		j-03
בניין	בניין	דחייה: שכיחה		j-03
בסדר	בסדר	דחייה: שכיחה		j-03
בעוד	בעוד	דחייה: שכיחה		j-08
בעיה	בעיה	דחייה: שכיחה		j-08
בפועל	בפועל	דחייה: שכיחה		j-03
בפני	בפני	דחייה: שכיחה		j-08
בצק	בצק	דחייה: שכיחה		j-08
בקבוק	בקבוק	דחייה: שכיחה		j-03
בקרבת	בקרבת	דחייה: שכיחה		j-03
בקרוב	בקרוב	דחייה: שכיחה		j-08
בקשה	בקשה	דחייה: שכיחה		j-08
ברדלס	ברדלס	דחייה: שכיחה	ספק: שם בעל-חיים מוכר, רגל בשאלה 1 הקלה	j-08
ברור	ברור	דחייה: שכיחה		j-01
ברורה	ברורה	דחייה: שכיחה		j-09
ברז	ברז	דחייה: שכיחה		j-03
בריאות	בריאות	דחייה: שכיחה		j-03
בריכה	בריכה	דחייה: שכיחה		j-09
ברירה	ברירה	דחייה: שכיחה		j-09
ברית	ברית	דחייה: שכיחה		j-09
ברק	ברק	דחייה: שכיחה		j-09
בררה	בררה	דחייה: שכיחה		j-09
בשאלות	בשאלות	דחייה: שכיחה		j-09
בשעון	בשעון	דחייה: שכיחה		j-09
בתוקף	בתוקף	דחייה: שכיחה		j-09
בתנאי	בתנאי	דחייה: שכיחה		j-09
בתקופה	בתקופה	דחייה: שכיחה		j-09
גבוהים	גבוהים	דחייה: שכיחה		j-09
גבול	גבול	דחייה: שכיחה		j-03
גבולות	גבולות	דחייה: שכיחה		j-09
גבינה	גבינה	דחייה: שכיחה		j-09
גג	גג	דחייה: שכיחה		j-09
גדר	גדר	דחייה: שכיחה		j-03
גובה	גובה	דחייה: שכיחה		j-09
גוון	גוון	דחייה: שכיחה		j-09
גיל	גיל	דחייה: שכיחה		j-09
גינוי	גינוי	דחייה: שכיחה		j-09
גירד	גירד	דחייה: שכיחה		j-09
גישה	גישה	דחייה: שכיחה		j-09
גלגלים	גלגלים	דחייה: שכיחה		j-09
גלים	גלים	דחייה: שכיחה		j-09
גסות	גסות	דחייה: שכיחה		j-09
גפרור	גפרור	דחייה: שכיחה		j-01
גרזן	גרזן	דחייה: שכיחה		j-01
גשם	גשם	דחייה: שכיחה		j-03
גשר	גשר	דחייה: שכיחה		j-09
דבש	דבש	דחייה: שכיחה		j-09
דג	דג	דחייה: שכיחה		j-03
דגים	דגים	דחייה: שכיחה		j-09
דגר	דגר	דחייה: שכיחה	ספק: מוכר לתלמידים מ"דגירה" בלימודי מדעים	j-09
דגש	דגש	דחייה: שכיחה		j-09
דואג	דואג	דחייה: שכיחה		j-09
דוד	דוד	דחייה: שכיחה		j-09
דורש	דורש	דחייה: שכיחה		j-09
דחה	דחה	דחייה: שכיחה		j-03
דחוס	דחוס	דחייה: שכיחה		j-09
דחיית	דחיית	דחייה: שכיחה		j-09
דחיפות	דחיפות	דחייה: שכיחה		j-09
דיג	דיג	דחייה: שכיחה		j-09
דיווח	דיווח	דחייה: שכיחה		j-09
דיווחו	דיווחו	דחייה: שכיחה		j-09
דין	דין	דחייה: שכיחה		j-03
דירה	דירה	דחייה: שכיחה		j-09
דלי	דלי	דחייה: שכיחה		j-09
דלת	דלת	דחייה: שכיחה		j-09
דמויות	דמויות	דחייה: שכיחה		j-09
דמיון	דמיון	דחייה: שכיחה		j-09
דע	דע	דחייה: שכיחה		j-09
דף	דף	דחייה: שכיחה		j-03
דפים	דפים	דחייה: שכיחה		j-09
דפק	דפק	דחייה: שכיחה		j-09
דקה	דקה	דחייה: שכיחה		j-09
דרומי	דרומי	דחייה: שכיחה		j-09
דרושים	דרושים	דחייה: שכיחה		j-09
דתות	דתות	דחייה: שכיחה		j-09
האדישות	האדישות	דחייה: שכיחה		j-09
האהבה	האהבה	דחייה: שכיחה		j-09
האוויר	האוויר	דחייה: שכיחה		j-10
האופן	האופן	דחייה: שכיחה		j-10
האי	האי	דחייה: שכיחה		j-10
האיזון	האיזון	דחייה: שכיחה		j-10
האין	האין	דחייה: שכיחה		j-10
האכיל	האכיל	דחייה: שכיחה		j-10
האשים	האשים	דחייה: שכיחה		j-10
האשמה	האשמה	דחייה: שכיחה		j-10
הבא	הבא	דחייה: שכיחה		j-10
הבהוב	הבהוב	דחייה: שכיחה		j-10
הבוגר	הבוגר	דחייה: שכיחה		j-10
הבחין	הבחין	דחייה: שכיחה		j-03
הבטחה	הבטחה	דחייה: שכיחה		j-10
הבטיח	הבטיח	דחייה: שכיחה		j-10
הביט	הביט	דחייה: שכיחה		j-10
הבין	הבין	דחייה: שכיחה		j-03
הבינה	הבינה	דחייה: שכיחה		j-10
הביצות	הביצות	דחייה: שכיחה		j-10
הבנת	הבנת	דחייה: שכיחה		j-10
הברה	הברה	דחייה: שכיחה	ספק: מונח לשוני שנלמד כבר בבית הספר היסודי	j-10
הבריא	הבריא	דחייה: שכיחה		j-10
הדבקה	הדבקה	דחייה: שכיחה		j-10
הדגים	הדגים	דחייה: שכיחה		j-03
הדגש	הדגש	דחייה: שכיחה		j-10
הדגשה	הדגשה	דחייה: שכיחה		j-03
הדיג	הדיג	דחייה: שכיחה		j-10
הדלקה	הדלקה	דחייה: שכיחה		j-10
הדרגה	הדרגה	דחייה: שכיחה		j-10
הדשא	הדשא	דחייה: שכיחה		j-10
הדתי	הדתי	דחייה: שכיחה		j-10
ההאזנה	ההאזנה	דחייה: שכיחה		j-10
ההווה	ההווה	דחייה: שכיחה		j-10
ההוצאות	ההוצאות	דחייה: שכיחה		j-10
ההפרה	ההפרה	דחייה: שכיחה		j-10
הודה	הודה	דחייה: שכיחה		j-10
הוסיף	הוסיף	דחייה: שכיחה		j-10
הופתעתי	הופתעתי	דחייה: שכיחה		j-01
הוצאות	הוצאות	דחייה: שכיחה		j-10
הזדקק	הזדקק	דחייה: שכיחה		j-10
הזהיר	הזהיר	דחייה: שכיחה		j-03
הזכיר	הזכיר	דחייה: שכיחה		j-10
הזמין	הזמין	דחייה: שכיחה		j-10
הזעה	הזעה	דחייה: שכיחה		j-10
הזרוע	הזרוע	דחייה: שכיחה		j-10
הזרים	הזרים	דחייה: שכיחה		j-10
החבוי	החבוי	דחייה: שכיחה		j-10
החברה	החברה	דחייה: שכיחה		j-03
החברתיות	החברתיות	דחייה: שכיחה		j-10
החברתית	החברתית	דחייה: שכיחה		j-10
החדשה	החדשה	דחייה: שכיחה		j-10
החוף	החוף	דחייה: שכיחה		j-10
החופים	החופים	דחייה: שכיחה		j-10
החושפים	החושפים	דחייה: שכיחה		j-10
החי	החי	דחייה: שכיחה		j-10
החינוך	החינוך	דחייה: שכיחה		j-03
החלטה	החלטה	דחייה: שכיחה		j-01
החליט	החליט	דחייה: שכיחה		j-03
החליש	החליש	דחייה: שכיחה		j-03
החלמה	החלמה	דחייה: שכיחה		j-03
החמור	החמור	דחייה: שכיחה		j-10
החמיא	החמיא	דחייה: שכיחה		j-10
החרמה	החרמה	דחייה: שכיחה		j-10
החשוב	החשוב	דחייה: שכיחה		j-03
החשובות	החשובות	דחייה: שכיחה		j-10
החשש	החשש	דחייה: שכיחה		j-03
הטענה	הטענה	דחייה: שכיחה		j-03
היבטים	היבטים	דחייה: שכיחה		j-10
היחיד	היחיד	דחייה: שכיחה		j-10
היחידים	היחידים	דחייה: שכיחה		j-10
היינו	היינו	דחייה: שכיחה		j-10
היכל	היכל	דחייה: שכיחה		j-10
היסוד	היסוד	דחייה: שכיחה		j-01
היסודי	היסודי	דחייה: שכיחה		j-11
היסס	היסס	דחייה: שכיחה		j-11
היעדר	היעדר	דחייה: שכיחה		j-11
היענות	היענות	דחייה: שכיחה	ספק: שגורה וכמעט שקופה מ"נענה"	j-11
הישג	הישג	דחייה: שכיחה		j-03
הישגים	הישגים	דחייה: שכיחה		j-11
הכביסה	הכביסה	דחייה: שכיחה		j-11
הכה	הכה	דחייה: שכיחה		j-11
הכחשה	הכחשה	דחייה: שכיחה		j-11
הכנס	הכנס	דחייה: שכיחה		j-11
הכתוביות	הכתוביות	דחייה: שכיחה		j-11
הכתובים	הכתובים	דחייה: שכיחה		j-11
הלוואי	הלוואי	דחייה: שכיחה		j-03
הלחיץ	הלחיץ	דחייה: שכיחה		j-11
הליכה	הליכה	דחייה: שכיחה		j-11
הלשין	הלשין	דחייה: שכיחה	ספק: שגורה בלשון תלמידים ("להלשין"), אף שהופיעה כרגל	j-11
המגמה	המגמה	דחייה: שכיחה		j-11
המדיניות	המדיניות	דחייה: שכיחה		j-11
המדינית	המדינית	דחייה: שכיחה		j-11
המדע	המדע	דחייה: שכיחה		j-11
המדעי	המדעי	דחייה: שכיחה		j-11
המודרנית	המודרנית	דחייה: שכיחה		j-11
המוזיקה	המוזיקה	דחייה: שכיחה		j-03
המוכיחים	המוכיחים	דחייה: שכיחה		j-11
המומחים	המומחים	דחייה: שכיחה		j-11
המוסף	המוסף	דחייה: שכיחה		j-11
המוצקות	המוצקות	דחייה: שכיחה		j-11
המוקדמת	המוקדמת	דחייה: שכיחה		j-11
המחבר	המחבר	דחייה: שכיחה		j-03
המידה	המידה	דחייה: שכיחה		j-03
המיוחסות	המיוחסות	דחייה: שכיחה		j-11
המכוונת	המכוונת	דחייה: שכיחה		j-11
המנסים	המנסים	דחייה: שכיחה		j-11
המסומנים	המסומנים	דחייה: שכיחה		j-11
המסייעת	המסייעת	דחייה: שכיחה		j-11
המסע	המסע	דחייה: שכיחה		j-11
המעודד	המעודד	דחייה: שכיחה		j-03
המעוניינים	המעוניינים	דחייה: שכיחה		j-11
המעוף	המעוף	דחייה: שכיחה		j-11
המעידים	המעידים	דחייה: שכיחה		j-11
המערכת	המערכת	דחייה: שכיחה		j-11
המצמצם	המצמצם	דחייה: שכיחה		j-11
המקורבות	המקורבות	דחייה: שכיחה		j-11
המשמשת	המשמשת	דחייה: שכיחה		j-11
המשקאות	המשקאות	דחייה: שכיחה		j-11
המשרד	המשרד	דחייה: שכיחה		j-11
הנאה	הנאה	דחייה: שכיחה		j-01
הנהון	הנהון	דחייה: שכיחה	ספק: "הנהן" מוכר לתלמידים; הופעה יחידה כמסיח בש' 1	j-11
הנחשבות	הנחשבות	דחייה: שכיחה		j-11
הנמנע	הנמנע	דחייה: שכיחה		j-11
הסטנדרטים	הסטנדרטים	דחייה: שכיחה		j-11
הסיבה	הסיבה	דחייה: שכיחה		j-11
הסיכוי	הסיכוי	דחייה: שכיחה		j-11
הסכמה	הסכמה	דחייה: שכיחה		j-01
הסנדלר	הסנדלר	דחייה: שכיחה		j-11
הסף	הסף	דחייה: שכיחה		j-11
הסרטים	הסרטים	דחייה: שכיחה		j-11
הסתגר	הסתגר	דחייה: שכיחה		j-11
הסתכן	הסתכן	דחייה: שכיחה		j-11
הסתכנות	הסתכנות	דחייה: שכיחה		j-11
הסתלק	הסתלק	דחייה: שכיחה		j-11
הסתפק	הסתפק	דחייה: שכיחה		j-11
הסתפר	הסתפר	דחייה: שכיחה		j-11
הסתרק	הסתרק	דחייה: שכיחה		j-11
העדיף	העדיף	דחייה: שכיחה		j-03
העדיפו	העדיפו	דחייה: שכיחה		j-11
העדפה	העדפה	דחייה: שכיחה		j-11
העובדים	העובדים	דחייה: שכיחה		j-03
העונש	העונש	דחייה: שכיחה		j-11
העורכים	העורכים	דחייה: שכיחה		j-11
העידו	העידו	דחייה: שכיחה		j-12
העיסוק	העיסוק	דחייה: שכיחה		j-12
העיצוב	העיצוב	דחייה: שכיחה		j-12
העישון	העישון	דחייה: שכיחה		j-12
העיתונות	העיתונות	דחייה: שכיחה		j-12
העכשווי	העכשווי	דחייה: שכיחה		j-12
העלאת	העלאת	דחייה: שכיחה		j-12
העלה	העלה	דחייה: שכיחה		j-03
העליב	העליב	דחייה: שכיחה		j-12
הענבים	הענבים	דחייה: שכיחה		j-12
העניש	העניש	דחייה: שכיחה		j-03
הענקה	הענקה	דחייה: שכיחה		j-12
הערך	הערך	דחייה: שכיחה		j-12
הפושע	הפושע	דחייה: שכיחה		j-12
הפחיד	הפחיד	דחייה: שכיחה		j-03
הפיוטית	הפיוטית	דחייה: שכיחה	ספק: פיוטי מוכר לרוב התלמידים; הופעה יחידה כאפשרות-השלמה	j-12
הפיל	הפיל	דחייה: שכיחה		j-12
הפסיק	הפסיק	דחייה: שכיחה		j-12
הפסיקו	הפסיקו	דחייה: שכיחה		j-12
הפרדה	הפרדה	דחייה: שכיחה		j-12
הפרטים	הפרטים	דחייה: שכיחה		j-12
הפתיע	הפתיע	דחייה: שכיחה		j-12
הצומח	הצומח	דחייה: שכיחה		j-03
הצחיק	הצחיק	דחייה: שכיחה		j-12
הצטדק	הצטדק	דחייה: שכיחה	ספק: רווח בלשון הדיבור ("אל תצטדק"), אך גבולי	j-12
הצטננות	הצטננות	דחייה: שכיחה		j-12
הציבורי	הציבורי	דחייה: שכיחה		j-12
הציגה	הציגה	דחייה: שכיחה		j-12
הצית	הצית	דחייה: שכיחה		j-12
הצלחה	הצלחה	דחייה: שכיחה		j-03
הצמיד	הצמיד	דחייה: שכיחה		j-12
הצעה	הצעה	דחייה: שכיחה		j-03
הצעת	הצעת	דחייה: שכיחה		j-12
הצפויה	הצפויה	דחייה: שכיחה		j-12
הצפיפות	הצפיפות	דחייה: שכיחה		j-12
הקדמה	הקדמה	דחייה: שכיחה		j-12
הקו	הקו	דחייה: שכיחה		j-12
הקיים	הקיים	דחייה: שכיחה		j-12
הקמת	הקמת	דחייה: שכיחה		j-12
הקרוב	הקרוב	דחייה: שכיחה		j-12
הקרובות	הקרובות	דחייה: שכיחה		j-12
הקשיב	הקשיב	דחייה: שכיחה		j-12
הר	הר	דחייה: שכיחה		j-12
הראוי	הראוי	דחייה: שכיחה		j-12
הראיות	הראיות	דחייה: שכיחה		j-12
הרבים	הרבים	דחייה: שכיחה		j-12
הרגיז	הרגיז	דחייה: שכיחה		j-03
הרגיע	הרגיע	דחייה: שכיחה		j-12
הרוב	הרוב	דחייה: שכיחה		j-12
הרחק	הרחק	דחייה: שכיחה		j-12
הרחקה	הרחקה	דחייה: שכיחה		j-12
הריכוז	הריכוז	דחייה: שכיחה		j-12
הרמה	הרמה	דחייה: שכיחה		j-12
הרמת ידיים	הרמת ידיים	דחייה: שכיחה		j-12
הרס	הרס	דחייה: שכיחה		j-12
הרעיש	הרעיש	דחייה: שכיחה		j-12
הרפתקה	הרפתקה	דחייה: שכיחה		j-12
הרצון	הרצון	דחייה: שכיחה		j-12
הרשה	הרשה	דחייה: שכיחה		j-12
הרשויות	הרשויות	דחייה: שכיחה		j-12
השאיפה	השאיפה	דחייה: שכיחה		j-12
השוויון	השוויון	דחייה: שכיחה		j-12
השטח	השטח	דחייה: שכיחה		j-12
השכלה	השכלה	דחייה: שכיחה		j-03
השכרה	השכרה	דחייה: שכיחה		j-12
השם	השם	דחייה: שכיחה		j-12
השקיעו	השקיעו	דחייה: שכיחה		j-12
השקעה	השקעה	דחייה: שכיחה		j-12
השתוקק	השתוקק	דחייה: שכיחה	ספק: משתוקק רווח בלשון; הופעה יחידה כאפשרות-השלמה	j-12
השתחרר	השתחרר	דחייה: שכיחה		j-12
השתמש	השתמש	דחייה: שכיחה		j-12
השתנתה	השתנתה	דחייה: שכיחה		j-13
השתעמם	השתעמם	דחייה: שכיחה		j-13
השתקע	השתקע	דחייה: שכיחה	ספק: מוכרת לרוב התלמידים; הופעה יחידה כמסיח בשאלה 1	j-13
השתתף	השתתף	דחייה: שכיחה		j-03
השתתק	השתתק	דחייה: שכיחה		j-13
התאהב	התאהב	דחייה: שכיחה		j-13
התאייד	התאייד	דחייה: שכיחה	ספק: מונח מוכר משיעורי מדעים (התאיידות)	j-13
התאמן	התאמן	דחייה: שכיחה		j-13
התארח	התארח	דחייה: שכיחה		j-13
התבטאות	התבטאות	דחייה: שכיחה		j-13
התביעה	התביעה	דחייה: שכיחה		j-03
התבקש	התבקש	דחייה: שכיחה		j-13
התברר	התברר	דחייה: שכיחה		j-01
התגרש	התגרש	דחייה: שכיחה		j-13
התוצאה	התוצאה	דחייה: שכיחה		j-13
התוצאות	התוצאות	דחייה: שכיחה		j-13
התושבים	התושבים	דחייה: שכיחה		j-03
התחבורה	התחבורה	דחייה: שכיחה		j-13
התחבק	התחבק	דחייה: שכיחה		j-03
התחום	התחום	דחייה: שכיחה		j-13
התחמם	התחמם	דחייה: שכיחה		j-13
התחצף	התחצף	דחייה: שכיחה		j-13
התייחס	התייחס	דחייה: שכיחה		j-13
התייעץ	התייעץ	דחייה: שכיחה		j-13
התלבט	התלבט	דחייה: שכיחה		j-13
התלבש	התלבש	דחייה: שכיחה		j-13
התלווה	התלווה	דחייה: שכיחה		j-13
התלוצץ	התלוצץ	דחייה: שכיחה		j-13
התמלא	התמלא	דחייה: שכיחה		j-13
התמקד	התמקד	דחייה: שכיחה		j-13
התמקח	התמקח	דחייה: שכיחה	ספק: רווחת בלשון הדיבור (להתמקח על מחיר)	j-13
התנגדות	התנגדות	דחייה: שכיחה		j-13
התנהגות	התנהגות	דחייה: שכיחה		j-13
התנפץ	התנפץ	דחייה: שכיחה		j-13
התנצל	התנצל	דחייה: שכיחה		j-03
התנצלות	התנצלות	דחייה: שכיחה		j-13
התעודד	התעודד	דחייה: שכיחה		j-03
התעורר	התעורר	דחייה: שכיחה		j-13
התעכב	התעכב	דחייה: שכיחה		j-13
התעניינות	התעניינות	דחייה: שכיחה		j-13
התעצל	התעצל	דחייה: שכיחה		j-13
התעקש	התעקש	דחייה: שכיחה		j-13
התערב	התערב	דחייה: שכיחה		j-13
התפורר	התפורר	דחייה: שכיחה		j-13
התפייסות	התפייסות	דחייה: שכיחה	ספק: פיוס מוכר לכל תלמיד (ריב ופיוס)	j-13
התפקע	התפקע	דחייה: שכיחה		j-13
התפרנס	התפרנס	דחייה: שכיחה		j-13
התקמט	התקמט	דחייה: שכיחה		j-13
התקנא	התקנא	דחייה: שכיחה		j-13
התקשו	התקשו	דחייה: שכיחה		j-13
התרגז	התרגז	דחייה: שכיחה		j-13
התרענן	התרענן	דחייה: שכיחה		j-13
התרשם	התרשם	דחייה: שכיחה		j-13
ובאותיות	ובאותיות	דחייה: שכיחה		j-13
ובמיוחד	ובמיוחד	דחייה: שכיחה		j-13
ודחופים	ודחופים	דחייה: שכיחה		j-13
ודל	ודל	דחייה: שכיחה		j-13
והובסו	והובסו	דחייה: שכיחה		j-13
והעורכים	והעורכים	דחייה: שכיחה		j-13
והתמקדו	והתמקדו	דחייה: שכיחה		j-13
וזכתה	וזכתה	דחייה: שכיחה		j-13
ויכוח	ויכוח	דחייה: שכיחה		j-03
ויתר	ויתר	דחייה: שכיחה		j-13
וכדור	וכדור	דחייה: שכיחה		j-13
ולהעלות	ולהעלות	דחייה: שכיחה		j-14
ולחדש	ולחדש	דחייה: שכיחה		j-14
ומגובשות	ומגובשות	דחייה: שכיחה		j-14
ומחזק	ומחזק	דחייה: שכיחה		j-14
ומיומנים	ומיומנים	דחייה: שכיחה		j-14
ומעמיקה	ומעמיקה	דחייה: שכיחה		j-14
ומצמצם	ומצמצם	דחייה: שכיחה		j-14
ומשאבים	ומשאבים	דחייה: שכיחה		j-14
ומתישה	ומתישה	דחייה: שכיחה		j-14
ונוסף	ונוסף	דחייה: שכיחה		j-14
ועירנות	ועירנות	דחייה: שכיחה	ספק: עירנות מוכרת לרוב התלמידים אך פחות יומיומית	j-14
וענבים	וענבים	דחייה: שכיחה		j-14
