מילה	פירוש היום	הפירוש החדש	הכרעה	נימוק
recognition	הכרה	הכרה; זיהוי	פאנל 3/3	פירוש צר מדי
recognize	לזהות	לזהות; להכיר	פאנל 3/3	פירוש צר מדי
reconstruct	לשחזר	לשחזר; לבנות מחדש	פאנל 3/3	פירוש צר מדי
recruit	לגייס	לגייס; טירון	פאנל 3/3	פירוש צר מדי
refer	מתייחס	להתייחס, מתייחס; להפנות	פאנל 3/3	פירוש שגוי
refined	מעודן, מלוטש	מעודן, מלוטש; מזוקק	פאנל 3/3	פירוש צר מדי
reflection	השתקפות	השתקפות; הרהור	פאנל 3/3	פירוש צר מדי
regard	להתייחס, להחשיב	להתייחס, להחשיב; כבוד	פאנל 3/3	פירוש צר מדי
regret	להתחרט, חרטה	להצטער, להתחרט, חרטה	פאנל 3/3	מובן נפוץ חסר
regulate	לווסת	להסדיר, לווסת	פאנל 3/3	מובן נפוץ חסר
reign	שלטון	שלטון; למלוך	פאנל 3/3	פירוש צר מדי
relationship	מערכת יחסים	קשר, מערכת יחסים	פאנל 3/3	פירוש שגוי
relocate	למקם מחדש	לעבור, למקם מחדש; להעביר	פאנל 3/3	פירוש שגוי
remedy	תרופה	תרופה; לתקן	פאנל 3/3	פירוש צר מדי
reservation	שמורה; שריון מקום	הזמנה, שמורה; שריון מקום; הסתייגות	פאנל 3/3	פירוש שגוי
reserve	עתודה, מילואים; לשמור; שמורה	להזמין מראש, עתודה, מילואים; לשמור; שמורה	פאנל 3/3	מובן נפוץ חסר
resigned	התפטר	התפטר; משלים	פאנל 3/3	פירוש שגוי
resistance	התנגדות, מחתרת	התנגדות, מחתרת; עמידות	פאנל 3/3	פירוש צר מדי
result	תוצאה	תוצאה; לנבוע	פאנל 3/3	פירוש צר מדי
result in	הסתיים ב-	לגרום ל, הסתיים ב-; להוביל ל	פאנל 3/3	פירוש שגוי
resume	להמשיך	להמשיך; קורות חיים	פאנל 3/3	פירוש צר מדי
retreat	לסגת, נסיגה	לסגת, נסיגה; מפלט	פאנל 3/3	פירוש צר מדי
riddle	חידה	חידה; לנקב	פאנל 3/3	פירוש צר מדי
ride	רכיבה, לרכוב	רכיבה, לרכוב; נסיעה	פאנל 3/3	פירוש צר מדי
right	ימינה; זכות	נכון, ימינה; זכות; ימין	פאנל 3/3	מובן נפוץ חסר
rim	שפה	שפה; חישוק	פאנל 3/3	פירוש צר מדי
ring	טבעת; זירה	טבעת; זירה; לצלצל	פאנל 3/3	פירוש צר מדי
robe	חלוק	חלוק; גלימה	פאנל 3/3	פירוש צר מדי
ruin	להרוס	להרוס; חורבה	פאנל 3/3	פירוש צר מדי
run, ran	לרוץ, רץ	לרוץ, רץ; לנהל	פאנל 3/3	פירוש צר מדי
safe	בטוח	בטוח; כספת	פאנל 3/3	פירוש צר מדי
sake	תועלת, עניין	למען, תועלת, עניין	פאנל 3/3	פירוש שגוי
sanctuary	מקדש; מקלט	מקדש; מקלט; שמורה	פאנל 3/3	פירוש צר מדי
saw	מסור	לראות, מסור	פאנל 3/3	פירוש שגוי
scale	מאזניים; לעלות, לטפס; סולם, סקלה	קנה מידה, מאזניים; לעלות, לטפס; סולם, סקלה	פאנל 3/3	מובן נפוץ חסר
scales	קשקשים (של דג)	מאזניים, קשקשים (של דג)	פאנל 3/3	מובן נפוץ חסר
scarce	נדיר	נדיר; מועט	פאנל 3/3	פירוש צר מדי
secret	סוד	סוד; סודי	פאנל 3/3	פירוש צר מדי
secure	להבטיח, לשמור, להגן	בטוח, להבטיח, לשמור, להגן; לאבטח	פאנל 3/3	פירוש שגוי
seek, sought	לחפש, חיפש	לחפש, חיפש; לבקש	פאנל 3/3	פירוש צר מדי
seizure	התקף	התקף; תפיסה	פאנל 3/3	פירוש צר מדי
selective	סלקטיבי	בררני, סלקטיבי	פאנל 3/3	מובן נפוץ חסר
sensations	חדשות מרעישות	תחושה, חדשות מרעישות; סנסציה	פאנל 3/3	פירוש שגוי
sentiments	רגשות	רגשות; דעה	פאנל 3/3	פירוש שגוי
separation	הפרדה	הפרדה; פרידה	פאנל 3/3	פירוש צר מדי
share	מניה; לחלוק	לשתף, מניה; לחלוק; חלק	פאנל 3/3	מובן נפוץ חסר
shelter	מקלט	מחסה, מקלט	פאנל 3/3	מובן נפוץ חסר
shift	משמרת; להזיז	שינוי, משמרת; להזיז	פאנל 3/3	מובן נפוץ חסר
shingles	רעף	שלבקת חוגרת, רעף	פאנל 3/3	מובן נפוץ חסר
short	קצר	קצר; נמוך	פאנל 3/3	פירוש צר מדי
shrink	לכווץ ,כיווץ	להתכווץ, לכווץ ,כיווץ	פאנל 3/3	פירוש שגוי
shroud	תכריך, עטיפה	תכריך, עטיפה; לאפוף	פאנל 3/3	פירוש צר מדי
shuttle	מעבורת	הסעה, מעבורת	פאנל 3/3	מובן נפוץ חסר
sight	ראייה, כוונת	ראייה, כוונת; מראה	פאנל 3/3	פירוש צר מדי
simply	בפשטות	פשוט, בפשטות	פאנל 3/3	מובן נפוץ חסר
size	גודל	גודל; מידה	פאנל 3/3	פירוש צר מדי
slant	אלכסון, נטייה	הטיה, אלכסון, נטייה; שיפוע	פאנל 3/3	פירוש שגוי
slate	לקבוע (מועד), להכניס לרשימה; רעף, לוח	צפחה, לקבוע (מועד), להכניס לרשימה; רעף, לוח; להכניס מישהו לרשימה	פאנל 3/3	מובן נפוץ חסר
so that	כך ש-	כדי ש, כך ש-	פאנל 3/3	פירוש שגוי
sober	פיכח	פיכח; רציני	פאנל 3/3	פירוש שגוי
solicit	לשדל / להדיח; לבקש/לחפש בתחינה	לבקש, לשדל / להדיח; לבקש/לחפש בתחינה	פאנל 3/3	פירוש שגוי
solitude	בדידות	בדידות; התבודדות	פאנל 3/3	פירוש צר מדי
soon	בהקדם, מוקדם	בקרוב, בהקדם, מוקדם	פאנל 3/3	פירוש שגוי
sort	למיין	סוג, למיין	פאנל 3/3	מובן נפוץ חסר
spark	גיץ, ניצוץ	גיץ, ניצוץ; להצית	פאנל 3/3	פירוש צר מדי
speaker	דובר	דובר; רמקול	פאנל 3/3	פירוש צר מדי
spend	לבזבז, לפזר; לבלות, להעביר	להוציא, לבזבז, לפזר; לבלות, להעביר	פאנל 3/3	מובן נפוץ חסר
spicy	פיקנטי	חריף, פיקנטי	פאנל 3/3	פירוש שגוי
spike	יתד	זינוק, יתד; מסמר	פאנל 3/3	פירוש שגוי
spirit	כוונה, רוח הדברים; רוח רפאים, נפש	רוח, כוונה, רוח הדברים; רוח רפאים, נפש	פאנל 3/3	פירוש שגוי
spot	כתם; לזהות	כתם; לזהות; מקום	פאנל 3/3	פירוש צר מדי
spring	מעיין; אביב	מעיין; אביב; קפיץ	פאנל 3/3	פירוש צר מדי
stable	יציב	יציב; אורווה	פאנל 3/3	פירוש צר מדי
stack	ערמה	ערימה, ערמה; לערום	פאנל 3/3	פירוש שגוי
step	צעד, לצעוד	צעד, לצעוד; מדרגה	פאנל 3/3	פירוש צר מדי
strength	חוזק	כוח, חוזק	פאנל 3/3	מובן נפוץ חסר
struggle	מאבק, מאמץ	להיאבק, מאבק, מאמץ	פאנל 3/3	מובן נפוץ חסר
study	מחקר; חדר עבודה	ללמוד, מחקר; חדר עבודה	פאנל 3/3	מובן נפוץ חסר
subdue	להכניע	להכניע; לרסן	פאנל 3/3	פירוש צר מדי
succeed	הצליח	להצליח, הצליח; לרשת	פאנל 3/3	פירוש שגוי
suggest	להציע	להציע; לרמז	פאנל 3/3	פירוש צר מדי
superior	עליון	עדיף, עליון; ממונה	פאנל 3/3	פירוש שגוי
supplement	תוסף	תוסף; להשלים	פאנל 3/3	פירוש צר מדי
surface	פני שטח	משטח, פני שטח; לצוף	פאנל 3/3	פירוש שגוי
suspend	להשעות	להשעות; לתלות, להשהות	פאנל 3/3	פירוש צר מדי
swallow	לבלוע	לבלוע; סנונית	פאנל 3/3	פירוש צר מדי
swing	לנדנד, נדנדה	להתנדנד, לנדנד, נדנדה	פאנל 3/3	מובן נפוץ חסר
sympathetic	אוהד	אוהד; מבין	פאנל 3/3	פירוש צר מדי
take place	התרחש	להתרחש, התרחש; להתקיים	פאנל 3/3	פירוש שגוי
team	צוות	קבוצה, צוות	פאנל 3/3	פירוש שגוי
temple	מקדש	מקדש; רקה	פאנל 3/3	פירוש צר מדי
tend	נוטה	נוטה; לטפל	פאנל 3/3	פירוש שגוי
than	מ-	מאשר, מ-	פאנל 3/3	פירוש שגוי
that	ש-	ש, ש-; ההוא	פאנל 3/3	פירוש שגוי
title	כותרת	כותרת; תואר	פאנל 3/3	פירוש צר מדי
tone	טון	טון; נימה	פאנל 3/3	פירוש צר מדי
transcend	להתעלות	להתעלות; לחרוג	פאנל 3/3	פירוש צר מדי
transmit	לשדר	לשדר; להעביר	פאנל 3/3	פירוש צר מדי
transport	להוביל; הובלה	להוביל; הובלה; תחבורה	פאנל 3/3	פירוש צר מדי
treatment	טיפול	טיפול; יחס	פאנל 3/3	פירוש צר מדי
trial	נסיון; משפט	נסיון; משפט; ניסוי	פאנל 3/3	פירוש צר מדי
trigger	הדק	לגרום, הדק	פאנל 3/3	מובן נפוץ חסר
turn	לפנות, סיבוב	לפנות, סיבוב; תור	פאנל 3/3	פירוש צר מדי
twist	תפנית; סיבוב, סיבוך	לפתל, תפנית; סיבוב, סיבוך	פאנל 3/3	מובן נפוץ חסר
unconscious	מחוסר הכרה	מחוסר הכרה; לא מודע	פאנל 3/3	פירוש צר מדי
unfold	נפרש, נפתח, התגלה; לפתוח קיפול	להתפתח, נפרש, נפתח, התגלה; לפתוח קיפול; לפרוש	פאנל 3/3	פירוש שגוי
unsafe	לא בטוח	לא בטוח; מסוכן	פאנל 3/3	פירוש צר מדי
upheaval	מהפך	טלטלה, מהפך	פאנל 3/3	מובן נפוץ חסר
uphold	להחזיק, לתמוך, לדגול	לקיים, להחזיק, לתמוך, לדגול	פאנל 3/3	מובן נפוץ חסר
usher	סדרן	סדרן; ללוות	פאנל 3/3	פירוש צר מדי
verbal	ורבלי, מילולי	ורבלי, מילולי; בעל פה	פאנל 3/3	פירוש צר מדי
vessel	כלי שיט	כלי, כלי שיט	פאנל 3/3	פירוש שגוי
virtually	למעשה, בעצם	כמעט, למעשה, בעצם	פאנל 3/3	פירוש שגוי
virtue	מעלה	מידה טובה, מעלה	פאנל 3/3	פירוש שגוי
vocation	מקצוע	ייעוד, מקצוע	פאנל 3/3	מובן נפוץ חסר
wall	קיר	קיר; חומה	פאנל 3/3	פירוש צר מדי
wanted	מבוקש	לרצות, מבוקש	פאנל 3/3	מובן נפוץ חסר
watch	להסתכל, להשגיח; שעון	לצפות, להסתכל, להשגיח; שעון	פאנל 3/3	מובן נפוץ חסר
wave	גל	גל; לנופף	פאנל 3/3	פירוש צר מדי
way	דרך	דרך; אופן	פאנל 3/3	פירוש צר מדי
wear	ללבוש	ללבוש; להתבלות	פאנל 3/3	פירוש צר מדי
welfare	סעד	רווחה, סעד	פאנל 3/3	פירוש שגוי
when	כאשר, כש-	מתי, כאשר, כש-	פאנל 3/3	מובן נפוץ חסר
wholesale	סיטונאות	סיטונאי, סיטונאות; גורף	פאנל 3/3	פירוש שגוי
wind	למתוח; רוח	למתוח; רוח; ללפף	פאנל 3/3	פירוש צר מדי
withdraw	לסגת, לפרוש	לסגת, לפרוש; למשוך	פאנל 3/3	פירוש צר מדי
witness	עד, להעיד	עד, להעיד; לחזות	פאנל 3/3	פירוש צר מדי
wood	עץ	עץ; יער	פאנל 3/3	פירוש צר מדי
writer	סופר	סופר; כותב	פאנל 3/3	פירוש צר מדי
