⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
section	יחידה, חלק	קטע | סעיף	1:קטע | 2:סעיף
senior	בכיר; זקן	בכיר | קשיש	2:קשיש
sentence	משפט; גזר דין	משפט | לגזור דין	2:לגזור דין
shadow	צל, להאפיל	צל | לעקוב	2:לעקוב
shave	גילוח, לגלח	להתגלח | לגלח	1:להתגלח
ship	לשלוח; אוניה	ספינה | לשלוח	1:ספינה
simply	בפשטות	פשוט | בפשטות	1:פשוט
sin	חטא	חטא | לחטוא	2:לחטוא
soul	נשמה	נשמה | נפש	2:נפש
space	חלל; רווח	מרחב | חלל	1:מרחב
spell	כישוף, קסם; איות, לאיית	לאיית | כישוף | תקופה	3:תקופה
spirit	כוונה, רוח הדברים; רוח רפאים, נפש	רוח | אלכוהול | מורל	1:רוח | 2:אלכוהול | 3:מורל
standard	רמה, תקן, מקובל	תקן | סטנדרטי	2:סטנדרטי
stomach	בטן, קיבה	קיבה | בטן | לסבול	3:לסבול
strength	חוזק	כוח | עוצמה | חוזק	1:כוח | 2:עוצמה
supply	אספקה	לספק | אספקה | היצע	1:לספק | 3:היצע
surrender	להיכנע	להיכנע | כניעה	2:כניעה
tie	לקשור, קשר; עניבה	לקשור | עניבה | תיקו	3:תיקו
title	כותרת	כותרת | תואר	2:תואר
tongue	לשון	לשון | שפה	2:שפה
track	מסילה, מסלול; לעקוב	מסלול | לעקוב | שיר	3:שיר
train	רכבת; להכשיר, לאמן	רכבת | להתאמן | לאמן	2:להתאמן
transport	להוביל; הובלה	להוביל | תחבורה | שינוע	2:תחבורה | 3:שינוע
trap	מלכודת	מלכודת | ללכוד	2:ללכוד
treatment	טיפול	טיפול | יחס	2:יחס
unbelievable	לא יאמן	לא ייאמן | מדהים	1:לא ייאמן | 2:מדהים
unfortunately	למרבה הצער	למרבה הצער | לצערי	2:לצערי
unusual	בלתי רגיל, יוצא דופן	לא רגיל | יוצא דופן	1:לא רגיל
useful	שימושי	שימושי | מועיל	2:מועיל
useless	חסר תועלת	חסר תועלת | חסר ערך	2:חסר ערך
wear	ללבוש	ללבוש | להתבלות	2:להתבלות
weather	מזג אוויר	מזג אוויר | לשרוד	2:לשרוד
wild	פראי, טבע	פרוע | בר	1:פרוע | 2:בר
advertisement	מודעה, פרסום	פרסומת | מודעה	1:פרסומת
amateur	חובבן	חובב	1:חובב
analog	אנלוגי (ההיפך מדיגיטלי)	אנלוגי | מקבילה	2:מקבילה
appear	להופיע; נראה ש-	להופיע | להיראות	2:להיראות
as proof of	כהוכחה ל-	כהוכחה ל	1:כהוכחה ל
aside from	חוץ מ-	מלבד	1:מלבד
attitude	גישה	גישה | עמדה	2:עמדה
authority	סמכות	סמכות | רשות	2:רשות
automobile	כלי רכב, אוטו	מכונית | רכב	1:מכונית | 2:רכב
backward	לאחור	אחורה | נחשל	1:אחורה | 2:נחשל
bacteria	חיידקים	חיידק	1:חיידק
beg	להתחנן	להתחנן | לקבץ נדבות	2:לקבץ נדבות
belong	שייך	להשתייך	1:להשתייך
benefit	תועלת, יתרון; הטבה; להפיק תועלת	תועלת | הטבה | ליהנות	3:ליהנות
besides	בכל מקרה; בנוסף על; מלבד, חוץ מ-	מלבד | חוץ מזה	2:חוץ מזה
best-seller	רב-מכר	רב מכר	1:רב מכר
brilliant	מבריק	מבריק | גאוני	2:גאוני
bullet	קליע	כדור | תבליט	1:כדור | 2:תבליט
campaign	מערכה, מסע	קמפיין | מסע	1:קמפיין
cast	להשליך, לגרש; צוות שחקנים	לזרוק | שחקנים | גבס	1:לזרוק | 2:שחקנים | 3:גבס
casual	אגבי, רגיל, יומיומי	לא רשמי | אגבי | מזדמן	1:לא רשמי | 3:מזדמן
century	מאה שנים	מאה	1:מאה
charge	לגבות; להאשים; להסתער; לחייב	לגבות | להאשים | מטען	3:מטען
citrus	פרי הדר	הדר	1:הדר
claim	טענה, טוען; תביעה	לטעון | טענה	1:לטעון
clever	פיקח	חכם | פיקח	1:חכם
cognitive	קוגניטיבי, הכרתי	קוגניטיבי | שכלי	2:שכלי
common	נפוץ, משותף	נפוץ | משותף | רגיל	3:רגיל
components	חלקים, מרכיבים	רכיב | מרכיב	1:רכיב | 2:מרכיב
conference	ועידה	כנס | ועידה	1:כנס
confusion	בלבול	בלבול | מבוכה	2:מבוכה
consider	לקחת בחשבון, לשקול	לשקול | לחשוב	2:לחשוב
contract	ללקות, להידבק (במחלה); חוזה, הסכם; להתכווץ	חוזה | להתכווץ | לחלות	3:לחלות
contrast	ניגוד; להוות ניגוד	ניגוד | לעמת	2:לעמת
coordinator	מתאם	רכז	1:רכז
copies	עותקים	עותק | להעתיק	1:עותק | 2:להעתיק
count	לספור; רוזן	לספור | ספירה	2:ספירה
course	מנה; קורס; מסלול	קורס | מהלך | מסלול	2:מהלך
creator	יוצר	יוצר | בורא	2:בורא
customize	להתאים באופן אישי	להתאים אישית	1:להתאים אישית
dare	להעיז, תעוזה; אתגר	להעז | אתגר	1:להעז
deer	איל	צבי	1:צבי
depend on	תלוי ב-	להסתמך על	1:להסתמך על
desire	תשוקה, חשק, לחפוץ	תשוקה | להשתוקק	2:להשתוקק
dimension	מימד	ממד | היבט	1:ממד | 2:היבט
disadvantage	חסרון	חיסרון | נחיתות	1:חיסרון | 2:נחיתות
disagreement	חוסר הסכמה	אי הסכמה | חילוקי דעות	1:אי הסכמה | 2:חילוקי דעות
discoveries	תגליות	תגלית	1:תגלית
divorce	גירושין	גירושין | להתגרש	2:להתגרש
dominate	לשלוט	לשלוט | להשתלט	2:להשתלט
doubt	ספק, להטיל ספק	ספק | לפקפק	2:לפקפק
due to	בגלל, לאור	בגלל | עקב	2:עקב
duty	תפקיד, חובה	חובה | תפקיד | מכס	3:מכס
earn	להרוויח	להרוויח | לזכות ב	2:לזכות ב
edge	קצה, שוליים; יתרון; להב (של סכין)	קצה | חוד	2:חוד
epidemic	מגיפה, אפידמיה	מגפה	1:מגפה
even	אפילו; זוגי (מספר); ליישר, להשוות	אפילו | זוגי | שווה	3:שווה
evidence	ראיה	ראיה | הוכחה	2:הוכחה
examine	לבחון	לבחון | לבדוק	2:לבדוק
excite	לרגש, לעורר	לרגש | להלהיב	2:להלהיב
exclusive	בלעדי	בלעדי | יוקרתי	2:יוקרתי
expectations	ציפיות	ציפייה	1:ציפייה
explosive	חומר נפץ	נפיץ | חומר נפץ	1:נפיץ
export	ייצוא	לייצא | יצוא	1:לייצא | 2:יצוא
favor	טובה; להעדיף	טובה | להעדיף | חיבה	3:חיבה
fiction	בדיון, לא אמיתי	בדיון | ספרות בדיונית	2:ספרות בדיונית
filmmaker	יוצר סרטים	יוצר קולנוע | במאי	1:יוצר קולנוע | 2:במאי
folklore	פולקלור	פולקלור | מסורת עממית	2:מסורת עממית
fork	מזלג	מזלג | הסתעפות	2:הסתעפות
formal	רשמי	רשמי | פורמלי	2:פורמלי
fortune	מזל; עושר	הון | מזל	1:הון
from time to time	מפעם לפעם	מדי פעם	1:מדי פעם
fundamental	בסיסי (פונדמנטלי)	בסיסי | יסודי	2:יסודי
generated	יצר	לייצר | ליצור	1:לייצר | 2:ליצור
glitch	תקלה, הפרעה	תקלה | באג	2:באג
grand	גדול, כולל, מרשים	מפואר | נהדר	1:מפואר | 2:נהדר
heartbeat	דופק, פעימות לב	פעימת לב	1:פעימת לב
hint	רמז	רמז | לרמוז	2:לרמוז
hold back	לעכב, למנוע	להתאפק | לעכב	1:להתאפק
hybrid	כלאיים, היברידי	היברידי | הכלאה	2:הכלאה
improve	לשפר	לשפר | להשתפר	2:להשתפר
incident	תקרית	תקרית | אירוע	2:אירוע
indeed	בהחלט	אכן	1:אכן
instrument	כלי	כלי | כלי נגינה	2:כלי נגינה
irregular	לא רגיל	לא סדיר | חריג	1:לא סדיר | 2:חריג
issue	נושא, עניין, סוגיה; להוציא לאור, להפיץ; גיליון	נושא | בעיה | להנפיק	2:בעיה | 3:להנפיק
label	תגית; לתייג	תווית | לתייג	1:תווית
lead, led	להוביל, הוביל	להוביל | להנהיג	2:להנהיג
legend	אגדה; מקרא מפה	אגדה | מקרא	2:מקרא
likely	סביר	סביר | קרוב לוודאי	2:קרוב לוודאי
load	להעמיס	מטען | לטעון	1:מטען | 2:לטעון
logic	הגיון	היגיון | לוגיקה	1:היגיון | 2:לוגיקה
major	סולם מז'ור (במוזיקה); מסלול לימודים; ראשי, עיקרי	עיקרי | רב-סרן | התמחות	2:רב-סרן | 3:התמחות
march	לצעוד	לצעוד | צעדה	2:צעדה
mass	המון, המוני; מסה	מסה | המון | מיסה	3:מיסה
mind	לשים לב, לשמור; שכל; אכפת	מוח | להשגיח	1:מוח | 2:להשגיח
minister	שר (בממשלה)	שר | כומר	2:כומר
motivate	לדרבן	להניע | לעודד	1:להניע | 2:לעודד
mountaintop	פסגת הר	פסגה	1:פסגה
narrow	צר	צר | לצמצם	2:לצמצם
nut	אגוז	אגוז | מטורף	2:מטורף
object	פריט, אובייקט; להתנגד	חפץ | להתנגד | מטרה	1:חפץ | 3:מטרה
overall	כולל, באופן כללי	כללי | בסך הכל	1:כללי | 2:בסך הכל
painter	צייר	צייר | צבע	2:צבע
party	מפלגה; מסיבה	מסיבה | מפלגה | צד	3:צד
pigment	פיגמנט, צבען	פיגמנט | חומר צבע	2:חומר צבע
prank	מתיחה	מתיחה | למתוח	2:למתוח
preparation for	הכנות לקראת	הכנה	1:הכנה
previously	הקודם, לפני-כן	בעבר | קודם לכן	1:בעבר | 2:קודם לכן
priest	כומר	כומר | כהן	2:כהן
prime	ראשוני, עיקרי, מובחר	ראשי | מעולה | שיא	1:ראשי | 2:מעולה | 3:שיא
primitive	קדום, חסר תרבות	פרימיטיבי | קדמוני	1:פרימיטיבי | 2:קדמוני
proper	מתאים, הולם	הולם | נכון | ראוי	2:נכון | 3:ראוי
properly	כראוי	כראוי | כהלכה	2:כהלכה
prove	להוכיח	להוכיח | להתברר	2:להתברר
purchase	לקנות, לרכוש	לרכוש | רכישה	2:רכישה
quite	למדי	די | לגמרי	1:די | 2:לגמרי
quote	ציטוט	לצטט | ציטוט | הצעת מחיר	1:לצטט | 3:הצעת מחיר
race	מרוץ; גזע	מירוץ | גזע	1:מירוץ
raid	פשיטה	פשיטה | לפשוט על	2:לפשוט על
rainfall	ירידת גשמים	משקעים	1:משקעים
rainstorm	סערת גשמים	סופת גשמים	1:סופת גשמים
randomly	באקראיות	באקראי	1:באקראי
range	טווח; רכס; מטווח	טווח | לנוע	2:לנוע
rank	דרגה	דרגה | לדרג	2:לדרג
rational	הגיוני, רציונאלי	רציונלי | הגיוני	1:רציונלי
rebel	מורד	מורד | למרוד	2:למרוד
recordings	הקלטות	הקלטה	1:הקלטה
recycling	מחזור	מיחזור	1:מיחזור
reduce	להפחית	להפחית | לצמצם	2:לצמצם
reform	שינוי, רפורמה	רפורמה | לתקן	2:לתקן
regret	להתחרט, חרטה	להצטער | חרטה	1:להצטער
regularly	באופן קבוע	בקביעות	1:בקביעות
relations	יחסים	יחסים | קשרים	2:קשרים
replacement	מחליף	תחליף | מחליף	1:תחליף
replica	העתק מדויק	העתק | שכפול | דגם	1:העתק | 2:שכפול | 3:דגם
reply	להשיב	להשיב | תשובה	2:תשובה
rest	מנוחה; יתר, שאר	מנוחה | שאר | לנוח	3:לנוח
rough	קשה, מחוספס	מחוספס | גס | קשה	2:גס
seeds	זרעים	זרע	1:זרע
segment	קטע, מקטע	קטע | פלח	2:פלח
selective	סלקטיבי	בררני | סלקטיבי	1:בררני
self-confidence	בטחון-עצמי	ביטחון עצמי	1:ביטחון עצמי
share	מניה; לחלוק	לשתף | חלק | מניה	1:לשתף | 2:חלק
shift	משמרת; להזיז	שינוי | משמרת | להזיז	1:שינוי
sight	ראייה, כוונת	ראייה | מראה	2:מראה
significantly	באופן משמעותי	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
sound	קול; בריא	צליל | להישמע | הגיוני	1:צליל | 2:להישמע | 3:הגיוני
speaker	דובר	דובר | רמקול	2:רמקול
spot	כתם; לזהות	כתם | מקום | להבחין	2:מקום | 3:להבחין
spread	התפשטות, פיזור; ממרח, למרוח	להתפשט | למרוח | ממרח	1:להתפשט
stamina	כושר עמידה, סיבולת	סיבולת | עמידות	2:עמידות
statement	הצהרה	הצהרה | הודעה	2:הודעה
storage	אחסון	אחסון | מחסן	2:מחסן
study	מחקר; חדר עבודה	ללמוד | מחקר | חדר עבודה	1:ללמוד
subject	נושא; נתין, אזרח; נבדק; להכפיף, לחשוף ל-; נתון ל-, כפוף ל-	נושא | נתין | מקצוע	3:מקצוע
surface	פני שטח	משטח | לצוף	1:משטח | 2:לצוף
surprisingly	במפתיע	באופן מפתיע	1:באופן מפתיע
symptom	סימפטום	תסמין | סימן	1:תסמין | 2:סימן
take place	התרחש	להתרחש | להתקיים	1:להתרחש | 2:להתקיים
terms	מונחים; תנאים	תנאי | מונח	1:תנאי | 2:מונח
though	למרות זאת; למרות ש-	למרות ש | בכל זאת	1:למרות ש | 2:בכל זאת
timeline	ציר זמן	ציר זמן | לוח זמנים	2:לוח זמנים
to sum up	כדי לסכם; לסכם	לסיכום	1:לסיכום
trade	להחליף; לסחור, מסחר	מסחר | לסחור | מקצוע	3:מקצוע
transform	לשנות צורה	להפוך | לשנות	1:להפוך | 2:לשנות
treat	להתייחס; פינוק, ממתק; לפנק	לטפל ב | להתייחס אל | פינוק	1:לטפל ב | 2:להתייחס אל
unofficial	בלתי רשמי	לא רשמי	1:לא רשמי
unorganized	לא מאורגן	לא מאורגן | מבולגן	2:מבולגן
unrealistic	לא מציאותי	לא ריאלי	1:לא ריאלי
vehicle	כלי רכב	רכב	1:רכב
verbal	ורבלי, מילולי	מילולי | בעל פה	2:בעל פה
waste	בזבוז, לבזבז; הפסולת	לבזבז | בזבוז | פסולת	3:פסולת
waterfall	מפל	מפל מים	1:מפל מים
whenever	בכל פעם ש-, מתי ש-; לא משנה מתי	בכל פעם ש	1:בכל פעם ש
whom	מי	את מי	1:את מי
witness	עד, להעיד	עד | לחזות | להעיד	2:לחזות
abroad	חו"ל	בחו"ל	1:בחו"ל
absent	חסר, לא נוכח	נעדר | חסר	1:נעדר
addition	תוספת, הוספה	תוספת | חיבור	2:חיבור
administration	מנהל	ממשל | ניהול	1:ממשל | 2:ניהול
afterwards	לאחר מכן	אחר כך	1:אחר כך
aim	לכוון, מטרה	מטרה | לשאוף | לכוון	2:לשאוף
annoy	להציק	להרגיז	1:להרגיז
apply	ליישם, להחיל; לחול על; להגיש בקשה, לפנות	ליישם | להגיש בקשה | למרוח	3:למרוח
arrange	לסדר	לסדר | לארגן | לתאם	2:לארגן | 3:לתאם
article	מאמר; פריט	מאמר | פריט | סעיף	3:סעיף
assignment	משימה, מטלה	מטלה | הקצאה	2:הקצאה
association	אסוציאציה; איגוד	עמותה | קשר	1:עמותה | 2:קשר
attach	לחבר, לייחס	לצרף | לחבר	1:לצרף
attempt	ניסיון	לנסות | ניסיון	1:לנסות
attraction	משיכה	משיכה | אטרקציה	2:אטרקציה
awkward	מגושם; מוזר, מביך	מביך | מסורבל	2:מסורבל
baggage	מטען, מזוודה	מטען | כבודה	2:כבודה
bald	קרח	קירח	1:קירח
ban	חרם, איסור	איסור | לאסור	2:לאסור
barrier	מחסום	מחסום | חסם	2:חסם
bass	בס (במוזיקה)	בס | דג בס	2:דג בס
blank	ריק, רווח	ריק | חלל ריק	2:חלל ריק
blend	לערבב	למזג | תערובת	1:למזג | 2:תערובת
boil	להרתיח	לרתוח | להרתיח	1:לרתוח
boost	דחף, המריץ	להגביר | לחזק	1:להגביר | 2:לחזק
boot	מגף	מגף | לאתחל | תא מטען	2:לאתחל | 3:תא מטען
bore	לשעמם, שעמום; לקדוח (חור)	לשאת | לסבול | ללדת	1:לשאת | 2:לסבול | 3:ללדת
bounce	לקפץ, ניתור	לנתר | לקפוץ	1:לנתר | 2:לקפוץ
branch	ענף, סניף	ענף | סניף | להסתעף	3:להסתעף
bully	בריון	בריון | להציק	2:להציק
bury	לקבור	לקבור | להטמין	2:להטמין
cabin	בקתה	תא | בקתה	1:תא
cereal	דגני בוקר	דגן | דגני בוקר	1:דגן
charm	קסם	קסם | להקסים | קמיע	2:להקסים | 3:קמיע
chart	גיליון, תרשים	תרשים | לשרטט	2:לשרטט
commercial	מסחרי; סרטון פרסומת	מסחרי | פרסומת	2:פרסומת
commit	ביצוע/ לבצע; להתחייב	להתחייב | לבצע	2:לבצע
concentrate	להתרכז	להתרכז | תרכיז	2:תרכיז
confident	בטוח בעצמו	בטוח בעצמו | בטוח	2:בטוח
conservative	שמרני	שמרן | זהיר	1:שמרן | 2:זהיר
conspiracy	קשר, מזימה	קשר | קונספירציה	2:קונספירציה
constant	קבוע, רצוף	קבוע | מתמיד	2:מתמיד
consult	להתייעץ	להתייעץ | לעיין ב	2:לעיין ב
contain	להכיל, מכיל	להכיל | לבלום	2:לבלום
conventional	שגרתי, קונבנציונאלי	מקובל | שגרתי	1:מקובל
cult	כת	כת | פולחן	2:פולחן
curve	עקומה, פניה	עקומה | לעקם	2:לעקם
deaf	חרש	חירש	1:חירש
debate	ויכוח, דיון	ויכוח | להתווכח	2:להתווכח
defeated	הובס	להביס | מובס	1:להביס | 2:מובס
degree	מעלה (מדידה); תואר אקדמי; דרגה; מידה, במידה מסוימת	תואר | מעלה | מידה	1:תואר
dental	שקשור בשיניים	של שיניים | דנטלי	1:של שיניים | 2:דנטלי
deny	לסרב; להכחיש	להכחיש | לשלול	2:לשלול
depart	לעזוב	לצאת | לעזוב	1:לצאת
district	מחוז	מחוז | אזור	2:אזור
double standard	מוסר כפול	תקן כפול	1:תקן כפול
eliminate	לחסל, לפסול	לחסל | להסיר	2:להסיר
employ	להעסיק; להשתמש ב-, לנקוט	להעסיק | להשתמש	2:להשתמש
equally	במידה שווה	באופן שווה	1:באופן שווה
era	עידן	עידן | תקופה	2:תקופה
evolved	התפתח	להתפתח	1:להתפתח
exception	יוצא מהכלל	יוצא דופן | חריגה	1:יוצא דופן | 2:חריגה
execute	להוציא לפועל; להוציא להורג	לבצע | להוציא להורג	1:לבצע
expense	הוצאות	הוצאה	1:הוצאה
expression	ביטוי	ביטוי | הבעה	2:הבעה
facial	שקשור בפנים	של הפנים | טיפול פנים	1:של הפנים | 2:טיפול פנים
flood	שיטפון	שיטפון | להציף	2:להציף
footprints	עקבות, טביעות רגל	טביעת רגל	1:טביעת רגל
foundation	יסוד	יסוד | קרן	2:קרן
fuel	דלק	דלק | לתדלק	2:לתדלק
funds	כסף, הון, מקור מימון	כסף | קרן	2:קרן
gain	להרוויח, להוסיף	להשיג | רווח	1:להשיג | 2:רווח
gather	אסף	להתאסף | לאסוף	1:להתאסף | 2:לאסוף
greet	לברך, לקבל פנים	לברך | לקדם פנים	2:לקדם פנים
guarantee	להבטיח, ערבות	להבטיח | אחריות	2:אחריות
hike	הליכה, טיול	טיול רגלי | לטייל | העלאה	1:טיול רגלי | 2:לטייל | 3:העלאה
impatient	חסר סבלנות	חסר סבלנות | קצר רוח	2:קצר רוח
in conclusion	לסיכום	לסיכום | לסיום	2:לסיום
increase	להגדיל, להגביר	לעלות | עלייה	1:לעלות | 2:עלייה
indication	אינדיקציה, סימן ל-	סימן | רמז	1:סימן | 2:רמז
industry	תעשייה	תעשייה | חריצות	2:חריצות
infected	הודבק	נגוע | להדביק	1:נגוע | 2:להדביק
ingredients	מרכיבים	מרכיב	1:מרכיב
insanity	אי שפיות	שיגעון | טירוף	1:שיגעון | 2:טירוף
inspiring	נותן השראה	מעורר השראה	1:מעורר השראה
institute	מוסד, מכון; לכונן	מכון | לייסד	2:לייסד
invent	להמציא	להמציא | לבדות	2:לבדות
labor	להתאמץ; עבודה, עמל, לעמול	עבודה | לידה	2:לידה
lame	צולע	צולע | גרוע	2:גרוע
lifetime	תקופת החיים, במשך החיים	חיים | משך חיים	1:חיים | 2:משך חיים
locate	לאתר	לאתר | למקם	2:למקם
log	יומן, לתעד ביומן; בול עץ	בול עץ | יומן | לתעד	3:לתעד
luxury	מותרות	מותרות | פאר	2:פאר
measure	אמצעי; למדוד	למדוד | אמצעי | מידה	3:מידה
melt	להמיס	להימס | להמיס	1:להימס
minor	קטין; סולם מינור (במוזיקה); קטן, שולי	משני | קטין | זניח	1:משני | 3:זניח
moral	מוסר	מוסרי | מוסר השכל	1:מוסרי | 2:מוסר השכל
mortal	קטלני; אנושי, בן תמותה	בן תמותה | אנוש	2:אנוש
observe	להתבונן, להבחין	לצפות | לשמור | להעיר	1:לצפות | 2:לשמור | 3:להעיר
offend	להעליב	לפגוע | להעליב	1:לפגוע
offensive	מעליב, פוגעני	פוגעני | התקפה	2:התקפה
outstanding	יוצא מן הכלל, מצוין	מצוין | בולט | פתוח	2:בולט | 3:פתוח
oven	תנור בישול	תנור	1:תנור
pad	לרפד	פנקס | רפידה | לרפד	1:פנקס | 2:רפידה
parallel	מקביל	מקביל | מקבילה	2:מקבילה
perform	לבצע, להציג	לבצע | להופיע	2:להופיע
permanently	באופן קבוע, לצמיתות	לצמיתות | לתמיד	2:לתמיד
pharmacy	בית מרקחת	בית מרקחת | רוקחות	2:רוקחות
primary	יסודי, עיקרי	עיקרי | ראשוני	2:ראשוני
privilege	זכות יתר, פריווילגיה	זכות יתר | פריבילגיה	2:פריבילגיה
produce	לייצר; תוצר, ירקות ופירות	לייצר | תוצרת | להפיק	2:תוצרת | 3:להפיק
promotion	קידום	קידום | מבצע	2:מבצע
provoke	להתגרות, להסית	לעורר | להתגרות	1:לעורר
publisher	מוציא לאור	מוציא לאור | הוצאה לאור	2:הוצאה לאור
purse	ארנק	ארנק | תיק יד	2:תיק יד
rarely	לעיתים נדירות	לעתים רחוקות	1:לעתים רחוקות
razor	סכין גילוח	תער	1:תער
reasonable	הגיוני	סביר | הגיוני	1:סביר
recognition	הכרה	הכרה | זיהוי	2:זיהוי
recover	להתאושש	להחלים | להתאושש | לשחזר	1:להחלים | 3:לשחזר
reference	התייחסות, הפניה	התייחסות | מקור | המלצה	2:מקור | 3:המלצה
registration	הרשמה	הרשמה | רישום	2:רישום
relative	קרוב-משפחה; יחסי	קרוב משפחה | יחסי	1:קרוב משפחה
reserve	עתודה, מילואים; לשמור; שמורה	להזמין מראש | לשמור | רזרבה	1:להזמין מראש | 3:רזרבה
resist	להתנגד	להתנגד | לעמוד בפני	2:לעמוד בפני
resistance	התנגדות, מחתרת	התנגדות | עמידות	2:עמידות
resort	אתר נופש; לנקוט באמצעים	אתר נופש | לנקוט	2:לנקוט
reveal	לחשוף	לחשוף | לגלות	2:לגלות
ritual	טקס, פולחן	טקס | טקסי	2:טקסי
rival	יריב	יריב | מתחרה | להתחרות	2:מתחרה | 3:להתחרות
rub	לשפשף	לשפשף | שפשוף	2:שפשוף
ruins	הריסות, עיי חורבות	חורבה	1:חורבה
sailor	ימאי	מלח	1:מלח
satellite	לווין	לוויין	1:לוויין
satisfaction	שביעות רצון	סיפוק | שביעות רצון	1:סיפוק
satisfy	לרצות, לספק	לספק | להשביע רצון	2:להשביע רצון
secure	להבטיח, לשמור, להגן	בטוח | לאבטח | להשיג	1:בטוח | 2:לאבטח | 3:להשיג
sequence	רצף	רצף | סדרה	2:סדרה
session	מפגש, פגישה; מושב	מפגש | ישיבה	2:ישיבה
sheet	סדין; דף	סדין | גיליון	2:גיליון
shelter	מקלט	מחסה | מקלט	1:מחסה
shiny	נוצץ, בוהק	מבריק | נוצץ	1:מבריק
shrink	לכווץ ,כיווץ	להתכווץ | פסיכיאטר	1:להתכווץ | 2:פסיכיאטר
significant	משמעותי	משמעותי | ניכר | חשוב	2:ניכר | 3:חשוב
sketch	שרטוט, איור, סקיצה	סקיצה | לשרטט	2:לשרטט
stable	יציב	יציב | אורווה	2:אורווה
stack	ערמה	ערימה | לערום	1:ערימה | 2:לערום
stamp	בול, חותמת	בול | להטביע	2:להטביע
starve	לרעוב	לרעוב | להרעיב	2:להרעיב
steel	פלדה	פלדה | להתחשל	2:להתחשל
sticky	דביק	דביק | בעייתי	2:בעייתי
straighten	ליישר	ליישר | להזדקף	2:להזדקף
stripes	פסים	פס | דרגה	1:פס | 2:דרגה
struggle	מאבק, מאמץ	להיאבק | מאבק	1:להיאבק
stunt	פעלול	תרגיל מסוכן | לעכב	1:תרגיל מסוכן | 2:לעכב
succeed	הצליח	להצליח | לרשת	1:להצליח | 2:לרשת
swallow	לבלוע	לבלוע | סנונית	2:סנונית
swing	לנדנד, נדנדה	להתנדנד | נדנדה	1:להתנדנד
territory	תחום, שטח	שטח | טריטוריה	2:טריטוריה
toes	בהונות	אצבע רגל | בוהן	1:אצבע רגל | 2:בוהן
toward	אל, אל עבר	לכיוון | לעבר	1:לכיוון | 2:לעבר
traffic jam	פקק תנועה	פקק | פקק תנועה	1:פקק
transition	מעבר, שינוי	מעבר | לעבור	2:לעבור
trigger	הדק	לגרום | הדק | להפעיל	1:לגרום | 3:להפעיל
triggered	גרם, עורר, הוביל ל-	לגרום | להפעיל | לעורר	1:לגרום | 2:להפעיל | 3:לעורר
twist	סיבוך, סיבוב	לפתל | תפנית	1:לפתל | 2:תפנית
ultimate	מוחלט, סופי	סופי | מוחלט | עליון	3:עליון
unfortunate	מצער	מצער | ביש מזל	2:ביש מזל
unlike	שלא כמו	בניגוד ל | שונה	1:בניגוד ל | 2:שונה
unnecessary	לא הכרחי	מיותר	1:מיותר
valid	תקף	תקף | הגיוני	2:הגיוני
valuable	יקר ערך	יקר ערך | חשוב	2:חשוב
variety	מבחר, מגוון	מגוון | זן	2:זן
warmth	חום	חום | חמימות	2:חמימות
weigh	לשקול	לשקול | להכביד	2:להכביד
whistle	משרוקית, לשרוק	לשרוק | משרוקית | שריקה	3:שריקה
wisdom	חכמה, בינה	חוכמה	1:חוכמה
absence	היעדרות, היעדר; אי-נוכחות	היעדרות | העדר	2:העדר
abuse	התעללות, ניצול; להתעלל, לנצל	התעללות | להתעלל | שימוש לרעה	3:שימוש לרעה
actual	ממשי	ממשי | אמיתי	2:אמיתי
admit	להודות; להכניס, לקבל לתוך קבוצה	להודות | לקבל	2:לקבל
ally (allies)	בן-ברית (בנות-ברית)	בעל ברית	1:בעל ברית
announcement	הכרזה	הודעה	1:הודעה
apparently	כנראה	כנראה | לכאורה	2:לכאורה
approach	גישה, שיטה; להתקרב, לפנות אל	גישה | לגשת | להתקרב	2:לגשת
appropriate	מתאים	מתאים | הולם	2:הולם
as far as	לגבי, בכל הנוגע ל-	ככל ש	1:ככל ש
associate	לקשר	לקשר | עמית	2:עמית
attend	להשתתף, להיות נוכח	להשתתף | לטפל	2:לטפל
barn	אסם	אסם | רפת	2:רפת
belief	אמונה	אמונה | דעה	2:דעה
bend	לכופף	לכופף | עיקול	2:עיקול
bent	כופף	כפוף | נחוש	1:כפוף | 2:נחוש
berry	גרגרי יער	גרגר | פרי יער	1:גרגר | 2:פרי יער
betray	לבגוד	לבגוד | לחשוף	2:לחשוף
biblical	תנ"כי	מקראי | תנכי	1:מקראי | 2:תנכי
blame	להאשים	להאשים | אשמה	2:אשמה
blanket	שמיכה	שמיכה | לכסות	2:לכסות
blew	נשב (רוח), ניפח, פוצץ	לנשוב	1:לנשוב
blow, blew	לנשוף, נשף; לפוצץ, פוצץ	לנשוף | מכה | להתפוצץ	2:מכה | 3:להתפוצץ
bold	אמיץ, חצוף; מודגש	נועז | מודגש	1:נועז
butcher	קצב; לשחוט	קצב | לטבוח	2:לטבוח
capable	מסוגל, יכול	מסוגל | כשיר	2:כשיר
capital	עיר בירה; אות גדולה; ראשי, משמעותי; הון	בירה | הון | ראשי	1:בירה
clay	חימר	חימר | חרסית	2:חרסית
