מילה	יחידה	פירוש היום	הפירוש החדש	מקור	נימוק
reservation	6	שמורה; שריון מקום	הזמנה, שמורה; שריון מקום; הסתייגות	פאנל	פירוש שגוי
reserve	5	עתודה, מילואים; לשמור; שמורה	להזמין מראש, עתודה, מילואים; לשמור; שמורה	פאנל	מובן נפוץ חסר
resigned	7	התפטר	התפטר; משלים	פאנל	פירוש שגוי
resistance	5	התנגדות, מחתרת	התנגדות, מחתרת; עמידות	פאנל	פירוש צר מדי
result	2	תוצאה	תוצאה; לנבוע	פאנל	פירוש צר מדי
result in	6	הסתיים ב-	לגרום ל, הסתיים ב-; להוביל ל	פאנל	פירוש שגוי
resume	7	להמשיך	להמשיך; קורות חיים	פאנל	פירוש צר מדי
retreat	6	לסגת, נסיגה	לסגת, נסיגה; מפלט	פאנל	פירוש צר מדי
riddle	9	חידה	חידה; לנקב	פאנל	פירוש צר מדי
ride	1	רכיבה, לרכוב	רכיבה, לרכוב; נסיעה	פאנל	פירוש צר מדי
right	1	ימינה; זכות	נכון, ימינה; זכות; ימין	פאנל	מובן נפוץ חסר
rim	8	שפה	שפה; חישוק	פאנל	פירוש צר מדי
ring	1	טבעת; זירה	טבעת; זירה; לצלצל	פאנל	פירוש צר מדי
robe	7	חלוק	חלוק; גלימה	פאנל	פירוש צר מדי
ruin	4	להרוס	להרוס; חורבה	פאנל	פירוש צר מדי
run, ran	1	לרוץ, רץ	לרוץ, רץ; לנהל	פאנל	פירוש צר מדי
safe	1	בטוח	בטוח; כספת	פאנל	פירוש צר מדי
sake	9	תועלת, עניין	למען, תועלת, עניין	פאנל	פירוש שגוי
sanctuary	9	מקדש; מקלט	מקדש; מקלט; שמורה	פאנל	פירוש צר מדי
saw	9	מסור	לראות, מסור	פאנל	פירוש שגוי
scale	6	מאזניים; לעלות, לטפס; סולם, סקלה	קנה מידה, מאזניים; לעלות, לטפס; סולם, סקלה	פאנל	מובן נפוץ חסר
scales	10	קשקשים (של דג)	מאזניים, קשקשים (של דג)	פאנל	מובן נפוץ חסר
scarce	8	נדיר	נדיר; מועט	פאנל	פירוש צר מדי
secret	1	סוד	סוד; סודי	פאנל	פירוש צר מדי
secure	5	להבטיח, לשמור, להגן	בטוח, להבטיח, לשמור, להגן; לאבטח	פאנל	פירוש שגוי
seek, sought	9	לחפש, חיפש	לחפש, חיפש; לבקש	פאנל	פירוש צר מדי
seizure	9	התקף	התקף; תפיסה	פאנל	פירוש צר מדי
selective	4	סלקטיבי	בררני, סלקטיבי	פאנל	מובן נפוץ חסר
sensations	10	חדשות מרעישות	תחושה, חדשות מרעישות; סנסציה	פאנל	פירוש שגוי
sentiments	8	רגשות	רגשות; דעה	פאנל	פירוש שגוי
separation	4	הפרדה	הפרדה; פרידה	פאנל	פירוש צר מדי
share	4	מניה; לחלוק	לשתף, מניה; לחלוק; חלק	פאנל	מובן נפוץ חסר
shelter	5	מקלט	מחסה, מקלט	פאנל	מובן נפוץ חסר
shift	4	משמרת; להזיז	שינוי, משמרת; להזיז	פאנל	מובן נפוץ חסר
shingles	10	רעף	שלבקת חוגרת, רעף	פאנל	מובן נפוץ חסר
short	1	קצר	קצר; נמוך	פאנל	פירוש צר מדי
shrink	5	לכווץ ,כיווץ	להתכווץ, לכווץ ,כיווץ	פאנל	פירוש שגוי
shroud	10	תכריך, עטיפה	תכריך, עטיפה; לאפוף	פאנל	פירוש צר מדי
shuttle	7	מעבורת	הסעה, מעבורת	פאנל	מובן נפוץ חסר
sight	4	ראייה, כוונת	ראייה, כוונת; מראה	פאנל	פירוש צר מדי
simply	3	בפשטות	פשוט, בפשטות	פאנל	מובן נפוץ חסר
size	2	גודל	גודל; מידה	פאנל	פירוש צר מדי
slant	10	אלכסון, נטייה	הטיה, אלכסון, נטייה; שיפוע	פאנל	פירוש שגוי
slate	10	לקבוע (מועד), להכניס לרשימה; רעף, לוח	צפחה, לקבוע (מועד), להכניס לרשימה; רעף, לוח; להכניס מישהו לרשימה	פאנל	מובן נפוץ חסר
so that	1	כך ש-	כדי ש, כך ש-	פאנל	פירוש שגוי
sober	6	פיכח	פיכח; רציני	פאנל	פירוש שגוי
solicit	10	לשדל / להדיח; לבקש/לחפש בתחינה	לבקש, לשדל / להדיח; לבקש/לחפש בתחינה	פאנל	פירוש שגוי
solitude	10	בדידות	בדידות; התבודדות	פאנל	פירוש צר מדי
soon	1	בהקדם, מוקדם	בקרוב, בהקדם, מוקדם	פאנל	פירוש שגוי
sort	2	למיין	סוג, למיין	פאנל	מובן נפוץ חסר
spark	7	גיץ, ניצוץ	גיץ, ניצוץ; להצית	פאנל	פירוש צר מדי
speaker	4	דובר	דובר; רמקול	פאנל	פירוש צר מדי
spend	1	לבזבז, לפזר; לבלות, להעביר	להוציא, לבזבז, לפזר; לבלות, להעביר	פאנל	מובן נפוץ חסר
spicy	2	פיקנטי	חריף, פיקנטי	פאנל	פירוש שגוי
spike	8	יתד	זינוק, יתד; מסמר	פאנל	פירוש שגוי
spirit	3	כוונה, רוח הדברים; רוח רפאים, נפש	רוח, כוונה, רוח הדברים; רוח רפאים, נפש	פאנל	פירוש שגוי
spot	4	כתם; לזהות	כתם; לזהות; מקום	פאנל	פירוש צר מדי
spring	6	מעיין; אביב	מעיין; אביב; קפיץ	פאנל	פירוש צר מדי
stable	5	יציב	יציב; אורווה	פאנל	פירוש צר מדי
stack	5	ערמה	ערימה, ערמה; לערום	פאנל	פירוש שגוי
step	1	צעד, לצעוד	צעד, לצעוד; מדרגה	פאנל	פירוש צר מדי
strength	3	חוזק	כוח, חוזק	פאנל	מובן נפוץ חסר
struggle	5	מאבק, מאמץ	להיאבק, מאבק, מאמץ	פאנל	מובן נפוץ חסר
study	4	מחקר; חדר עבודה	ללמוד, מחקר; חדר עבודה	פאנל	מובן נפוץ חסר
subdue	10	להכניע	להכניע; לרסן	פאנל	פירוש צר מדי
succeed	5	הצליח	להצליח, הצליח; לרשת	פאנל	פירוש שגוי
suggest	2	להציע	להציע; לרמז	פאנל	פירוש צר מדי
superior	6	עליון	עדיף, עליון; ממונה	פאנל	פירוש שגוי
supplement	8	תוסף	תוסף; להשלים	פאנל	פירוש צר מדי
surface	4	פני שטח	משטח, פני שטח; לצוף	פאנל	פירוש שגוי
suspend	7	להשעות	להשעות; לתלות, להשהות	פאנל	פירוש צר מדי
swallow	5	לבלוע	לבלוע; סנונית	פאנל	פירוש צר מדי
swing	5	לנדנד, נדנדה	להתנדנד, לנדנד, נדנדה	פאנל	מובן נפוץ חסר
sympathetic	9	אוהד	אוהד; מבין	פאנל	פירוש צר מדי
take place	4	התרחש	להתרחש, התרחש; להתקיים	פאנל	פירוש שגוי
team	1	צוות	קבוצה, צוות	פאנל	פירוש שגוי
temple	6	מקדש	מקדש; רקה	פאנל	פירוש צר מדי
tend	6	נוטה	נוטה; לטפל	פאנל	פירוש שגוי
than	1	מ-	מאשר, מ-	פאנל	פירוש שגוי
that	1	ש-	ש, ש-; ההוא	פאנל	פירוש שגוי
title	3	כותרת	כותרת; תואר	פאנל	פירוש צר מדי
tone	2	טון	טון; נימה	פאנל	פירוש צר מדי
transcend	10	להתעלות	להתעלות; לחרוג	פאנל	פירוש צר מדי
transmit	7	לשדר	לשדר; להעביר	פאנל	פירוש צר מדי
transport	3	להוביל; הובלה	להוביל; הובלה; תחבורה	פאנל	פירוש צר מדי
treatment	3	טיפול	טיפול; יחס	פאנל	פירוש צר מדי
trial	6	נסיון; משפט	נסיון; משפט; ניסוי	פאנל	פירוש צר מדי
trigger	5	הדק	לגרום, הדק	פאנל	מובן נפוץ חסר
turn	1	לפנות, סיבוב	לפנות, סיבוב; תור	פאנל	פירוש צר מדי
twist	5	תפנית; סיבוב, סיבוך	לפתל, תפנית; סיבוב, סיבוך	פאנל	מובן נפוץ חסר
unconscious	6	מחוסר הכרה	מחוסר הכרה; לא מודע	פאנל	פירוש צר מדי
unfold	9	נפרש, נפתח, התגלה; לפתוח קיפול	להתפתח, נפרש, נפתח, התגלה; לפתוח קיפול; לפרוש	פאנל	פירוש שגוי
unsafe	2	לא בטוח	לא בטוח; מסוכן	פאנל	פירוש צר מדי
upheaval	10	מהפך	טלטלה, מהפך	פאנל	מובן נפוץ חסר
uphold	10	להחזיק, לתמוך, לדגול	לקיים, להחזיק, לתמוך, לדגול	פאנל	מובן נפוץ חסר
usher	10	סדרן	סדרן; ללוות	פאנל	פירוש צר מדי
verbal	4	ורבלי, מילולי	ורבלי, מילולי; בעל פה	פאנל	פירוש צר מדי
vessel	9	כלי שיט	כלי, כלי שיט	פאנל	פירוש שגוי
virtually	8	למעשה, בעצם	כמעט, למעשה, בעצם	פאנל	פירוש שגוי
virtue	9	מעלה	מידה טובה, מעלה	פאנל	פירוש שגוי
vocation	10	מקצוע	ייעוד, מקצוע	פאנל	מובן נפוץ חסר
wall	1	קיר	קיר; חומה	פאנל	פירוש צר מדי
wanted	8	מבוקש	לרצות, מבוקש	פאנל	מובן נפוץ חסר
watch	1	להסתכל, להשגיח; שעון	לצפות, להסתכל, להשגיח; שעון	פאנל	מובן נפוץ חסר
wave	2	גל	גל; לנופף	פאנל	פירוש צר מדי
way	1	דרך	דרך; אופן	פאנל	פירוש צר מדי
wear	3	ללבוש	ללבוש; להתבלות	פאנל	פירוש צר מדי
welfare	8	סעד	רווחה, סעד	פאנל	פירוש שגוי
when	1	כאשר, כש-	מתי, כאשר, כש-	פאנל	מובן נפוץ חסר
wholesale	9	סיטונאות	סיטונאי, סיטונאות; גורף	פאנל	פירוש שגוי
wind	9	למתוח; רוח	למתוח; רוח; ללפף	פאנל	פירוש צר מדי
withdraw	6	לסגת, לפרוש	לסגת, לפרוש; למשוך	פאנל	פירוש צר מדי
witness	4	עד, להעיד	עד, להעיד; לחזות	פאנל	פירוש צר מדי
wood	2	עץ	עץ; יער	פאנל	פירוש צר מדי
writer	1	סופר	סופר; כותב	פאנל	פירוש צר מדי
