מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
הִפְרִיט	שווה	הפרטה, שונה לגמרי מ"האציל" (האצלת סמכות); "פריטה" (משפחה) שורש משותף אך מובן שונה לגמרי, כמו ספר/סיפר.		5	העביר בעלות מהמדינה לידיים פרטיות (להיפך: הלאים)	אולי	14	האציל
הַרְרֵי זָהָב	שווה	ביטוי הפרזה/הבטחות סרק, לא מכוסה ולא שכיח מדי; המשפחה המוצעת אינה קשורה באמת.		5	דמיונות וגוזמאות	אולי	0	
הִתַּמֵּם	שווה	העמדת פנים כתמים, שונה מ"כביכול" (מילת גישור כללית); מונח ספציפי לא מכוסה.		5	עשה עצמו תמים, התנהג כאילו אינו יודע במה מדובר	אולי	11	כביכול
חָלַט	שווה	יציקת מים חמים (חליטה), שונה לגמרי מ"אשד" (מפל מים); מונח קולינרי לא שכיח.		5	יצק מים חמים	שווה	33	אשד
חֲלִיפַת מִכְתָּבִים	שווה	התכתבות בין צדדים, שונה לגמרי מ"ארחה" (שיירה); ביטוי לא שכיח מדי.		5	התכתבות בין שני אנשים או גופים	אולי	25	ארחה
חֲנִיטָה	שווה	שימור גופה נגד ריקבון, שונה לגמרי מ"ספד" (הספד); מונח ספציפי לא שכיח.		5	עיבוד גוף המת בתכשירים משמרים שעוצרים תהליכי ריקבון	אולי	13	ספד
חֻרְשָף	שווה	ארטישוק — שם צמח נדיר, המשפחה המוצעת (חרישי, חורש מזמות) מקרית לגמרי.		5	ארטישוק	אולי	0	
טְפָחוֹת	שווה	קורות עליונות במבנה, שונה לגמרי מ"סכר" (מבנה חוסם מים); לא מכוסה.		5	הקורות העליונות של מבנה	אולי	33	סכר
טְרוּט עֵינַיִם	שווה	עיניים עייפות/זגוגיות, שונה מ"אפלולי" (המתאר תאורה חשוכה למחצה ולא עיניים).		5	מי שעיניו מצומצמות למחצה מרוב תשישות או מחלה ומבטו עמום	שווה	13	אפלולי
כּוֹתֶרֶת	שווה	פוליסמית (כותרת טקסט / עלי כותרת בפרח / כותרת עמוד באדריכלות), שונה לגמרי מ"תנוך" (תנוך אוזן).		5	השורה שבראש טקסט או ידיעה; מקבץ עלי הפרח הצבעוניים; החלק העליון המעוטר של עמוד בבניין	שווה	8	תנוך
לְעֵילָא וּלְעֵילָא	שווה	ביטוי ליטורגי-ארמי לשבח עליון, שונה מ"עמוד התוך" (המרכזי ביותר); לא שכיח.		5	הטוב ביותר, המובחר	אולי	33	עמוד התוך
מוֹנוֹגַמְיָה	שווה	מונח ביולוגי-חברתי ספציפי (נשיאת בן זוג אחד), שונה לגמרי מ"קל וחמר" (היקש לוגי).		5	נשיאת אשה אחת בלבד (להיפך: ביגמיה, פוליגמיה)	אולי	14	קל וחמר
מוֹנוֹתֵאִיזְם	שווה	אמונה באל אחד, שונה לגמרי מ"לקט" (אסף); מונח לימודי-פילוסופי לא בסיסי מדי.		5	אמונה באל אחד	שווה	33	לקט
מַזְלֵף	שווה	כלי השקיה עם זרבובית, שונה לגמרי מ"אנין" (בעל טעם מעודן); לא מכוסה.		5	כלי השקיה בעל זרבובית להזלפת נוזלים, מזלפה	אולי	14	אנין
מְסוּפָּק	שווה	מילה דו-משמעית מעניינת (שבע רצון / מלא ספקות), שונה לגמרי מ"יהיר" (גאוותן).		5	בא על סיפוקו, שבע רצון; מלא ספקות, שרוי בספק	אולי	13	יהיר
מַקְצוּעָה	שווה	כלי נגרות ספציפי (מקצועת עץ), לא נגזר בבירור ממשמעות "מהוקצע" (מלוטש/מנוסח היטב); שם כלי עבודה נדיר.		5	אחד מכליו של הנגר המשמש להחלקת עצים	אולי	17	לקט
מַרְחֶשֶׁת	שווה	מחבת ארכאית לטיגון, שונה לגמרי מ"רחש" (משפחה, מובן של מלמול/יראת כבוד); לא מכוסה.		5	מחבת לטיגון	אולי	0	
צִיקְלוֹן	שווה	מילה אטומה ונדירה, אינה מכוסה כלל בחדש		5	סופה; תרמיל	שווה	0	
קֻבַּעַת	שווה	כלי שתייה ספציפי (גביע עם רגל), שונה מ"אגן" (קערה רחבה) שההתאמה אליו שטחית בלבד		5	גביע, כוס או קערה עם "רגל"	אולי	25	אגן
קוֹקֵטִי	שווה	מילה אטומה, אינה מכוסה כלל		5	גנדרן, מתחנחן	שווה	0	
קוֹרֶקְטִי	שווה	"נאות/ענייני" שונה לגמרי מ"חלין" (חילוני, לא קדוש); ההתאמה שטחית		5	נאות, ענייני	שווה	50	חלין
קִלְטֵר	שווה	"שם דבר" אינו קשור כלל לעיבוד אדמה; התאמה שגויה של הסקריפט		5	הפך את האדמה, פורר את האדמה	שווה	25	שם דבר
קֶרֶת	שווה	"רפאים" קשור רק בביטוי "עיר רפאים" ואינו נרדף אמיתי; קרת (עיר) אינה מכוסה		5	עיר, קריה	אולי	50	רפאים
רוֹדֵף שְׂרָרָה	שווה	"לאה" (מותש) אינו קשור כלל לתאב-כוח; ניב שלם ואינו מכוסה		5	כינוי לתאב כוח והשפעה	שווה	25	לאה
שָׁקַט עַל שְׁמָרָיו	שווה	ניב מקראי על שאננות, שונה מ"דשדש" (הליכה כבדה); לא מכוסה		5	היה שמרני, לא התקדם	שווה	50	דשדש
אוֹפּוֹרְטוּנִיזְם	שווה	מילה לועזית אך לא מובנת מאליה; "בצע" הוא מונח כספי צר יותר ולא זהה		6	נכונות לזנוח עקרונות לשם רווח מיידי, סתגלנות	אולי	14	בצע
אֵימָתַי	שווה	מילת שאלה ספרותית ("מתי"), אינה שכיחה מדי, ואינה מכוסה		6	מתי?	אולי	0	
אִלְחוּשׁ	שווה	"נסך" (החדיר תחושה/יצק יין) אינו קשור לגרימת חוסר תחושה; לא מכוסה		6	גרימה לחוסר תחושה בחלק בגוף, הרדמה	שווה	17	נסך
בַּחֲרוּת	שווה	נגזרת לא שקופה לגמרי מ"בחור"; לא מכוסה, ומשפחת "חרות"/"אחרית דבר" אינה קשורה במשמעות		6	תחילת תקופת הבגרות (מהמילה בחור)	אולי	0	
בֵּית מִטְבָּחַיִם	שווה	צירוף ספרותי לא נפוץ ("משחטה"), אינו מכוסה		6	משחטה	אולי	0	
בֵּית נְתִיבוֹת	שווה	"טרקלין" הוא אולם אירוח מפואר, שונה מטרמינל נוסעים; לא מכוסה		6	אולם נוסעים בשדה תעופה או בתחנת רכבת	אולי	17	טרקלין
בֶּן-לְוָיָה	שווה	"הסב" אינו קשור כלל (גרם/הפנה כיוון); לא מכוסה		6	מי שמתלווה לאדם אחר, שהולך איתו	שווה	20	הסב
בַּעֲלֵי שְׂרָרָה	שווה	"לאה" (מותש, חסר כוח) הפוך במשמעות ממי שיש בידו שררה; לא מכוסה		6	מי שבידיהם כוח שלטוני וסמכות לכפות את רצונם על אחרים	אולי	14	לאה
הֶחְפִּיץ	שווה	"כביכול" קשור רק במילה "כאילו" ולא במשמעות (הפיכה לחפץ); לא מכוסה		6	התייחס לאדם כאילו היה חפץ	אולי	25	כביכול
הִתְפַּקֵּר	שווה	"כפר" כאן במשמעות "הכחיש אשמה", שונה מ"יצא מהדת" של התפקר; לא מכוסה		6	חזר בשאלה, כפר	שווה	33	כפר
זְחִיחוּת דַּעַת	שווה	"נחת" הוא שביעות רצון חיובית וניטרלית, שונה מהיוהרה השלילית של זחיחות דעת; לא מכוסה		6	שביעות רצון עצמית הגובלת ביהירות	אולי	40	נחת
חִילָּה	שווה	מילה נדירה ואטומה, משפחת "חיל/חלאה" אינה קשורה במשמעות; לא מכוסה		6	המתיק	אולי	0	
מָאוֹר	שווה	"דמדומים" הוא אור בין יום ללילה, שונה ממקור אור עצמו; משפחת "מאורה" אינה קשורה; לא מכוסה		6	גוף מפיץ אור, זוהר	אולי	25	דמדומים
מַכְלֵב	שווה	מילה נדירה ל"שדכן/סטפלר", אינה מכוסה		6	מהדק, שדכן	שווה	0	
מִלְּגוֹ / מִלְגַו	שווה	מונח ארמי-תלמודי אטום ("מבפנים"); "הסיק" אינו קשור במשמעות; לא מכוסה		6	מבפנים, מתוך (להיפך: מִלְבַּר)	אולי	25	הסיק
מִלְּגוֹ וּמִלְבַּר	שווה	צירוף אטום ("מבפנים ומבחוץ"); "נבוב" (חלול) שונה במשמעות; לא מכוסה		6	מבפנים ומבחוץ	אולי	50	נבוב
מְסוּקָס	שווה	מילה נדירה ("מחוספס"), אינה מכוסה		6	מחוספס, מיובל	שווה	0	
מִסְרוֹן	שווה	מונח האקדמיה ל-SMS, לא שכיח מדי ואינו מכוסה		6	אס-אם-אס, הודעת טקסט	שווה	0	
נִמְלַךְ בּוֹ	שווה	משמעות שונה של אותו שורש ("התייעץ" ולא "שינה דעתו") — נמלך שבחדש מכסה רק את המובן האחר		6	התייעץ איתו, נועץ בו	אולי	25	חמק
עוּר!	שווה	צורת ציווי ספרותית-מקראית נדירה ("התעורר!"), אינה מכוסה		6	קום! התעורר!	שווה	0	
עִזָבוֹן	שווה	"עזובה" (הזנחה) שונה במשמעות מ"עיזבון" (ירושה); לא מכוסה		6	ירושה	אולי	0	
צִינָּה	שווה	מילה דו-משמעית נדירה (קור עז; מגן מקראי), "מכאוב" אינו קשור; לא מכוסה		6	קור עז; מגן גדול (מקראי)	אולי	20	מכאוב
צִלְצָל	שווה	מונח מקראי נדיר לכידון ציד ימי, "עלומים" אינו קשור כלל; לא מכוסה		6	כידון המחובר לחבל ומשמש לציד ימי	שווה	17	עלומים
תּוּפִין	שווה	מילה ספרותית נדירה למאפה, "תפנית" ממשפחה שונה לגמרי (מפנה); לא מכוסה		6	מאפה, עוגיה	אולי	0	
אִילוּחַ	שווה	מונח פורמלי (זיהום), לא צר מדי, "לח" ממשפחה חלשה; לא מכוסה		7	זיהום, חדירת חומרים או חיידקים לא רצויים	אולי	0	
אֶתְנָן	שווה	מונח מקראי-משפטי צר אך אטום ולא שכיח; "בגין" הוא מילת יחס כללית ולא נרדפת; לא מכוסה		7	שכר או תמורה הניתנים בעבור מעשה מגונה ובעיקר בעבור זנות	אולי	22	בגין
דְּבוּקָּה	שווה	משמעויות ספציפיות (קבוצה צפופה, צרור פצצות, צנחנים) שונות מ"אגד" (תחבושת/צרור); לא מכוסה		7	קבוצה הנעה יחד במבנה צפוף (בעיקר רוכבי אופניים במרוץ); צרור פצצות המשוגרות יחדיו; קבוצת צנחנים הצונחים יחדיו	אולי	13	אגד
הָגִיג	שווה	"פזיז" עוסק בנמהרות ולא במחשבה/הרהור עצמם; לא מכוסה		7	מחשבה, הרהור, שרעפים, חקרי לב	אולי	20	פזיז
הַזָחָה	שווה	"נוד" מתאר אדם נודד, לא קשור למונח הדפוס/הזזה; לא מכוסה		7	בדפוס — הרווח שבתחילת שורה או פסקה; הזזה, הסטה ממקום למקום	שווה	22	נוד
הֵזִיחַ	שווה	שונה מ"נוד" (המתאר אדם נודד, לא פועל של הזזת דבר); לא מכוסה		7	הזיז משהו ממקום למקום, הסיט	שווה	50	נוד
הֶרֶף	שווה	משמעות "עצור!/ללא הפסקה" שונה מ"הרף עין" (רגע זמן) שכבר במשפחה; מובן עצמאי שאינו מכוסה		7	הפסק! די! (ללא ___ - ללא הפסקה, כל הזמן)	אולי	29	לשוא
זוֹט	שווה	מילה נדירה ("קרקעית כלי"), "מגל" אינו קשור כלל; לא מכוסה		7	קרקעית, תחתית של כלי	שווה	33	מגל
חֵבֶל	שווה	"תהלה" (שבח) אינו קשור לייסורים/כאב; לא מכוסה		7	ייסורים, מכאוב, בציפייה לדבר חיובי (חבלי לידה)	אולי	14	תהלה
חֲטָף	שווה	"נעץ מבט" הוא מבט חד ומתמשך, כמעט הפוך ממבט חטוף/חולף; לא מכוסה		7	מהירות גבוהה (מבט חטוף - מבט מהיר)	אולי	33	נעץ
חָרָבָה	שווה	"אשד" (מפל מים) הפוך במשמעות מאדמה יבשה; לא מכוסה		7	אדמה שאינה מכוסה מים, יבשה	אולי	20	אשד
טַבּוּלָה רָאסָה	שווה	מונח תרבותי-פילוסופי מוכר, "מרבץ" אינו קשור כלל; לא מכוסה		7	אינו יודע דבר בתחום מסוים, חסר דעה בנושא מסוים	שווה	25	מרבץ
מְבוּזָּר	שווה	מילה פורמלית (ביזור, לא ריכוזיות), "בעלמא" אינו קשור כלל; לא מכוסה		7	מפוזר	שווה	0	
מִזְקָקָה	שווה	"מפלט" (מחסה) אינו קשור למקום זיקוק משקאות; לא מכוסה		7	מקום לזיקוק ולהכנת משקאות חריפים	אולי	20	מפלט
מַחְבּוֹש	שווה	מובן שונה של השורש (מאסר/מעצר) מהמובן הרגיל של "חבש" (חבישת פצע); לא מכוסה		7	עונש של כליאה	אולי	0	
מְחֻטָּט	שווה	"יהיר" (גאוותן) אינו קשור לצלקות מחלת עור; לא מכוסה		7	מלא בצלקות שנגרמו ממחלת עור כלשהי	אולי	17	יהיר
מַעֲרֶה הַיַּעַר	שווה	"נטול" הוא מילת יחס כללית ("חסר, בלי"), לא צירוף ספציפי כמו קרחת יער; לא מכוסה		7	אזור נטול עצים ביער, קרחת היער	אולי	17	נטול
מַק	שווה	מילה ספרותית קצרה ואטומה ("ריקבון"), אינה מכוסה		7	ריקבון	שווה	0	
מַרְנִין	שווה	"דאבון" הוא צער — הפוך ממש ממשמעות מרנין (שמחה); לא מכוסה		7	משמח, משיב את הלב	אולי	33	דאבון
נָאוֹר	שווה	"מתורבת, משכיל" אינו מכוסה כלל; המשפחה (נהרה/ניר) עוסקת באור פיזי ולא בהשכלה מטפורית		7	מתורבת, משכיל	אולי	0	
נוֹאָל	שווה	"טיפשי, אווילי" אינו מכוסה כלל; נול (משפחה) הוא מקרה לשוני שונה לחלוטין (נול אריגה)		7	טיפשי, אווילי	אולי	0	
נְחִירָה	שווה	מונח ספרותי-מקראי מובחן (המתה בדקירה) שאינו מכוסה; חלב (הקרוב, 29%) עוסק בשומן ולא בפעולת ההמתה		7	המתת בעלי חיים (בדרך כלל חזיר) על ידי דקירה	אולי	29	חלב
נִשְפֶּה	שווה	התאמה מכנית שגויה: "נמנה עם" הותאם דרך המילה הדו-משמעית "חלק" (השתייך) ולא "חלק ותלול"; אין כיסוי אמיתי		7	חלק ותלול	אולי	50	נמנה עם
סֵיפָא	שווה	התאמה מכנית שגויה דרך המילה הדו-משמעית "חלק" (תנוך=חלק רך באוזן, לא סוף/חלק אחרון); מונח ארמי-משפטי מובחן		7	סוף, החלק האחרון (להיפך: רֵישָא)	אולי	20	תנוך
פִּיל לָבָן	שווה	ניב עסקי-תקשורתי מוכר אך לא בהכרח שכיח אצל בני נוער; המשפחה (הפליא/האפיל) אינה קשורה במשמעות		7	כינוי לפרויקט ענק שהושקע בו רבות אך אין בו שימוש	אולי	25	חמק
צְבִיר	שווה	התאמה מכנית שגויה דרך המילה הדו-משמעית "קבוצה" (עגה=שפת קבוצה, לא צביר/אשכול פיזי)		7	קבוצה (___ עננים - קבוצת עננים)	שווה	20	עגה
צַדְקָנוּת	שווה	התאמה מכנית שגויה דרך "עיניים" (לטש עיניים=הביט בחשק, לא גלגול עיניים של צדקנות)		7	תכונתו של הצדקן, גלגול עיניים	שווה	25	לטש
צָמִיג	שווה	עבת (הקרוב) מתאר "סבוך" (כמו זקן), בעוד צמיג עניינו סמיך-דביק של נוזל; תחומים שונים		7	סמיך, דביק	שווה	50	עבת
צִקְצוּק	שווה	מונח קולי מובחן שאינו מכוסה; מכאוב (הקרוב, 11% בלבד) אינו קשור		7	הפקת רעש חד בלשון להבעת מורת רוח, גינוי או צער	שווה	11	מכאוב
קַפֶּנְדַרְיָא / קַפַּנְדְּרִיָּה	שווה	"דרך קיצור" שונה מאפיק (ערוץ נהר/דרך פעולה כללית); לא מכוסה		7	דרך קיצור	שווה	50	אפיק
קַרְפִּיף	שווה	שם עצם (שטח מגודר) מול השתרע שהוא פועל ("התפרש על שטח"); לא מכוסה		7	שטח מגודר	שווה	50	השתרע
רֵישָא	שווה	אותה התאמה מכנית שגויה כמו סיפא, דרך המילה הדו-משמעית "חלק"; מונח ארמי-משפטי מובחן		7	התחלה, החלק הראשון (להיפך: סֵיפָא)	אולי	20	תנוך
רִנֵּן	שווה	חפיפה מקרית בלבד על "שר" (סריס=שר בחצר המלך); מובן הריכול/רינון של רנן אינו מכוסה כלל		7	ריכל; שר	אולי	50	סריס
שִׁיפּוּי	שווה	הומונים כפול (פיצוי כספי / השחזה) שאף אחד מהם אינו מכוסה על ידי הסב		7	תשלום כספי כפיצוי על נזק או הוצאה, כיסוי הפסד; ליטוש והחלקה בעזרת שופין, השחזה	אולי	8	הסב
שָׁנָה	שווה	מובן ארכאי נשכח (חזר על פעולה/שינן) שאינו מכוסה; התאמה מכנית שגויה דרך "שוב ושוב" בלבד מול הפציר (התחנן)		7	עשה משהו שוב ושוב, חזר על פעולה מסוימת; למד, שינן	אולי	25	הפציר
שַׁעַל	שווה	שם-מידה ניטרלי לצעד, שונה משרך (צעד כבד ואיטי באופן ספציפי); לא מכוסה		7	פסיעה, צעד	אולי	50	שרך
תּוֹעַמְלָן	שווה	תעמולה כרוכה בכוונה משכנעת/מוטה, שונה מכרוז הניטרלי (מודיע ברבים); לא מכוסה		7	מי שעוסק בתעמולה, מי שמפיץ מסרים ברבים	אולי	20	כרוז
תִּחוּחַ	שווה	מונח חקלאי-ספרותי מובחן; כן/כנה (הקרוב) עוסק בבסיס תמיכה, לא קשור		7	פירור האדמה בעזרת כלי כלשהו	שווה	20	כן / כנה
תְּנוּבָה	שווה	משמעות מקורית (יבול חקלאי) אטומה בפועל בגלל האסוציאציה עם שם מותג מוכר; לא מכוסה		7	יבול, תוצרת חקלאית	שווה	0	
תַּשְׁלִיל	שווה	מונח פוטוגרפי כללי (נגטיב) שהולך ונשכח בעידן הדיגיטלי; לא מכוסה		7	סרט צילום ממנו מפיקים את התמונות, נגטיב	שווה	17	נבצר ממנו
בְּעוֹד מוֹעֵד	שווה	ביטוי פורמלי מובחן ("בזמן, לפני המועד") שאינו זהה לזה מכבר (עבר רחוק); לא מכוסה		8	די זמן לפני הזמן שנקבע, לא ברגע האחרון	אולי	17	זה מכבר
דוֹמֶן	שווה	מונח ספרותי-מקראי אטום לזבל אורגני; חברבורה (הקרוב) עוסק בכתם עור, לא קשור		8	זבל אורגני (בעיקר צואה של אדם או בעל חיים)	אולי	40	חברבורה
הִבְכִּיר	שווה	פועל כללי (הבשיל מוקדם) שונה מסמדר (שם עצם ספציפי לפריחת גפן); לא מכוסה		8	הבשיל בתחילת העונה	אולי	33	סמדר
הֲוָיָה	שווה	מונח פילוסופי מופשט (מציאות/ישות) שונה ממהוה (פועל טכני "מהווה/מרכיב"); לא מכוסה		8	מציאות, ממשות	אולי	0	
זֵד	שווה	שם-אדם ("רשע") שונה ממזמה (תוכנית-זדון, שם-דבר); התייחסות שונה		8	רשע, זדון	שווה	50	מזמה
חִדָלוֹן	שווה	המשמעות המרכזית (אפסות/כלייה) אינה מכוסה כלל; אזלת יד (הקרוב) חופף רק חלקית למובן המשני (חוסר מעש)		8	אפסות, אי-קיום, כלייה, אבדון; חוסר מעש	אולי	17	אזלת יד
כְּפִיפוּת	שווה	מונח היררכי-ארגוני מובחן; הסב (הקרוב, 17% בלבד) אינו קשור		8	מצבו של מי שנמצא תחת סמכותו ופיקודו של אחר	שווה	17	הסב
לָא מִנֵּיהּ וְלָא מִקְּצָתֵיהּ	שווה	ניב ארמי אטום ומובחן ("שגוי לחלוטין"); הדריך מנוחתו (הקרוב) עוסק בהטרדה, לא קשור כלל		8	שגוי לחלוטין (לא ממנו ולא קצת ממנו)	אולי	50	הדריך מנוחתו
לְמַכְבִּיר	שווה	תואר-פועל ("בשפע") שונה מגרגרן (שם-אדם זללן); חפיפה מקרית בלבד על "הרבה"		8	הרבה, בשפע	שווה	50	גרגרן
מֻבְלַעַת	שווה	מונח גאופוליטי ספציפי (מובלעת טריטוריאלית) שאינו נגזר בבירור מ-הבליע (בלע/ספג); ערך מילוני עצמאי		8	טריטוריה של ישות מדינית אחת הכלואה כולה בתוך טריטוריה של אחרת	אולי	13	קל וחמר
מְדוּכָה	שווה	המובן המושאל החשוב (עמד/ישב על המדוכה = בירור יסודי) אינו מכוסה כלל על ידי דך (מדוכא כמכשיר)		8	קערית עבה שבה מרסקים תבלינים וגרעינים באמצעות עלי; ובהשאלה, בירור יסודי של סוגיה	אולי	8	שבה
מְהַדְּרִין	שווה	מתאר אדם דקדקן, שונה מ"קצו של יוד" שמתאר את הפרט הקטן עצמו ולא את האדם המקפיד		8	מי שמקפיד על כל פרט ופרט, דקדקן	אולי	25	קצו של יוד
מְסוֹבָב	שווה	מונח פילוסופי-לוגי (סיבה ומסובב) מובחן; פזיז (הקרוב) הותאם דרך המילה הדו-משמעית "פועל" בלבד		8	פועל יוצא, תוצאה	שווה	33	פזיז
נְסִיקָה	שווה	מונח כללי לעלייה/המראה; שבשבת (הקרוב) הותאם דרך המילה הדו-משמעית "מראה" בלבד ולא קשור		8	התרוממות, המראה	שווה	50	שבשבת
פָּכַר	שווה	ניב מובחן וחשוב (פכר את ידיו) שעניינו לחיצה/פיתול, שונה מנתץ שמשמעו הריסה		8	שבר, לחץ, מעך	אולי	33	נתץ
פְּלוּגְתָּא	שווה	שם-דבר (המחלוקת עצמה) שונה מקנטרן (שם-אדם מתגרה); מונח ארמי-תלמודי אופייני שלא מכוסה		8	מחלוקת, ריב, חילוקי דעות	אולי	25	קנטרן
צַרְכָנִיָּה	שווה	מונח היסטורי-מוסדי (חנות אגודה שיתופית) שאינו טריוויאלי; תמול שלשום (הקרוב) הותאם דרך "בעבר" בלבד		8	מכולת שכונתית; בעבר חנות של אגודה שיתופית שספקה מצרכים לחבריה	שווה	11	תמול שלשום
שִׁוָּוה	שווה	שימוש מקראי-ארכאי אטום (הקנה לו); פקד (הקרוב) שונה במהות (אירע לו, לרוב שלילי, לא הענקה)		8	הקנה לו	אולי	50	פקד
שַׁוֵּוה בְּנַפְשֵׁך	שווה	ניב ספרותי מובחן ("תאר לעצמך") שאינו מכוסה כלל		8	תאר לעצמך	אולי	0	
שַׁחֲרִית	שווה	מונח מובחן (תפילת הבוקר / ראשית היום); ארר (הקרוב) אינו קשור כלל		8	התפילה הראשונה מבין שלוש תפילות היום ביהדות; ראשית היום, בלשון ספרותית	אולי	18	ארר
תַּבְלִיט	שווה	מונח כללי בתחומי אמנות וגאוגרפיה (לא צר מדי); לכאורה (הקרוב, 8% בלבד) אינו קשור		8	פסל שדמויותיו מזדקרות מתוך משטח ואינו חופשי במרחב; צורת פני הקרקע וגובהיה	אולי	8	לכאורה
תִּינָּה	שווה	פועל מקראי-ארכאי נדיר (התאבל) שאינו מכוסה כלל		8	התאבל	אולי	0	
תַּמְלוּגִים	שווה	מונח כלכלי-תרבותי מובחן (תשלום עבור זכויות יוצרים); בית תמחוי (הקרוב) אינו קשור		8	תשלום עבור שימוש בזכויות יוצרים	אולי	20	בית תמחוי
אִיֵּשׁ	שווה	מונח מנהלי-ארגוני מובחן (איוש משרות); ארחה (הקרוב) הותאם דרך "אנשים" בלבד		9	הציב אנשים למילוי תפקיד מסוים	אולי	20	ארחה
הִכְתִּיר	שווה	מונח היסטורי-פוליטי מובחן (הכתרת מלך); תירוש (הקרוב) אינו קשור כלל, התאמה מקרית		9	הסמיך מלך חדש	שווה	33	תירוש
הִמְרָה אֶת פִּיו	שווה	ניב מקראי מובחן (מרד בהוראה של מישהו אחר), שונה מ"על כרחו" (משהו שנכפה על האדם עצמו)		9	נהג בניגוד להוראתו	אולי	33	על כרחו
הִסְתּוֹפֵף	שווה	פועל עצמי (לשהות/להתגורר) שונה מהקהיל (פועל יוצא, לכנס אחרים); לא מכוסה		9	שהה באופן ממושך במקום מסוים או בחברת אנשים מסוימים	אולי	25	הקהיל
הִקְצָה	שווה	מונח מנהלי-תקציבי מדויק (הקצאת משאבים/תקציב); חתר (הקרוב) הותאם דרך "מטרה" בלבד		9	ייעד משהו למטרה מסוימת, הקציב, הפריש	אולי	20	חתר
הִרְעִים	שווה	מונח מקראי-ספרותי (רעם/הרגיז) שאינו מכוסה; געה (הקרוב) עוסק בקול בהמה/בכי, שונה		9	השמיע קול רעם, רעש בקול אדיר; הרגיז, הכעיס (בלשון המקרא)	אולי	20	געה
הִתְגַּפֵּף	שווה	פועל ספרותי-ארכאי לחיבוק אוהב, שאינו מכוסה כלל; הסיק (הקרוב) לא קשור		9	התחבק מתוך אהבה, התרפק, התלטף	שווה	20	הסיק
וַרְיַאצְיָה	שווה	משמעות ספציפית (נוסח/גרסה) לא מכוסה, אין מועמד אמיתי בחדש		9	נוסח, גירסה	אולי	0	
זִכָּיוֹן	שווה	זכות/רישיון בלעדיים - משמעות שאינה מכוסה ע"י "סנגר" (לימד זכות=הגן)		9	זכות מיוחדת לדבר מה	שווה	33	סנגר
טְפִיפָה	שווה	הליכה מרחפת ומתנדנדת שונה מ"דדה" (צעדים קטנים כתינוק)		9	הליכה בצעדים קלים תוך התנדנדות, צעידה מרחפת	שווה	14	דדה
לָאַט	שווה	חולק על הסיווג המכני - "קטרג" (האשים) שונה לגמרי מ"לאט" (לחש, דיבר בשקט)		9	לחש, דיבר בלחש ובשקט	אולי	25	קטרג
מְלוּבָּן	שווה	מוסבר/מפורש - 0% חפיפה, אין מועמד אמיתי, לא שכיחה מדי		9	מובהר, מוסבר, מפורש	אולי	0	
מִשְׁנֶה	שווה	חולק על הסיווג המכני - "יהיר" (גאוותן) לא קשור למשמעות "משנה" (כפול, מודגש, כגון משנה זהירות)		9	כפול ומכופל, רב מאוד (___ תוקף, ___ חשיבות)	אולי	14	יהיר
סְבָרָה	שווה	חולק על הסיווג - "שכלתן" הוא כינוי לאדם, לא היסק/ניחוש מנומק כמו סברה		9	היסק הנשען על היגיון בלבד ולא על מקור מוסמך; ניחוש מנומק	אולי	22	שכלתן
סוֹלְלָה	שווה	משמעות צבאית/גיאוגרפית שונה מהמשמעות היומיומית (סוללה חשמלית); אין קשר אמיתי ל"אונקיה"		9	גבעה מלאכותית מוארכת; יחידת תותחים	שווה	20	אונקיה
סָלַד	שווה	חולק על הסיווג - "הזדקר" (בלט כלפי מעלה) לא קשור ל"סלד" (נגעל)		9	הרגיש דחייה כלפי משהו, נגעל	אולי	25	הזדקר
צָנוּף	שווה	משמעות ספציפית (כרוך סביב הראש, מכורבל) שונה מ"כרך" (קשר, חיבר)		9	מגולגל, מכורבל, מכווץ; כרוך סביב הראש	שווה	17	כרך
קְדֵרָה	שווה	חולק על הסיווג - "מגל" (כלי קציר) שונה לגמרי מ"קדרה" (כלי בישול)		9	כלי לבישול, סיר	אולי	33	מגל
קָטוּם	שווה	תואר למצב חיתוך/קיצוץ קצה (כגון אצבע/זווית קטומה), שונה מ"התיז" שהוא פועל הכאה חדה		9	שנכרת ונקצץ ראשו	שווה	33	התיז
שֶׁנֶץ	שווה	מילה אטומה ולא שכיחה (רצועה/שרוך), אין מועמד		9	רצועה, שרוך	שווה	0	
שָׂרָף	שווה	המשמעות "מלאך" (שרף מקראי) אינה מכוסה כלל ע"י צפעוני (רק נחש)		9	כינוי לנחש ארסי; מלאך	שווה	25	צפעוני
אוֹמְנִיפּוֹטֶנְטִי	שווה	מילה לועזית נדירה ואטומה (כל-יכול), לא מכוסה		10	כל-יכול	שווה	0	
אָזַר עֹז / כֹּחַ / אֹמֶץ	שווה	הניב (התאזר באומץ) שונה במשמעות מ"רוה" (הרגיש סיפוק); גם כניב הוא פריט מבחן עצמאי		10	הֵעֵז (אזר - התמלא)	אולי	33	רוה
אֲסוּפָה	שווה	חולק על הסיווג - "מרבץ" (משקע גיאולוגי) לא קשור ל"אסופה" (קובץ מאמרים)		10	מקבץ מאמרים בנושא מסוים	אולי	25	מרבץ
