מילה	מקור ההוכחה הרשום	הרפרנס הרשום	פסק דין	מה נמצא בפועל
תַּשְׁלִיל	ויקינתונים (CC0)	L220463	אומת	L220463 ⟵ «תשליל»
בְּעוֹד מוֹעֵד	נחלת הכלל / CC0 (לפי ספריא)	Book of Judith 8:31 (Ketuvim Achronim, Seckel Isaac Frankel. Warsaw, 1885 [he])	אומת	Ketuvim Achronim, Seckel Isaac Frankel. Warsaw, 1885 · Public Domain
דוֹמֶן	נחלת הכלל / CC0 (לפי ספריא)	Metzudat Zion on Psalms 113:7:1 (On Your Way [he])	אומת	On Your Way · Public Domain
הִבְכִּיר	ויקינתונים (CC0)	L206865	אומת	L206865 ⟵ «הבכיר»
הֲוָיָה	נחלת הכלל / CC0 (לפי ספריא)	Aderet Eliyahu, Leviticus 13:45:1 (Aderet Eliyahu, Halberstadt, 1860 [he])	אומת	Aderet Eliyahu, Halberstadt, 1860 · Public Domain
זֵד	ויקינתונים (CC0)	L65026	אומת	L65026 ⟵ «זד»
חִדָלוֹן	ויקינתונים (CC0)	L210774	אומת	L210774 ⟵ «חדלון»
כְּפִיפוּת	ויקינתונים (CC0)	L212188	אומת	L212188 ⟵ «כפיפות»
לָא מִנֵּיהּ וְלָא מִקְּצָתֵיהּ	נחלת הכלל / CC0 (לפי ספריא)	Sermons Unto My People, The Three Festivals 1:28 (Derashot El Ami, Jerusalem 1936 [he])	חשוד	Derashot El Ami, Jerusalem 1936 · רישיון «Public Domain» · מהדורה 1936
לְמַכְבִּיר	נחלת הכלל / CC0 (לפי ספריא)	Ralbag on Job 36:31:1 (On Your Way [he])	אומת	On Your Way · Public Domain
מֻבְלַעַת	ויקינתונים (CC0)	L78748	אומת	L78748 ⟵ «מבלעת»
מְדוּכָה	ויקינתונים (CC0)	L212662	אומת	L212662 ⟵ «מדוכה»
מְהַדְּרִין	נחלת הכלל / CC0 (לפי ספריא)	Beur HaGra on Shulchan Arukh, Orach Chayim 677:3:2 (Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893 [he])	אומת	Maginei Eretz: Shulchan Aruch Orach Chaim, Lemberg, 1893 · Public Domain
מְסוֹבָב	נחלת הכלל / CC0 (לפי ספריא)	Talmud Eser HaSefirot, Section VII, List of Answers on Topics 154:90	חשוד	Jerusalem, 1956-1966 · רישיון «Public Domain» · מהדורה 1966
נְסִיקָה	ויקינתונים (CC0)	L214768	אומת	L214768 ⟵ «נסיקה»
פָּכַר	ויקינתונים (CC0)	L216865	אומת	L216865 ⟵ «פכר»
פְּלוּגְתָּא	ויקינתונים (CC0)	L491543	אומת	L491543 ⟵ «פלוגתא»
צַרְכָנִיָּה	ויקינתונים (CC0)	L81406	אומת	L81406 ⟵ «צרכניה»
שִׁוָּוה	ויקינתונים (CC0)	L1368445	אומת	L1368445 ⟵ «שווה»
שַׁוֵּוה בְּנַפְשֵׁך	לפי מילה · CC0 / נחלת הכלל	שווה=L1368445 · בנפשך=Malbim on Esther 4:13:1 (On Your Way [he])	אומת	L1368445 ⟵ «שווה» · On Your Way · Public Domain
שַׁחֲרִית	ויקינתונים (CC0)	L68306	אומת	L68306 ⟵ «שחרית»
תַּבְלִיט	ויקינתונים (CC0)	L82412	אומת	L82412 ⟵ «תבליט»
תִּינָּה	ויקינתונים (CC0)	L220189	אומת	L220189 ⟵ «תינה»
תַּמְלוּגִים	ויקינתונים (CC0)	L220279	אומת	L220279 ⟵ «תמלוגים»
אִיֵּשׁ	ויקינתונים (CC0)	L63920	אומת	L63920 ⟵ «איש»
הִכְתִּיר	ויקינתונים (CC0)	L208154	אומת	L208154 ⟵ «הכתיר»
הִמְרָה אֶת פִּיו	נחלת הכלל / CC0 (לפי ספריא)	Rabbeinu Bahya, Vayikra 1:9:1	אומת	Midrash Rabbeinu Bachya [ben Asher]. Warsaw, 1878 · Public Domain
הִסְתּוֹפֵף	ויקינתונים (CC0)	L208379	אומת	L208379 ⟵ «הסתופף»
הִקְצָה	ויקינתונים (CC0)	L208829	אומת	L208829 ⟵ «הקצה»
הִרְעִים	ויקינתונים (CC0)	L208925	אומת	L208925 ⟵ «הרעים»
הִתְגַּפֵּף	ויקינתונים (CC0)	L209417	אומת	L209417 ⟵ «התגפף»
וַרְיַאצְיָה	ויקינתונים (CC0)	L65014	אומת	L65014 ⟵ «וריאציה»
זִכָּיוֹן	ויקינתונים (CC0)	L210424	אומת	L210424 ⟵ «זכיון»
טְפִיפָה	ויקינתונים (CC0)	L211493	אומת	L211493 ⟵ «טפיפה»
לָאַט	ויקינתונים (CC0)	L212262	אומת	L212262 ⟵ «לאט»
מְלוּבָּן	נחלת הכלל / CC0 (לפי ספריא)	Hon Ashir on Mishnah Bekhorot 4:7:1	אומת	Hon Ashir, Amsterdam, 1731 · Public Domain
מִשְׁנֶה	ויקינתונים (CC0)	L66593	אומת	L66593 ⟵ «משנה»
סְבָרָה	ויקינתונים (CC0)	L79975	אומת	L79975 ⟵ «סברה»
סוֹלְלָה	ויקינתונים (CC0)	L66957	אומת	L66957 ⟵ «סוללה»
סָלַד	ויקינתונים (CC0)	L215613	אומת	L215613 ⟵ «סלד»
צָנוּף	ויקינתונים (CC0)	L217661	אומת	L217661 ⟵ «צנוף»
קְדֵרָה	ויקינתונים (CC0)	L81443	אומת	L81443 ⟵ «קדרה»
קָטוּם	ויקינתונים (CC0)	L218069	אומת	L218069 ⟵ «קטום»
שֶׁנֶץ	נחלת הכלל / CC0 (לפי ספריא)	Sefer HeArukh, Letter Shin 300 (Sefer HeArukh, Lublin 1883 [he])	אומת	Sefer HeArukh, Lublin 1883 · Public Domain
שָׂרָף	ויקינתונים (CC0)	L219890	אומת	L219890 ⟵ «שרף»
אוֹמְנִיפּוֹטֶנְטִי	ויקינתונים (CC0)	L204503	אומת	L204503 ⟵ «אומניפוטנטי»
אָזַר עֹז / כֹּחַ / אֹמֶץ	ויקינתונים (CC0)	L65701	חלקי	L65701 מכסה את «כח» בלבד, לא את הערך המלא
אֲסוּפָה	ויקינתונים (CC0)	L205142	אומת	L205142 ⟵ «אסופה»
בְּחִישָׁה	ויקינתונים (CC0)	L205673	אומת	L205673 ⟵ «בחישה»
בִּכּוּרִים	ויקינתונים (CC0)	L76331	אומת	L76331 ⟵ «בכורים»
בִּמְבֵּם	ויקיטקסט · נחלת הכלל	בחורף/א · יוסף חיים ברנר	אומת	בחורף/א · 10590 תווים · «במבם»
גְּלָלִים	נחלת הכלל / CC0 (לפי ספריא)	Gilyon HaShas on Shabbat 58a:1	אומת	Vilna Edition · Public Domain
דָּא עָקָא	ספריא · נחלת הכלל	Hegyonot El Ami, Volume I, Rosh Hashanah 18:21 (Antwerp, 1933-1936 [he])	חשוד	Antwerp, 1933-1936 · רישיון «Public Domain» · מהדורה 1936
הֶגְמוֹנְיָה	ויקינתונים (CC0)	L64785	אומת	L64785 ⟵ «הגמוניה»
הִכְפִּיף	ויקינתונים (CC0)	L208132	אומת	L208132 ⟵ «הכפיף»
הַלְמוּת	ויקינתונים (CC0)	L208183	אומת	L208183 ⟵ «הלמות»
הִנְפִּיק	ויקינתונים (CC0)	L208293	אומת	L208293 ⟵ «הנפיק»
הִתְבַּדְּרוּת	ויקינתונים (CC0)	L209308	אומת	L209308 ⟵ «התבדרות»
הִתְלַהֵם	ויקינתונים (CC0)	L209682	אומת	L209682 ⟵ «התלהם»
הִתְנוֹפֵף	ויקינתונים (CC0)	L209827	אומת	L209827 ⟵ «התנופף»
זִבְדָה	נחלת הכלל / CC0 (לפי ספריא)	Siddur Sefard, Purim, Krovetz L'Purim 23 (Torat Emet 357 [he])	אומת	Torat Emet 357 · Public Domain
זְמָם	ויקינתונים (CC0)	L210475	אומת	L210475 ⟵ «זמם»
חָרוּל	ויקינתונים (CC0)	L77935	אומת	L77935 ⟵ «חרול»
יְהָב	ויקינתונים (CC0)	L65532	אומת	L65532 ⟵ «יהב»
כִּמֵּת	ויקינתונים (CC0)	L65798	אומת	L65798 ⟵ «כמת»
לְמֵישָׁרִין	ויקיטקסט · נחלת הכלל (טקסט מקורי)	חבל נחלתו ז לג	אומת	חבל נחלתו ז לג · 8800 תווים · «למישרין»
מִזְכָּר	ויקינתונים (CC0)	L212987	אומת	L212987 ⟵ «מזכר»
מִסְדָּר	ויקינתונים (CC0)	L213500	אומת	L213500 ⟵ «מסדר»
נִפְרַע	ויקינתונים (CC0)	L214885	אומת	L214885 ⟵ «נפרע»
נִצַּחַת	נחלת הכלל / CC0 (לפי ספריא)	Jastrow, נִצַּחַת	אומת	נִצַּחַת @ Jastrow Dictionary
סָר מֵרַע	נחלת הכלל / CC0 (לפי ספריא)	The Wisdom of Solomon 4:12	אומת	Chokhmat Shlomo, Warsaw 1885 · Public Domain
פְּעָמָיו	כתב־יד לנינגרד — נחלת הכלל	Psalms 85:14	אומת	Tanach with Ta'amei Hamikra · Public Domain
פְּרִישוּת	ויקינתונים (CC0)	L217292	אומת	L217292 ⟵ «פרישות»
פָּרַף	ויקינתונים (CC0)	L217344	אומת	L217344 ⟵ «פרף»
צֶדַע / צְדָעַיִם / צְדָעוֹת	ויקינתונים (CC0)	L81237	אומת	L81237 ⟵ «צדע»
צְנִיפָה	נחלת הכלל / CC0 (לפי ספריא)	Ralbag Beur HaMilot on Torah, Exodus 28:4:3	אומת	Ralbag on Torah, Venice, 1547 · Public Domain
קַל תְּפִיסָה	נחלת הכלל / CC0 (לפי ספריא)	Shoel uMeshiv Mahadura II 1:80:4 (Lemberg, 1865-1890 [he])	חלקי	נמצא «קל» בלבד ב-Lemberg, 1865-1890, לא הערך המלא
רִפְרֵף	ויקינתונים (CC0)	L219077	אומת	L219077 ⟵ «רפרף»
שִׁפּוּל	ספריא · Vilna Edition (Public Domain)	Rashi on Yoma 73a:7:2	שגוי	אין בטקסט העברי לא את הערך ולא רכיב ממנו · 2 גרסאות
שָׁת	ויקינתונים (CC0)	L68520	אומת	L68520 ⟵ «שת»
