מילה	יחידה	מקור ההוכחה	מזהה/רפרנס	הערה
גָּדִיד	4	ויקינתונים (CC0)	L76564	גדיד
גוּמְחָה	4	ויקינתונים (CC0)	L76704	גומחה
גִּידֵּף	4	ויקינתונים (CC0)	L206188	גידף
גַּלְעֵד	4	ויקינתונים (CC0)	L76692	גלעד
דָּווּי	4	ויקינתונים (CC0)	L491895	דווי
דִּכְדּוּךְ	4	ויקינתונים (CC0)	L64710	דכדוך
דַּש	4	ויקינתונים (CC0)	L206789	דש
הֵאִיץ	4	ויקינתונים (CC0)	L206814	האיץ
הִגְלָה	4	ויקינתונים (CC0)	L206932	הגלה
הַדְלִיף	4	ויקינתונים (CC0)	L206980	הדליף
הוֹנָה	4	ויקינתונים (CC0)	L207258	הונה
הוּעַם	4	ויקינתונים (CC0)	L207310	הועם
הֶחְטִיא	4	ויקינתונים (CC0)	L207612	החטיא
הֲלָצָה	4	ויקינתונים (CC0)	L208191	הלצה
הֵנִיא	4	ויקינתונים (CC0)	L208276	הניא
הִסְתּוֹדֵד	4	ויקינתונים (CC0)	L208373	הסתודד
הֶעְתִּיר	4	ויקינתונים (CC0)	L208504	העתיר
הִצְנִיעַ	4	ויקינתונים (CC0)	L208684	הצניע
הִשְׁתַּנֵּק	4	ויקינתונים (CC0)	L209158	השתנק
הִתְפַּלֵּשׁ	4	ויקינתונים (CC0)	L210037	התפלש
הִתְרַפֵּס	4	ויקינתונים (CC0)	L210237	התרפס
זָלַג	4	ויקינתונים (CC0)	L210458	זלג
זָעוּם	4	ויקינתונים (CC0)	L210494	זעום
זַרְזִיף	4	ויקינתונים (CC0)	L77670	זרזיף
חַבּוּרָה	4	ויקינתונים (CC0)	L65114	חבורה
חֶנְוָנִי	4	ויקינתונים (CC0)	L77870	חנוני
חַרְטוֹם	4	ויקינתונים (CC0)	L65369	חרטום
חָשׁ	4	ויקינתונים (CC0)	L211184	חש
טָמִיר	4	ויקינתונים (CC0)	L211452	טמיר
טָף	4	ויקינתונים (CC0)	L65487	טף
טַרְחָן	4	ויקינתונים (CC0)	L211544	טרחן
יְבָבָה	4	ויקינתונים (CC0)	L211607	יבבה
יִלּוֹד	4	ויקינתונים (CC0)	L211809	ילוד
יָצוּעַ	4	ויקינתונים (CC0)	L78297	יצוע
יָרֵא	4	ויקינתונים (CC0)	L211870	ירא
יְשׁוּעָה	4	ויקינתונים (CC0)	L65648	ישועה
כּוֹנֵן	4	ויקינתונים (CC0)	L211999	כונן
כִּחְכּוּחַ	4	ויקינתונים (CC0)	L212032	כחכוח
כִּיסוּפִים	4	ויקינתונים (CC0)	L65754	כיסופים
כְּלָיָה	4	ויקינתונים (CC0)	L65789	כליה
כְּמִיהָה	4	ויקינתונים (CC0)	L212146	כמיהה
כְרוֹנוֹלוֹגִי	4	ויקינתונים (CC0)	L212206	כרונולוגי
לַהַב	4	ויקינתונים (CC0)	L65896	להב
לָקָה	4	ויקינתונים (CC0)	L212501	לקה
מְבוֹאָה	4	ויקינתונים (CC0)	L212570	מבואה
מַהַתַלָה	4	ויקינתונים (CC0)	L212722	מהתלה
מְזָוֶוה	4	ויקינתונים (CC0)	L78920	מזווה
מְחִית	4	ויקינתונים (CC0)	L66167	מחית
מָחַל	4	ויקינתונים (CC0)	L213038	מחל
מַחְצָב	4	ויקינתונים (CC0)	L78985	מחצב
מַחְצָבָה	4	ויקינתונים (CC0)	L213057	מחצבה
מְטִיל	4	ויקינתונים (CC0)	L79022	מטיל
מִיכֵּן	4	ויקינתונים (CC0)	L213158	מיכן
מְכוּנָף	4	ויקינתונים (CC0)	L213300	מכונף
מִכְסָה	4	ויקינתונים (CC0)	L1369646	מכסה
מַעֲטֶה	4	ויקינתונים (CC0)	L79377	מעטה
מַצְבִּיא	4	ויקינתונים (CC0)	L213674	מצביא
מַקְרֵן	4	ויקינתונים (CC0)	L213786	מקרן
מִקְשָׁה	4	ויקינתונים (CC0)	L79527	מקשה
מַרְזֵב	4	ויקינתונים (CC0)	L66531	מרזב
מַרְשֶה	4	ויקינתונים (CC0)	L213873	מרשה
מְשׁוּבָה	4	ויקינתונים (CC0)	L79599	משובה
מָשַׁח	4	ויקינתונים (CC0)	L213915	משח
מִשְׁלַח יָד	4	ויקינתונים (CC0)	L66587	משלח יד
מִשְׁעוֹל	4	ויקינתונים (CC0)	L79633	משעול
מִשְׁתָּלָה	4	ויקינתונים (CC0)	L66605	משתלה
מִתְרָס	4	ויקינתונים (CC0)	L79685	מתרס
נְחוּשְתַּיִים	4	ויקינתונים (CC0)	L214370	נחושתיים
נִיחוֹח	4	ויקינתונים (CC0)	L79815	ניחוח
נִיתֵּץ	4	ויקינתונים (CC0)	L214624	ניתץ
נָס	4	ויקינתונים (CC0)	L214751	נס
נִפְתָּל	4	ויקינתונים (CC0)	L214894	נפתל
נִקְלֶה	4	ויקינתונים (CC0)	L214965	נקלה
סוּמָא	4	ויקינתונים (CC0)	L215259	סומא
סִיכָה	4	ויקינתונים (CC0)	L67007	סיכה
סִמְטָה	4	ויקינתונים (CC0)	L67060	סמטה
סַף	4	ויקינתונים (CC0)	L67087	סף
סִפּוּן	4	ויקינתונים (CC0)	L215736	ספון
עָכוּר	4	ויקינתונים (CC0)	L216146	עכור
עָלַץ	4	ויקינתונים (CC0)	L216170	עלץ
עִמְעוּם	4	ויקינתונים (CC0)	L216191	עמעום
עָנָיו	4	ויקינתונים (CC0)	L216207	עניו
פַּדַחַת	4	ויקינתונים (CC0)	L80664	פדחת
פִּדְיוֹן	4	ויקינתונים (CC0)	L67360	פדיון
פִּכְפּוּך	4	ויקינתונים (CC0)	L216863	פכפוך
פִּסְגָּה	4	ויקינתונים (CC0)	L67484	פסגה
פְּצִירָה	4	ויקינתונים (CC0)	L67512	פצירה
פְּרִימָה	4	ויקינתונים (CC0)	L217271	פרימה
פְּרַקְדָן	4	ויקינתונים (CC0)	L492070	פרקדן
פְּתִית	4	ויקינתונים (CC0)	L217408	פתית
צָחִיחַ	4	ויקינתונים (CC0)	L217532	צחיח
צַחֲנָה	4	ויקינתונים (CC0)	L81274	צחנה
צִיטָטָה	4	ויקינתונים (CC0)	L217557	ציטטה
צָלוּל	4	ויקינתונים (CC0)	L217613	צלול
צָפוּן	4	ויקינתונים (CC0)	L217695	צפון
קֵהֶה	4	ויקינתונים (CC0)	L217807	קהה
קָטֵגוֹר	4	ויקינתונים (CC0)	L81591	קטגור
קָמוּר	4	ויקינתונים (CC0)	L218320	קמור
קָתֶדְרָה	4	ויקינתונים (CC0)	L81863	קתדרה
רָדוּד	4	ויקינתונים (CC0)	L218673	רדוד
רִיק	4	ויקינתונים (CC0)	L218913	ריק
רִקֵּעַ	4	ויקינתונים (CC0)	L219138	רקע
רָתַח	4	ויקינתונים (CC0)	L219163	רתח
שְׁבִיתַת נֶשֶׁק	4	ויקינתונים (CC0)	L68215	שביתת נשק
שְׂדֵרָה	4	ויקינתונים (CC0)	L68238	שדרה
שַׁלְשֶׁלֶת	4	ויקינתונים (CC0)	L219704	שלשלת
שָׁרָב	4	ויקינתונים (CC0)	L68497	שרב
שְׁרַפְרַף	4	ויקינתונים (CC0)	L68511	שרפרף
תּוֹרֶן	4	ויקינתונים (CC0)	L220075	תורן
תֵּל	4	ויקינתונים (CC0)	L68653	תל
תָּמַהּ	4	ויקינתונים (CC0)	L220262	תמה
תַּסְכִּית	4	ויקינתונים (CC0)	L68690	תסכית
תָּעַה	4	ויקינתונים (CC0)	L220324	תעה
תַּרְעוֹמֶת	4	ויקינתונים (CC0)	L220445	תרעומת
תְּשׁוּקָה	4	ויקינתונים (CC0)	L68764	תשוקה
אֵבוּס	5	ויקינתונים (CC0)	L204495	אבוס
אֶבֶן בּוֹחַן	5	ויקינתונים (CC0)	L1352733	אבן בוחן
אוּרְבָּנִי	5	ויקינתונים (CC0)	L204572	אורבני
אֵיד	5	ויקינתונים (CC0)	L75288	איד
אִיפּוּל	5	ויקינתונים (CC0)	L204861	איפול
אֲלוּנְטִית	5	ויקינתונים (CC0)	L75448	אלונטית
אִלְפָּס	5	ויקינתונים (CC0)	L75483	אלפס
אָמָה	5	ויקינתונים (CC0)	L63984	אמה
אֶמְפִּירִי	5	ויקינתונים (CC0)	L205023	אמפירי
אִמְרָה	5	ויקינתונים (CC0)	L75575	אמרה
אַסְדָּה	5	ויקינתונים (CC0)	L75779	אסדה
אַסְקופָּה	5	ויקינתונים (CC0)	L75839	אסקופה
אַרְכּוֹף	5	ויקינתונים (CC0)	L76044	ארכוף
אַרְכָנִי	5	ויקינתונים (CC0)	L491846	ארכני
אַשְׁמוֹרֶת	5	ויקינתונים (CC0)	L64137	אשמורת
אָתֵאִיסְט	5	ויקינתונים (CC0)	L205447	אתאיסט
בָּזִיךְ	5	ויקינתונים (CC0)	L76210	בזיך
בֵּית עֲבוֹט	5	ויקינתונים (CC0)	L64275	בית עבוט
בְּלִיל	5	ויקינתונים (CC0)	L205848	בליל
בְּעָלְמָא	5	ויקינתונים (CC0)	L492009	בעלמא
בְּעָתָה	5	ויקינתונים (CC0)	L76391	בעתה
גֶזֶם	5	ויקינתונים (CC0)	L206157	גזם
גֶּפֶת	5	ויקינתונים (CC0)	L76745	גפת
גֶּרֶם	5	ויקינתונים (CC0)	L206378	גרם
דַּעְתָּן	5	ויקינתונים (CC0)	L206711	דעתן
דָּרְבָּן	5	ויקינתונים (CC0)	L206752	דרבן
הֶאֱבִיס	5	ויקינתונים (CC0)	L206796	האביס
הֶאֱנִישׁ	5	ויקינתונים (CC0)	L206822	האניש
הֶדוֹנִיזְם	5	ויקינתונים (CC0)	L64792	הדוניזם
הִזָּה	5	ויקינתונים (CC0)	L207556	הזה
הִידֵס	5	ויקינתונים (CC0)	L207776	הידס
הִיפּוֹתֶטִי	5	ויקינתונים (CC0)	L207988	היפותטי
הֵלִיט	5	ויקינתונים (CC0)	L208177	הליט
הֲלָנַת שָׂכָר	5	ויקינתונים (CC0)	L77351	הלנת שכר
הִפְטִיר	5	ויקינתונים (CC0)	L208521	הפטיר
הִפְרִיט	5	ויקינתונים (CC0)	L208575	הפריט
הִקְדִּיחַ	5	ויקינתונים (CC0)	L208702	הקדיח
וָאדִי	5	ויקינתונים (CC0)	L210252	ואדי
ווּלְגָרִי	5	ויקינתונים (CC0)	L210259	וולגרי
זוֹג	5	ויקינתונים (CC0)	L65034	זוג
חֵלֶב	5	ויקינתונים (CC0)	L210917	חלב
חָלַט	5	ויקינתונים (CC0)	L210940	חלט
חֵמָה	5	ויקינתונים (CC0)	L65298	חמה
חָנוּט	5	ויקינתונים (CC0)	L211025	חנוט
חֲנִיטָה	5	ויקינתונים (CC0)	L211033	חניטה
חֻרְשָף	5	ויקינתונים (CC0)	L65380	חרשף
טְרוּנְיָה	5	ויקינתונים (CC0)	L211532	טרוניה
יָגוֹן	5	ויקינתונים (CC0)	L65523	יגון
יוֹבֵל	5	ויקינתונים (CC0)	L65543	יובל
יוֹגֵב	5	ויקינתונים (CC0)	L78223	יוגב
כָּאוֹטי	5	ויקינתונים (CC0)	L211929	כאוטי
כָּאוֹס	5	ויקינתונים (CC0)	L78332	כאוס
כְּבוּדָּה	5	ויקינתונים (CC0)	L211934	כבודה
כּוֹרֵם	5	ויקינתונים (CC0)	L78388	כורם
כּוֹתֶרֶת	5	ויקינתונים (CC0)	L212025	כותרת
כִּישוֹר	5	ויקינתונים (CC0)	L212097	כישור
כָּפִיס	5	ויקינתונים (CC0)	L78482	כפיס
לַבְלָר	5	ויקינתונים (CC0)	L78561	לבלר
לוֹיָאלִי	5	ויקינתונים (CC0)	L212334	לויאלי
לָטֶנְטי	5	ויקינתונים (CC0)	L212396	לטנטי
מַבּוּעַ	5	ויקינתונים (CC0)	L212576	מבוע
מוֹנוֹגַמְיָה	5	ויקינתונים (CC0)	L212844	מונוגמיה
מוֹנוֹתֵאִיזְם	5	ויקינתונים (CC0)	L66106	מונותאיזם
מַזְלֵף	5	ויקינתונים (CC0)	L212989	מזלף
מָלַק	5	ויקינתונים (CC0)	L213390	מלק
מַסָּד	5	ויקינתונים (CC0)	L213499	מסד
מַקְצוּעָה	5	ויקינתונים (CC0)	L66512	מקצועה
מַרְחֶשֶׁת	5	ויקינתונים (CC0)	L79538	מרחשת
מַרְצֵע	5	ויקינתונים (CC0)	L79560	מרצע
מַשְׂכִּית	5	ויקינתונים (CC0)	L79621	משכית
נְאָקָה	5	ויקינתונים (CC0)	L66676	נאקה
סַדָן	5	ויקינתונים (CC0)	L66933	סדן
עָטָה	5	ויקינתונים (CC0)	L216028	עטה
עָיִר	5	ויקינתונים (CC0)	L67229	עיר
עָרַג	5	ויקינתונים (CC0)	L216306	ערג
עֲרִירִי	5	ויקינתונים (CC0)	L216326	ערירי
פַּרְגּוֹל	5	ויקינתונים (CC0)	L81058	פרגול
פְּרֶמְיֵירָה	5	ויקינתונים (CC0)	L217307	פרמיירה
צִיקְלוֹן	5	ויקינתונים (CC0)	L67670	ציקלון
צָפִיר	5	ויקינתונים (CC0)	L81377	צפיר
קֻבַּעַת	5	ויקינתונים (CC0)	L81426	קבעת
קוֹהֶרֶנְטִי	5	ויקינתונים (CC0)	L217835	קוהרנטי
קוֹקֵטִי	5	ויקינתונים (CC0)	L218026	קוקטי
קוֹרֶקְטִי	5	ויקינתונים (CC0)	L218050	קורקטי
קִלְטֵר	5	ויקינתונים (CC0)	L218254	קלטר
קֶרֶת	5	ויקינתונים (CC0)	L67995	קרת
קַרְתָּנִי	5	ויקינתונים (CC0)	L218557	קרתני
שִׁבֹּלֶת	5	ויקינתונים (CC0)	L68219	שבלת
שָׁדוּד	5	ויקינתונים (CC0)	L219242	שדוד
שָׂטַם	5	ויקינתונים (CC0)	L219444	שטם
שַׁפִּיר	5	ויקינתונים (CC0)	L219802	שפיר
שָׁפַת	5	ויקינתונים (CC0)	L219816	שפת
תּוּגָה	5	ויקינתונים (CC0)	L68565	תוגה
תּוֹפֶת	5	ויקינתונים (CC0)	L82559	תופת
תַּרְוָוד	5	ויקינתונים (CC0)	L220428	תרווד
אֶבֶן דֶּרֶךְ	6	ויקינתונים (CC0)	L74961	אבן דרך
אַדֶּרֶת	6	ויקינתונים (CC0)	L63718	אדרת
אוּד	6	ויקינתונים (CC0)	L63729	אוד
אוֹפּוֹרְטוּנִיזְם	6	ויקינתונים (CC0)	L75167	אופורטוניזם
אִלְחוּשׁ	6	ויקינתונים (CC0)	L75451	אלחוש
אַרְכָאִי	6	ויקינתונים (CC0)	L205399	ארכאי
אַרְכִיפֶּלָג	6	ויקינתונים (CC0)	L64117	ארכיפלג
אֶשְׁנָב	6	ויקינתונים (CC0)	L64139	אשנב
בּוּסְתָן	6	ויקינתונים (CC0)	L76380	בוסתן
בַּחֲרוּת	6	ויקינתונים (CC0)	L205677	בחרות
בֵּין הַשְׁמָשוֹת	6	ויקינתונים (CC0)	L76275	בין השמשות
בְּשׂוֹרָה	6	ויקינתונים (CC0)	L76477	בשורה
גֶּבֶר	6	ויקינתונים (CC0)	L206038	גבר
גּוּזְמָה	6	ויקינתונים (CC0)	L206085	גוזמה
גּוּשְׁפַּנְקָה	6	ויקינתונים (CC0)	L64478	גושפנקה
גָּזַר	6	ויקינתונים (CC0)	L206160	גזר
דֹּכִי	6	ויקינתונים (CC0)	L77040	דכי
דִּיאָלוֹג	6	ויקינתונים (CC0)	L76958	דיאלוג
דְּיוֹטָה	6	ויקינתונים (CC0)	L76983	דיוטה
דיוֹתָה	6	ויקינתונים (CC0)	L64687	דיותה
דַלְפוֹן	6	ויקינתונים (CC0)	L77051	דלפון
הִבְרִיחַ	6	ויקינתונים (CC0)	L206891	הבריח
הִגִיר	6	ויקינתונים (CC0)	L206929	הגיר
הוֹקִיעַ	6	ויקינתונים (CC0)	L207394	הוקיע
הֵזֵם	6	ויקינתונים (CC0)	L207578	הזם
הֵנֵץ	6	ויקינתונים (CC0)	L208296	הנץ
הִתְבַּשֵּׂם	6	ויקינתונים (CC0)	L209366	התבשם
הִתְפַּקֵּר	6	ויקינתונים (CC0)	L210058	התפקר
זַג	6	ויקינתונים (CC0)	L77593	זג
חָוָוק	6	ויקינתונים (CC0)	L210636	חווק
חִילָּה	6	ויקינתונים (CC0)	L210832	חילה
חִישוּר	6	ויקינתונים (CC0)	L210898	חישור
חָרֵד	6	ויקינתונים (CC0)	L211129	חרד
חֶרְמֵשׁ	6	ויקינתונים (CC0)	L65373	חרמש
טַס	6	ויקינתונים (CC0)	L211474	טס
טַפְסָן	6	ויקינתונים (CC0)	L211497	טפסן
טַפְסָר	6	ויקינתונים (CC0)	L78124	טפסר
טָרַף	6	ויקינתונים (CC0)	L211593	טרף
יָגוֹר	6	ויקינתונים (CC0)	L220470	יגור
יִצְהָר	6	ויקינתונים (CC0)	L78295	יצהר
כְּבָרָה	6	ויקינתונים (CC0)	L78342	כברה
כִּיוּל	6	ויקינתונים (CC0)	L212047	כיול
לוֹקָלִי	6	ויקינתונים (CC0)	L212357	לוקלי
מָאוֹר	6	ויקינתונים (CC0)	L65992	מאור
מַגְלֵב	6	ויקינתונים (CC0)	L78770	מגלב
מוֹנוֹלוֹג	6	ויקינתונים (CC0)	L78877	מונולוג
מוֹץ	6	ויקינתונים (CC0)	L212913	מוץ
מָט	6	ויקינתונים (CC0)	L492268	מט
מַכְלֵב	6	ויקינתונים (CC0)	L66276	מכלב
מֶלוֹדִי	6	ויקינתונים (CC0)	L213339	מלודי
מְלִיצָה	6	ויקינתונים (CC0)	L79207	מליצה
מַמְגוּרָה	6	ויקינתונים (CC0)	L79219	ממגורה
מְסוּקָס	6	ויקינתונים (CC0)	L213518	מסוקס
מִסְרוֹן	6	ויקינתונים (CC0)	L66396	מסרון
מְעוּשֶׂה	6	ויקינתונים (CC0)	L213591	מעושה
מָרִית	6	ויקינתונים (CC0)	L66537	מרית
מַשְכּוּכִית	6	ויקינתונים (CC0)	L79620	משכוכית
נָבוּב	6	ויקינתונים (CC0)	L214080	נבוב
נָפִיל	6	ויקינתונים (CC0)	L66870	נפיל
נִצְרָך	6	ויקינתונים (CC0)	L220573	נצרך
סְגַלְגַל	6	ויקינתונים (CC0)	L215164	סגלגל
סָר	6	ויקינתונים (CC0)	L215831	סר
עִידִּית	6	ויקינתונים (CC0)	L216051	עידית
עַפְרָה	6	ויקינתונים (CC0)	L67290	עפרה
עִקֵּר	6	ויקינתונים (CC0)	L216291	עקר
פּוֹלִיגַמְיָה	6	ויקינתונים (CC0)	L67372	פוליגמיה
פַרְהֶסְיָה	6	ויקינתונים (CC0)	L67537	פרהסיה
פְּרַקְלִיט	6	ויקינתונים (CC0)	L67571	פרקליט
צִינָּה	6	ויקינתונים (CC0)	L217583	צינה
צִלְצָל	6	ויקינתונים (CC0)	L217634	צלצל
קְדִימוֹן	6	ויקינתונים (CC0)	L81434	קדימון
קוּרְנָס	6	ויקינתונים (CC0)	L81574	קורנס
קִיתוֹן	6	ויקינתונים (CC0)	L81636	קיתון
קָץ	6	ויקינתונים (CC0)	L218418	קץ
קִרְקֵעַ	6	ויקינתונים (CC0)	L218548	קרקע
רֵחַיִים	6	ויקינתונים (CC0)	L218815	רחיים
שְבִיב	6	ויקינתונים (CC0)	L219205	שביב
שָׁדוּף	6	ויקינתונים (CC0)	L219249	שדוף
שׁוּר	6	ויקינתונים (CC0)	L68279	שור
שִׂיחוֹן	6	ויקינתונים (CC0)	L219500	שיחון
שְׂרָרָה	6	ויקינתונים (CC0)	L219895	שררה
תּוּפִין	6	ויקינתונים (CC0)	L82439	תופין
תְּזָזִית	6	ויקינתונים (CC0)	L220090	תזזית
אֶבְיוֹן	7	ויקינתונים (CC0)	L204333	אביון
אִבֵּק	7	ויקינתונים (CC0)	L63646	אבק
אוּרִים וְתֻמִּים	7	ויקינתונים (CC0)	L75224	אורים ותמים
אֶזוֹטֶרִי	7	ויקינתונים (CC0)	L204619	אזוטרי
אִינְטֶגְרָלִי	7	ויקינתונים (CC0)	L204816	אינטגרלי
אֶפִּילוֹג	7	ויקינתונים (CC0)	L75881	אפילוג
אִצְטְלָה	7	ויקינתונים (CC0)	L75926	אצטלה
אִשְׁרוּר	7	ויקינתונים (CC0)	L205444	אשרור
אֶתְנָן	7	ויקינתונים (CC0)	L205465	אתנן
בְּדוּתָה	7	ויקינתונים (CC0)	L76152	בדותה
בּוּלְמוּס	7	ויקינתונים (CC0)	L205584	בולמוס
בִּיגַמְיָה	7	ויקינתונים (CC0)	L205704	ביגמיה
בָּלוּם	7	ויקינתונים (CC0)	L205835	בלום
בַּרְדָס	7	ויקינתונים (CC0)	L205931	ברדס
גָחוֹן	7	ויקינתונים (CC0)	L206161	גחון
גִילְדָה	7	ויקינתונים (CC0)	L76620	גילדה
דְּבוּקָּה	7	ויקינתונים (CC0)	L206420	דבוקה
דְּבֵלָה	7	ויקינתונים (CC0)	L76841	דבלה
דָּגָן	7	ויקינתונים (CC0)	L64636	דגן
דוּאָלִי	7	ויקינתונים (CC0)	L206464	דואלי
דּוֹרוֹן	7	ויקינתונים (CC0)	L64669	דורון
דָּלוּחַ	7	ויקינתונים (CC0)	L206673	דלוח
דִּמְדּוּמִים	7	ויקינתונים (CC0)	L77062	דמדומים
דֹּפִי	7	ויקינתונים (CC0)	L77089	דפי
דַפְתָר	7	ויקינתונים (CC0)	L77095	דפתר
דַרְגָש	7	ויקינתונים (CC0)	L77120	דרגש
הָבִיל	7	ויקינתונים (CC0)	L206860	הביל
הִבְלִיעַ	7	ויקינתונים (CC0)	L206874	הבליע
הָגִיג	7	ויקינתונים (CC0)	L206922	הגיג
הִגִּיהַּ	7	ויקינתונים (CC0)	L491578	הגיה
הִגְלִיד	7	ויקינתונים (CC0)	L206933	הגליד
הִדִּיר	7	ויקינתונים (CC0)	L206979	הדיר
הַזָחָה	7	ויקינתונים (CC0)	L77237	הזחה
הֵזִיחַ	7	ויקינתונים (CC0)	L207566	הזיח
הִילֵּךְ	7	ויקינתונים (CC0)	L207875	הילך
הֶעֱתִיק	7	ויקינתונים (CC0)	L208503	העתיק
הֶקְהִיל	7	ויקינתונים (CC0)	L208794	הקהיל
הֶרֶף	7	ויקינתונים (CC0)	L208932	הרף
זָב	7	ויקינתונים (CC0)	L210335	זב
זֶבֶד	7	ויקינתונים (CC0)	L77585	זבד
זוֹט	7	ויקינתונים (CC0)	L77617	זוט
זוּטָא	7	ויקינתונים (CC0)	L491978	זוטא
זוּטוֹת	7	ויקינתונים (CC0)	L210377	זוטות
זוּלָת	7	ויקינתונים (CC0)	L65043	זולת
חֵבֶל	7	ויקינתונים (CC0)	L1551213	חָבַל
חָג	7	ויקינתונים (CC0)	L65112	חג'
חוֹזֵר	7	ויקינתונים (CC0)	L210639	חוזר
חֲטָף	7	ויקינתונים (CC0)	L210757	חטף
חִיגֵּר	7	ויקינתונים (CC0)	L210769	חיגר
חֲכִירָה	7	ויקינתונים (CC0)	L210909	חכירה
חָרֵב	7	ויקינתונים (CC0)	L211124	חרב
חָרָבָה	7	ויקינתונים (CC0)	L77930	חרבה
יוֹרֶה	7	ויקינתונים (CC0)	L65571	יורה
יַנוּקָא	7	ויקינתונים (CC0)	L78280	ינוקא
יַעֲרָה	7	ויקינתונים (CC0)	L211832	יערה
כְּסִיל	7	ויקינתונים (CC0)	L212162	כסיל
כְּפִיר	7	ויקינתונים (CC0)	L65823	כפיר
כָּפַן	7	ויקינתונים (CC0)	L710821	כפן
כָּפַת	7	ויקינתונים (CC0)	L212195	כפת
לַאֲשוּרוֹ	7	ויקינתונים (CC0)	L492030	לאשורו
לָבִיא	7	ויקינתונים (CC0)	L65888	לביא
מַאְפֵּלְיָה	7	ויקינתונים (CC0)	L78734	מאפליה
מִבְדוֹק	7	ויקינתונים (CC0)	L78738	מבדוק
מָגוֹר	7	ויקינתונים (CC0)	L78766	מגור
מוּבָאָה	7	ויקינתונים (CC0)	L212730	מובאה
מוֹרַג	7	ויקינתונים (CC0)	L78902	מורג
מָזוֹר	7	ויקינתונים (CC0)	L212964	מז'ור
מִזְקָקָה	7	ויקינתונים (CC0)	L212995	מזקקה
מַחְבּוֹש	7	ויקינתונים (CC0)	L78946	מחבוש
מֵלִיץ	7	ויקינתונים (CC0)	L66309	מליץ
מַנְפֵּטָה	7	ויקינתונים (CC0)	L79298	מנפטה
מְסוֹאָב	7	ויקינתונים (CC0)	L213501	מסואב
מִסּוּך	7	ויקינתונים (CC0)	L213509	מסוך
מָסַךְ	7	ויקינתונים (CC0)	L213541	מסך
מַפְסֶלֶת	7	ויקינתונים (CC0)	L79419	מפסלת
מַרְזֵחַ	7	ויקינתונים (CC0)	L213828	מרזח
מִשְׂגָּב	7	ויקינתונים (CC0)	L213884	משגב
מַשְׂטֵמָה	7	ויקינתונים (CC0)	L213921	משטמה
נֹאד	7	ויקינתונים (CC0)	L79686	נאד
נָאוֹר	7	ויקינתונים (CC0)	L214041	נאור
נֶאֱלָם	7	ויקינתונים (CC0)	L214053	נאלם
נְאָצָה	7	ויקינתונים (CC0)	L214065	נאצה
נֶבֶט	7	ויקינתונים (CC0)	L1320631	נבט
נִבְעָר	7	ויקינתונים (CC0)	L214112	נבער
נָבַר	7	ויקינתונים (CC0)	L214115	נבר
נִגַר	7	ויקינתונים (CC0)	L66692	נגר
נָהָה	7	ויקינתונים (CC0)	L214197	נהה
נוֹאָל	7	ויקינתונים (CC0)	L214216	נואל
נוֹקֵד	7	ויקינתונים (CC0)	L214300	נוקד
נוֹשֶה	7	ויקינתונים (CC0)	L66727	נושה
נְחִירָה	7	ויקינתונים (CC0)	L79783	נחירה
נִיר	7	ויקינתונים (CC0)	L79842	ניר
נַכְלוּלִי	7	ויקינתונים (CC0)	L214642	נכלולי
נָפָה	7	ויקינתונים (CC0)	L66865	נפה
נֵצֶר	7	ויקינתונים (CC0)	L220572	נצר
נָשִׂיא	7	ויקינתונים (CC0)	L215054	נשיא
נֶשֶׁךְ	7	ויקינתונים (CC0)	L215062	נשך
סַד	7	ויקינתונים (CC0)	L215176	סד
סַהַר	7	ויקינתונים (CC0)	L79991	סהר
סְחִי	7	ויקינתונים (CC0)	L80055	סחי
סֵיפָא	7	ויקינתונים (CC0)	L80179	סיפא
סְפּוֹרָדי	7	ויקינתונים (CC0)	L215741	ספורדי
סְפָר	7	ויקינתונים (CC0)	L215776	ספר
סְתַגְּלָן	7	ויקינתונים (CC0)	L215862	סתגלן
עָב	7	ויקינתונים (CC0)	L80454	עב
עֲזוּבָה	7	ויקינתונים (CC0)	L216022	עזובה
עֲלוּמִים	7	ויקינתונים (CC0)	L216159	עלומים
עֲלָטָה	7	ויקינתונים (CC0)	L80531	עלטה
פּוּלְמוּס	7	ויקינתונים (CC0)	L80719	פולמוס
פּוּר	7	ויקינתונים (CC0)	L67380	פור
פִּילֵּל	7	ויקינתונים (CC0)	L216770	פילל
פִּיסֵח	7	ויקינתונים (CC0)	L216794	פיסח
פַּרְגּוֹד	7	ויקינתונים (CC0)	L217139	פרגוד
פְּרוֹלוֹג	7	ויקינתונים (CC0)	L81087	פרולוג
צְבִיר	7	ויקינתונים (CC0)	L217458	צביר
צַדְקָנוּת	7	ויקינתונים (CC0)	L81238	צדקנות
צָמִיג	7	ויקינתונים (CC0)	L217644	צמיג
צִקְצוּק	7	ויקינתונים (CC0)	L217719	צקצוק
צָרוּף	7	ויקינתונים (CC0)	L217728	צרוף
צָרַר	7	ויקינתונים (CC0)	L217751	צרר
קוֹבַע	7	ויקינתונים (CC0)	L217825	קובע
קוֹלָן	7	ויקינתונים (CC0)	L67797	קולן
קִטְרֶג	7	ויקינתונים (CC0)	L218106	קטרג
קִיקְיוֹנִי	7	ויקינתונים (CC0)	L218208	קיקיוני
קָלוֹן	7	ויקינתונים (CC0)	L81644	קלון
