מילה	יחידה בישן	מקור ההוכחה	רפרנס	הערה
קָטוּם	9	ויקינתונים (CC0)	L218069	קטום
שֶׁנֶץ	9	נחלת הכלל / CC0 (לפי ספריא)	Sefer HeArukh, Letter Shin 300 (Sefer HeArukh, Lublin 1883 [he])	
שָׂרָף	9	ויקינתונים (CC0)	L219890	שרף
אוֹמְנִיפּוֹטֶנְטִי	10	ויקינתונים (CC0)	L204503	אומניפוטנטי
אָזַר עֹז / כֹּחַ / אֹמֶץ	10	ויקינתונים (CC0)	L65701	⛔ דרוש מקור — כוח · ⚠ הלקסמה מוכיחה את המילה «כוח» בלבד — לא את הצירוף «אזר עוז» כניב. נבדק מול המטמון המקומי (29.8.2026); לא נמצאה חלופה ברשימת המקורות המותרים בלי פנייה ל-API חיצוני — לא מוכח
אֲסוּפָה	10	ויקינתונים (CC0)	L205142	אסופה
בְּחִישָׁה	10	ויקינתונים (CC0)	L205673	בחישה
בִּכּוּרִים	10	ויקינתונים (CC0)	L76331	בכורים
בִּמְבֵּם	10	ויקיטקסט · נחלת הכלל	בחורף/א · יוסף חיים ברנר	הצורה "מבמבם" בטקסט: «והוא אוחז בכתף כולם, "מבמבם" לא בקולו». ברנר נפטר 1921
גְּלָלִים	10	נחלת הכלל / CC0 (לפי ספריא)	Gilyon HaShas on Shabbat 58a:1	
דָּא עָקָא	10	⚠ דרוש מקור	Hegyonot El Ami, Volume I, Rosh Hashanah 18:21 (Antwerp, 1933-1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Antwerp, 1933-1936 · הטענה הקודמת: ספריא · נחלת הכלל / Hegyonot El Ami, Volume I, Rosh Hashanah 18:21 (Antwerp, 1933-1936 [he])
הֶגְמוֹנְיָה	10	ויקינתונים (CC0)	L64785	הגמוניה
הִכְפִּיף	10	ויקינתונים (CC0)	L208132	הכפיף
הַלְמוּת	10	ויקינתונים (CC0)	L208183	הלמות
הִנְפִּיק	10	ויקינתונים (CC0)	L208293	הנפיק
הִתְבַּדְּרוּת	10	ויקינתונים (CC0)	L209308	התבדרות
הִתְלַהֵם	10	ויקינתונים (CC0)	L209682	התלהם
הִתְנוֹפֵף	10	ויקינתונים (CC0)	L209827	התנופף
זִבְדָה	10	נחלת הכלל / CC0 (לפי ספריא)	Siddur Sefard, Purim, Krovetz L'Purim 23 (Torat Emet 357 [he])	
זְמָם	10	ויקינתונים (CC0)	L210475	זמם
חָרוּל	10	ויקינתונים (CC0)	L77935	חרול
יְהָב	10	ויקינתונים (CC0)	L65532	יהב
כִּמֵּת	10	ויקינתונים (CC0)	L65798	כמת
לְמֵישָׁרִין	10	ויקיטקסט · נחלת הכלל (טקסט מקורי)	חבל נחלתו ז לג	שאילתה: למישרין
מִזְכָּר	10	ויקינתונים (CC0)	L212987	מזכר
מִסְדָּר	10	ויקינתונים (CC0)	L213500	מסדר
נִפְרַע	10	ויקינתונים (CC0)	L214885	נפרע
נִצַּחַת	10	נחלת הכלל / CC0 (לפי ספריא)	Jastrow, נִצַּחַת	
סָר מֵרַע	10	נחלת הכלל / CC0 (לפי ספריא)	The Wisdom of Solomon 4:12	
פְּעָמָיו	10	כתב־יד לנינגרד — נחלת הכלל	Psalms 85:14	הצורה המדויקת בפסוק: «וְיָשֵׂם לְדֶרֶךְ פְּעָמָיו» · גם משלי כט,ה · 389 מופעים בספריא · הוחלף שם הנוסח: מהדורת ספריא הדיגיטלית שצוטטה קודם נמצאה רישיון שיתוף-זהה בבדיקת מקבילות (משלי ח,ב · משלי יג,יב · מלכים ב יב,יג) · ⚠ הוחלפה הפניה שגויה ללקסמה L217076 (שם התואר «פעמי»), שנוצרה מהסרת ו׳ סופית שהיא כינוי קניין ולא אם קריאה
פְּרִישוּת	10	ויקינתונים (CC0)	L217292	פרישות
פָּרַף	10	ויקינתונים (CC0)	L217344	פרף
צֶדַע / צְדָעַיִם / צְדָעוֹת	10	ויקינתונים (CC0)	L81237	צדע
צְנִיפָה	10	נחלת הכלל / CC0 (לפי ספריא)	Ralbag Beur HaMilot on Torah, Exodus 28:4:3	
קַל תְּפִיסָה	10	נחלת הכלל / CC0 (לפי ספריא)	Shoel uMeshiv Mahadura II 1:80:4 (Lemberg, 1865-1890 [he])	שאילתה: קל תפיסה
רִפְרֵף	10	ויקינתונים (CC0)	L219077	רפרף
שִׁפּוּל	10	ספריא · Vilna Edition (Public Domain)	Rashi on Yoma 73a:7:2	הצורה בטקסט: «מלמטה - שיפולי בגדיו:» · ⚠ הוחלפה הפניה שגויה L219805
שָׁת	10	ויקינתונים (CC0)	L68520	שת
