k	unit	term	gloss	bold	en	he
57e596a4d70c	4	cast	להשליך, לגרש; צוות שחקנים	השליך	The fisherman <b>cast</b> his net far into the ocean water.	הדייג <b>השליך</b> את הרשת שלו רחוק אל תוך מי האוקיינוס.
9ad727b98702	4	casual	אגבי, רגיל, יומיומי	יומיומיים	He wore <b>casual</b> clothes like jeans and a t-shirt to work.	הוא לבש בגדים <b>יומיומיים</b> כמו ג'ינס וחולצת טי לעבודה.
767f5c88a898	4	caviar	קוויאר	הקוויאר	The expensive <b>caviar</b> cost more than a week of groceries.	<b>הקוויאר</b> היקר עלה יותר משבוע של קניות מזון.
6539c5a3978a	4	century	מאה שנים	ממאה	That castle was built more than a <b>century</b> ago.	הטירה ההיא נבנתה לפני יותר <b>ממאה</b> שנה.
7b5a37bb2be7	4	charge	לגבות; להאשים; להסתער; לחייב	גבה	The doctor <b>charged</b> five hundred dollars for the surgery.	הרופא <b>גבה</b> חמש מאות דולר עבור הניתוח.
bf898ebe29b6	4	chief	ראשי, בכיר, מנהיג; צ'יף	ראש	The <b>chief</b> decided to move the tribe to better hunting grounds.	<b>ראש</b> השבט החליט להעביר את השבט לשטחי ציד טובים יותר.
2132573a6bd1	4	claim	טענה, טוען; תביעה	טען	He <b>claimed</b> he was innocent despite the evidence against him.	הוא <b>טען</b> שהוא חף מפשע למרות הראיות נגדו.
9801b06f6a96	4	class	מעמד; סוג; כיתה	למעמד	The wealthy family belonged to the upper <b>class</b> of their society.	המשפחה העשירה השתייכה <b>למעמד</b> העליון בחברה שלה.
e6552436c4af	4	clever	פיקח	הפיקח	The <b>clever</b> fox outsmarted the hunter and escaped the trap.	השועל <b>הפיקח</b> הערים על הצייד וברח מהמלכודת.
8750e42875a1	4	coast	חוף	בחוף	The rocky <b>coast</b> had huge waves crashing against the cliffs.	<b>בחוף</b> הסלעי היו גלים ענקיים שהתנפצו על הצוקים.
6c78dcb821dc	4	cognitive	קוגניטיבי, הכרתי	הקוגניטיביים	Solving puzzles and reading books can improve a child's <b>cognitive</b> skills.	פתרון חידות וקריאת ספרים יכולים לשפר את הכישורים <b>הקוגניטיביים</b> של ילד.
e13710b408f2	4	common	נפוץ, משותף	נפוצות	Blue eyes are <b>common</b> among people from northern European countries.	עיניים כחולות <b>נפוצות</b> בקרב אנשים ממדינות צפון אירופה.
fe91a06acdb3	4	compete	להתחרות, להתמודד	מתחרים	Many athletes <b>compete</b> to win the top prize at the national championship.	ספורטאים רבים <b>מתחרים</b> כדי לזכות בפרס הראשון באליפות הלאומית.
c74e37cf99b3	4	conference	ועידה	בוועידה	Business leaders attended the <b>conference</b> to discuss global economic issues.	מנהיגים עסקיים השתתפו <b>בוועידה</b> כדי לדון בנושאים כלכליים עולמיים.
e42834153b1f	4	confuse	לבלבל	בלבלו	His unclear explanations <b>confused</b> most of the students in the class.	ההסברים הלא ברורים שלו <b>בלבלו</b> את רוב התלמידים בכיתה.
14e0f02b1f64	4	consider	לקחת בחשבון, לשקול	שתשקול	You should <b>consider</b> his offer before making your final decision.	כדאי <b>שתשקול</b> את ההצעה שלו לפני שתקבל את ההחלטה הסופית שלך.
17ed0a9ae420	4	context	הקשר	ההקשר	The <b>context</b> of the sentence helped me understand the difficult word.	<b>ההקשר</b> של המשפט עזר לי להבין את המילה הקשה.
95b2d855acb0	4	contrast	ניגוד; להוות ניגוד	בניגוד	The white paint was in stark <b>contrast</b> to the dark walls.	הצבע הלבן היה <b>בניגוד</b> חד לקירות הכהים.
0b826813ba16	4	coordinator	מתאם	המתאם	The <b>coordinator</b> organized the event and made sure everything worked.	<b>המתאם</b> ארגן את האירוע ווידא שהכול פועל כשורה.
d90d0f47c42b	4	cosmopolitan	קוסמופוליטי, רב-תרבותי, בעל אופי בין-לאומי	קוסמופוליטית	New York is a <b>cosmopolitan</b> city with people from many countries.	ניו יורק היא עיר <b>קוסמופוליטית</b> עם אנשים ממדינות רבות.
4b0295c7580c	4	course	מנה; קורס; מסלול	מנות	The dinner had three <b>courses</b>: soup, fish, and dessert.	בארוחת הערב היו שלוש <b>מנות</b>: מרק, דג וקינוח.
857c9fe93fda	4	creator	יוצר	היוצר	The <b>creator</b> of the video game became very rich and famous.	<b>היוצר</b> של משחק הווידאו הפך לעשיר ומפורסם מאוד.
6659c0bdd0c8	4	curse	קללה, לקלל	שהקללה	The old man's <b>curse</b> was said to bring bad luck forever.	נאמר <b>שהקללה</b> של הזקן מביאה מזל רע לנצח.
a255ff95622d	4	customize	להתאים באופן אישי	התאים אישית	He <b>customized</b> his bike by painting it blue and adding new handlebars.	הוא <b>התאים אישית</b> את האופניים שלו כשצבע אותם בכחול והוסיף כידון חדש.
f30958f9df9d	4	dare	להעיז, תעוזה; אתגר	מאתגר	I <b>dare</b> you to eat five hot peppers without water.	אני <b>מאתגר</b> אותך לאכול חמישה פלפלים חריפים בלי מים.
68d686576ec9	4	decorative	קישוטי, דקורטיבי	הקישוטית	The <b>decorative</b> frame made the simple picture look more elegant.	המסגרת <b>הקישוטית</b> גרמה לתמונה הפשוטה להיראות אלגנטית יותר.
c71f1a7b8391	4	deliver	למסור, לספק; לשאת (נאום); ליילד	ימסור	The courier will <b>deliver</b> your package by noon tomorrow.	השליח <b>ימסור</b> לך את החבילה עד הצהריים מחר.
b3e2dce0794f	4	dimension	ממד, מימד; היבט	המימד	Time is often called the fourth <b>dimension</b> in physics.	הזמן מכונה לעיתים קרובות <b>המימד</b> הרביעי בפיזיקה.
7560af377cbf	4	divide	לחלק	חילקה	She <b>divided</b> the pizza into four equal pieces for everyone.	היא <b>חילקה</b> את הפיצה לארבעה חלקים שווים לכולם.
0f41fbfac375	4	divorce	גירושין	להתגרש	The couple decided to <b>divorce</b> after ten years of unhappiness.	הזוג החליט <b>להתגרש</b> אחרי עשר שנים של אומללות.
38cbc22207f7	4	dominate	לשלוט	שלטה	The winning team <b>dominated</b> every game throughout the season.	הקבוצה המנצחת <b>שלטה</b> בכל משחק במהלך העונה.
ec8c664fcbe6	4	donate	לתרום	תרמו	Please <b>donate</b> your old clothes to charity instead of trash.	אנא <b>תרמו</b> את הבגדים הישנים שלכם לצדקה במקום לזרוק אותם.
416def30768b	4	duty	תפקיד, חובה	חובתך	It is your <b>duty</b> to help people when they are struggling.	זו <b>חובתך</b> לעזור לאנשים כשהם מתקשים.
f0caa87cd25b	4	earn	להרוויח; לזכות ב	מרוויחה	She <b>earns</b> a comfortable salary from her job at the bank.	היא <b>מרוויחה</b> משכורת נוחה מהעבודה שלה בבנק.
33cefa042fc3	4	earthquake	רעידת אדמה	רעידת האדמה	The <b>earthquake</b> damaged buildings and disrupted lives throughout the region.	<b>רעידת האדמה</b> פגעה בבניינים ושיבשה חיים ברחבי האזור.
f8ae539c183a	4	emperor	שליט, קיסר	הקיסר	The <b>emperor</b> ruled over a vast empire with millions of subjects.	<b>הקיסר</b> שלט באימפריה עצומה עם מיליוני נתינים.
e87e83c11c56	4	enable	לאפשר	מאפשרת	Modern technology <b>enables</b> us to communicate with people worldwide instantly.	הטכנולוגיה המודרנית <b>מאפשרת</b> לנו לתקשר עם אנשים בכל העולם באופן מיידי.
827d4dd2e182	4	enzyme	אנזים	אנזימים	<b>Enzymes</b> help break down food during the digestive process completely.	<b>אנזימים</b> מסייעים לפרק את המזון לחלוטין במהלך תהליך העיכול.
0410c3376991	4	epic	אפוס; אפי	האפוס	The ancient <b>epic</b> tells the incredible story of a hero's long journey.	<b>האפוס</b> העתיק מספר את סיפורו המדהים של המסע הארוך של הגיבור.
627d1bacb797	4	epidemic	מגיפה, אפידמיה	המגיפה	During the <b>epidemic</b>, hospitals were overwhelmed with seriously ill patients.	במהלך <b>המגיפה</b>, בתי החולים היו עמוסים בחולים במצב קשה.
ecdc08b25552	4	evidence	ראיה	הראיה	The <b>evidence</b> at the scene proved he was completely innocent.	<b>הראיה</b> בזירה הוכיחה שהוא חף מפשע לחלוטין.
290816a0ccc3	4	evolve	להתפתח	מתפתחים	Species <b>evolve</b> slowly over millions of years to adapt to environments.	מינים <b>מתפתחים</b> לאט על פני מיליוני שנים כדי להסתגל לסביבתם.
a130a3c6a6ef	4	examination	בחינה, בדיקה	לבחינה	She studied for weeks to prepare for the difficult final <b>examination</b>.	היא למדה שבועות כדי להתכונן <b>לבחינה</b> הסופית הקשה.
546cc5413533	4	examine	לבחון	בחן	The doctor <b>examined</b> her throat to see if it was infected.	הרופא <b>בחן</b> את הגרון שלה כדי לראות אם הוא נגוע.
ce4277439613	4	excite	לרגש, לעורר	ריגשו	The news about the surprise party <b>excited</b> the young children greatly.	החדשות על מסיבת ההפתעה <b>ריגשו</b> מאוד את הילדים הקטנים.
ad60d8265afc	4	exclusive	בלעדי; יוקרתי	הבלעדי	Only members with special invitations can enter this <b>exclusive</b> club here.	רק חברים עם הזמנות מיוחדות יכולים להיכנס למועדון <b>הבלעדי</b> הזה.
3ae2888aea90	4	expectations	ציפיות	הציפיות	Her <b>expectations</b> for the new job were high but realistic.	<b>הציפיות</b> שלה מהעבודה החדשה היו גבוהות אך ריאליות.
b8bdf09db460	4	explore	לחקור, ללמוד	חוקרים	Scientists <b>explore</b> caves to understand life in underground ecosystems completely.	מדענים <b>חוקרים</b> מערות כדי להבין לחלוטין את החיים במערכות האקולוגיות התת-קרקעיות.
17c41050f3b0	4	explosive	נפיץ, חומר נפץ	בחומרי נפץ	<b>Explosive</b> materials must be handled with extreme care and safety.	יש לטפל <b>בחומרי נפץ</b> בזהירות ובבטיחות מרביות.
274de7dd670d	4	export	ייצוא	מייצאת	Japan <b>exports</b> high-quality cars to countries around the entire world.	יפן <b>מייצאת</b> מכוניות איכותיות למדינות ברחבי העולם.
dee1eb7059c4	4	external	חיצוני	חיצוניים	<b>External</b> conditions like weather affect how plants grow and develop.	תנאים <b>חיצוניים</b> כמו מזג האוויר משפיעים על האופן שבו צמחים גדלים ומתפתחים.
41c82ff646d7	4	fairy	פיה	הפיה	The <b>fairy</b> waved her magic wand and disappeared into the forest.	<b>הפיה</b> נופפה בשרביטה הקסום ונעלמה ביער.
454cda136ede	4	fairytale	אגדה	האגדה	The <b>fairytale</b> told of a princess locked in a tall tower.	<b>האגדה</b> סיפרה על נסיכה כלואה במגדל גבוה.
d24ccc48baee	4	familiar	מוכר	המוכר	He instantly recognized the <b>familiar</b> voice of his childhood best friend.	הוא זיהה מיד את הקול <b>המוכר</b> של חברו הכי טוב מהילדות.
083322d9c133	4	fatal	קטלני, ממית; הרה-אסון, גורלי	הקטלנית	The <b>fatal</b> crash killed the driver instantly and injured two passengers.	התאונה <b>הקטלנית</b> הרגה את הנהג במקום ופצעה שני נוסעים.
d23d0669b331	4	fate	גורל, חרץ גורל	גורלם	Once they made that choice, their <b>fate</b> was sealed forever.	ברגע שקיבלו את ההחלטה הזו, <b>גורלם</b> נחתם לעד.
221b971a5200	4	filmmaker	יוצר סרטים	יוצרת הסרטים	The <b>filmmaker</b> spent three years directing her independent first movie.	<b>יוצרת הסרטים</b> בילתה שלוש שנים בבימוי סרטה העצמאי הראשון.
45d2ad797c30	4	flexible	גמיש	הגמישה	The <b>flexible</b> rubber band can stretch far without breaking easily.	הגומייה <b>הגמישה</b> יכולה להימתח הרבה בלי להישבר בקלות.
e796cbc1bc47	4	folklore	פולקלור; מסורת עממית	הפולקלור	<b>Folklore</b> includes myths and legends passed through generations by tradition.	<b>הפולקלור</b> כולל מיתוסים ואגדות שעוברים מדור לדור במסורת.
76070f80e404	4	fork	מזלג; הסתעפות	במזלג	Use a <b>fork</b> to eat the salad, not a big spoon.	השתמש <b>במזלג</b> כדי לאכול את הסלט, לא בכף גדולה.
31903d19c57b	4	formal	רשמי	רשמית	A <b>formal</b> dinner requires wearing nice clothes and excellent manners.	ארוחת ערב <b>רשמית</b> מחייבת בגדים נאים ונימוסים מצוינים.
8599a308ff27	4	fortune	מזל; עושר	במזל	By great <b>fortune</b>, she found the ring she had lost.	<b>במזל</b> גדול, היא מצאה את הטבעת שאיבדה.
893da5edba60	4	frustration	תסכול	התסכול	His <b>frustration</b> grew as the computer kept crashing repeatedly.	<b>התסכול</b> שלו גבר ככל שהמחשב המשיך לקרוס שוב ושוב.
a5cbcea7fbe0	4	fundamental	בסיסי (פונדמנטלי)	בסיסיים	Reading and math are <b>fundamental</b> skills for all students.	קריאה וחשבון הם כישורים <b>בסיסיים</b> לכל התלמידים.
070180872ae9	4	generate	לייצר, להפיק, ליצור	מייצרות	Wind turbines <b>generate</b> electricity for thousands of local homes.	טורבינות רוח <b>מייצרות</b> חשמל עבור אלפי בתים מקומיים.
b39cfbe1b54e	4	genre	ז'אנר, סוגה	הז אנר	Science fiction is her favorite <b>genre</b> because of adventure stories.	מדע בדיוני הוא <b>הז'אנר</b> האהוב עליה בזכות סיפורי ההרפתקאות.
8d7abac30c5b	4	given	נתון	בהינתן	<b>Given</b> the difficult circumstances, she made the best possible decision.	<b>בהינתן</b> הנסיבות הקשות, היא קיבלה את ההחלטה הטובה ביותר האפשרית.
e7eb040435f6	4	grammatical	דקדוקי	דקדוקית	Her essay was <b>grammatical</b>, but the ideas felt disorganized and unclear.	החיבור שלה היה תקין מבחינה <b>דקדוקית</b>, אך הרעיונות הרגישו לא מסודרים ולא ברורים.
804592c1a2b8	4	grand	גדול, כולל, מרשים	המרשים	The <b>grand</b> hotel had beautiful rooms and excellent service.	המלון <b>המרשים</b> הציע חדרים יפים ושירות מצוין.
24de4cc778d9	4	handle	לטפל, להתמודד; ידית	התמודדה	She <b>handled</b> the crisis calmly and solved all problems successfully.	היא <b>התמודדה</b> עם המשבר בשלווה ופתרה את כל הבעיות בהצלחה.
9e84456061ad	4	heartbeat	דופק, פעימות לב	הדופק	You can feel your <b>heartbeat</b> by placing your hand on your chest.	אתה יכול להרגיש את <b>הדופק</b> שלך אם תניח את היד על החזה.
7aa01dd58cd1	4	historian	היסטוריון	ההיסטוריון	The <b>historian</b> wrote a detailed book about ancient Roman life.	<b>ההיסטוריון</b> כתב ספר מפורט על החיים ברומא העתיקה.
5327202bc27a	4	hold back	להתאפק, לעכב, למנוע	תדחיק	Don't <b>hold back</b> your feelings; it's good to express yourself.	אל <b>תדחיק</b> את הרגשות שלך; טוב לבטא את עצמך.
6bd6ec9dcb65	4	horn	צופר; קרן (של בע"ח)	הצופר	The car's <b>horn</b> warned pedestrians that the driver was coming.	<b>הצופר</b> של המכונית הזהיר הולכי רגל שהנהג מתקרב.
a4dc2a2ab8d3	4	humorous	מצחיק, הומוריסטי	ההומוריסטיות	His <b>humorous</b> jokes made everyone at the party laugh loudly.	הבדיחות <b>ההומוריסטיות</b> שלו גרמו לכולם במסיבה לצחוק בקול רם.
ea15f2c4d51d	4	hybrid	כלאיים, היברידי	היברידית	The car is a <b>hybrid</b> that runs on both electricity and gasoline.	המכונית היא <b>היברידית</b> שפועלת הן על חשמל והן על בנזין.
ea60a4f61b34	4	iceberg	הר קרח	מהקרחון	The ship avoided the massive <b>iceberg</b> floating in the Arctic waters.	הספינה נמנעה <b>מהקרחון</b> הענק שצף במי הארקטיקה.
32900ac680d2	4	importance	חשיבות	החשיבות	The doctor explained the <b>importance</b> of drinking enough water every day.	הרופא הסביר את <b>החשיבות</b> של שתיית מספיק מים בכל יום.
a86588f6dc7c	4	improve	לשפר; להשתפר	ישפר	Daily practice will <b>improve</b> your skills significantly over time.	תרגול יומי <b>ישפר</b> את הכישורים שלך משמעותית עם הזמן.
7ec8dee939de	4	innocent	תמים; חף מפשע	התמים	The <b>innocent</b> child did not understand the complicated situation.	הילד <b>התמים</b> לא הבין את המצב המסובך.
35f62e5a24f3	4	inspire	לעורר השראה	יעורר השראה	Her success story will <b>inspire</b> many young people to pursue their dreams.	סיפור ההצלחה שלה <b>יעורר השראה</b> אצל צעירים רבים לרדוף אחר חלומותיהם.
2450cd7903a9	4	interact	ליצור אינטראקציה, לתקשר, להשפיע הדדית	מתקשרים	Students <b>interact</b> with each other during group projects in class.	תלמידים <b>מתקשרים</b> זה עם זה במהלך פרויקטים קבוצתיים בכיתה.
5bc7cb0a12a5	4	introduction	הקדמה, מבוא, היכרות	ההקדמה	The book's <b>introduction</b> explains the author's main ideas clearly.	<b>ההקדמה</b> של הספר מסבירה בבירור את הרעיונות המרכזיים של המחבר.
6c7972de619a	4	laboratory	מעבדה	במעבדה	The scientist conducted experiments in the <b>laboratory</b> each day.	המדען ביצע ניסויים <b>במעבדה</b> כל יום.
4e30663cbf15	4	legend	אגדה; מקרא מפה	האגדה	The <b>legend</b> says that a dragon once guarded this mountain.	<b>האגדה</b> מספרת שדרקון שמר פעם על ההר הזה.
14cd04112f51	4	load	מטען, להעמיס; לטעון	מעמיסים	Workers <b>load</b> the truck with boxes before departure.	עובדים <b>מעמיסים</b> את המשאית בקופסאות לפני היציאה.
5890237175b7	4	logic	הגיון	ההיגיון	Her <b>logic</b> for choosing that option made perfect sense.	<b>ההיגיון</b> שלה לבחירת האפשרות הזו היה מובן לחלוטין.
eeea98ed54b6	4	march	לצעוד	צועדים	Soldiers <b>march</b> in formation down the street during the parade.	חיילים <b>צועדים</b> במסדר לאורך הרחוב במהלך המצעד.
e671dafb61f1	4	marketing	שיווק, לשווק	השיווק	The <b>marketing</b> department created a new advertisement campaign.	מחלקת <b>השיווק</b> השיקה קמפיין פרסום חדש.
42fbf7bc7caf	4	mate	בן זוג, חבר; להזדווג	החבר	My <b>mate</b> helped me carry the heavy boxes up the stairs.	<b>החבר</b> שלי עזר לי לשאת את הקופסאות הכבדות במעלה המדרגות.
88cef83a48c7	4	mind	לשים לב, לשמור; שכל; אכפת	שים לב	<b>Mind</b> the gap when you exit the train.	<b>שים לב</b> לרווח כשאתה יורד מהרכבת.
8da27bb64e7d	4	missile	טיל	הטילים	The military tested the new <b>missile</b> system yesterday.	הצבא בדק אתמול את מערכת <b>הטילים</b> החדשה.
e23201bf3dc2	4	monument	אנדרטה	האנדרטה	The <b>monument</b> stands in the center of the town square.	<b>האנדרטה</b> ניצבת במרכז כיכר העיר.
fdc186d30080	4	motivate	לדרבן	מדרבנים	Good teachers <b>motivate</b> their students to work hard.	מורים טובים <b>מדרבנים</b> את התלמידים שלהם לעבוד קשה.
7e636f7dbf86	4	mountaintop	פסגת הר	מפסגת	From the <b>mountaintop</b>, you could see for miles around.	<b>מפסגת</b> ההר, אפשר היה לראות למרחקים גדולים סביב.
753c24542717	4	narrow	צר; לצמצם	הצר	The <b>narrow</b> hallway required us to walk single file.	המסדרון <b>הצר</b> חייב אותנו ללכת בטור עורפי.
012bd6434ff0	4	nickname	כינוי	הכינוי	His <b>nickname</b> was Tiger because he was so competitive.	<b>הכינוי</b> שלו היה טיגריס כי הוא היה תחרותי מאוד.
2efde8e5ae2e	4	numeric	מספרי	המספרי	The <b>numeric</b> code on the package contains important information.	הקוד <b>המספרי</b> על החבילה מכיל מידע חשוב.
ce72e0bfeef2	4	nut	אגוז	האגוז	She cracked the <b>nut</b> with a special metal tool.	היא פיצחה את <b>האגוז</b> בכלי מתכת מיוחד.
55c5eb817ff8	4	olive	זית	הזית	The <b>olive</b> trees grew throughout the Mediterranean region.	עצי <b>הזית</b> צמחו ברחבי אזור הים התיכון.
c828f42381ea	4	operation	ניתוח; מבצע, פעולה	לניתוח	She needs an <b>operation</b> to fix her injured knee.	היא זקוקה <b>לניתוח</b> כדי לתקן את הברך הפצועה שלה.
e8d4e8b77f77	4	overall	כולל, באופן כללי	הכוללת	The <b>overall</b> quality of the meal was excellent.	האיכות <b>הכוללת</b> של הארוחה הייתה מצוינת.
cbc5688a5ee8	4	painter	צייר	הצייר	The famous <b>painter</b> displayed his work at the gallery.	<b>הצייר</b> המפורסם הציג את עבודתו בגלריה.
3513b5590a29	4	party	מפלגה; מסיבה	המפלגה	The new political <b>party</b> held its first public meeting last week.	<b>המפלגה</b> הפוליטית החדשה קיימה את המפגש הציבורי הראשון שלה בשבוע שעבר.
43b5caef4cc7	4	pathology	פתולוגיה, ענף ברפואה	הפתולוגיה	The <b>pathology</b> report confirmed that the tumor was not cancerous.	דוח <b>הפתולוגיה</b> אישר שהגידול אינו סרטני.
6c5b2e4217ef	4	penalty	עונש; קנס	עונשין	The referee gave a <b>penalty</b> kick to the other team.	השופט נתן בעיטת <b>עונשין</b> לקבוצה היריבה.
00f3d418f4c5	4	post	להציב, למנות ; עמדה, משרה, תפקיד; עמוד; לפרסם ; פרסום; לשלוח בדואר ; דואר	מינתה	The company <b>posted</b> her to a new branch in another city.	החברה <b>מינתה</b> אותה לסניף חדש בעיר אחרת.
bd4e7baa4eec	4	pregnancy	הריון	ההריון	She experienced severe morning sickness during the early months of her <b>pregnancy</b>.	היא סבלה מבחילות בוקר קשות בחודשים הראשונים של <b>ההריון</b> שלה.
0ac046828dc6	4	preparation for	הכנות לקראת	ההכנות לקראת	<b>Preparation for</b> the concert required weeks of hard practice.	<b>ההכנות לקראת</b> ההופעה דרשו שבועות של תרגול קשה.
e83d76301037	4	presence	נוכחות	נוכחותה	Her <b>presence</b> in the room made everyone feel calm.	<b>נוכחותה</b> בחדר גרמה לכולם להרגיש רגועים.
ebb6fff0deea	4	pretend	להעמיד פנים	מעמידים פנים	Children often <b>pretend</b> to be superheroes when they play in the yard.	ילדים לעיתים קרובות <b>מעמידים פנים</b> שהם גיבורי על כשהם משחקים בחצר.
e53106d81450	4	previously	הקודם, לפני-כן	לפני כן	We <b>previously</b> discussed this issue at last month's meeting.	דנו בנושא הזה <b>לפני כן</b> בפגישה של החודש שעבר.
1ed4db67e717	4	priest	כומר; כהן	הכומר	The <b>priest</b> performed the wedding ceremony in the old stone church.	<b>הכומר</b> ערך את טקס החתונה בכנסיית האבן העתיקה.
ac10f383fc4d	4	prime	ראשוני, עיקרי, מובחר	העיקרית	The <b>prime</b> reason for the meeting was to discuss the budget cuts.	הסיבה <b>העיקרית</b> לפגישה הייתה לדון בקיצוצים בתקציב.
c4a10819d713	4	primitive	קדום, חסר תרבות	קדומים	<b>Primitive</b> humans hunted animals with simple stone tools and spears.	בני אדם <b>קדומים</b> צדו חיות בעזרת כלי אבן וחניתות פשוטים.
16ce3a9230a1	4	prove	להוכיח; להתברר	הוכיח	The scientist <b>proved</b> his theory was correct through careful experiments.	המדען <b>הוכיח</b> שהתאוריה שלו נכונה באמצעות ניסויים קפדניים.
c55d7faacd41	4	publish	לפרסם, להוציא לאור	פרסמה	The author <b>published</b> her novel after working on it for five years.	הסופרת <b>פרסמה</b> את הרומן שלה אחרי שעבדה עליו חמש שנים.
2b90290e3291	4	purchase	לקנות, לרכוש	קניתי	I <b>purchased</b> a new laptop computer for work yesterday.	<b>קניתי</b> מחשב נייד חדש לצורכי עבודה אתמול.
b77a03c17b2f	4	quote	ציטוט	בציטוט	She began her essay with a famous <b>quote</b> from a poet.	היא פתחה את החיבור שלה <b>בציטוט</b> מפורסם של משורר.
8b31a14a7daa	4	race	מרוץ; גזע	למרוץ	The runners prepared for the <b>race</b> by stretching and warming up.	הרצים התכוננו <b>למרוץ</b> באמצעות מתיחות וחימום.
e2b48fe10775	4	rainfall	ירידת גשמים	ירידת הגשמים	The <b>rainfall</b> last week was heavy enough to cause some flooding.	<b>ירידת הגשמים</b> בשבוע שעבר הייתה חזקה מספיק כדי לגרום להצפות.
45ecdad770e4	4	rank	דרגה	בדרגת	She earned the <b>rank</b> of captain after serving in the military.	היא זכתה <b>בדרגת</b> קפטן אחרי ששירתה בצבא.
d06bf05a04d2	4	rapid	מהיר; אשד, זרם מים מהיר בנהר	מהירים	The river had <b>rapid</b> currents that made crossing very dangerous.	לנהר היו זרמים <b>מהירים</b> שהפכו את החצייה למסוכנת מאוד.
386eacbdc705	4	rational	הגיוני, רציונאלי	ההגיונית	His <b>rational</b> approach to the problem helped solve it quickly.	הגישה <b>ההגיונית</b> שלו לבעיה עזרה לפתור אותה במהירות.
46565500ed89	4	reader	קורא	הקורא	The <b>reader</b> finished the book in just two days.	<b>הקורא</b> סיים את הספר תוך יומיים בלבד.
e192f6dd939d	4	rebel	מורד	המורד	The <b>rebel</b> refused to follow the strict rules of his boarding school.	<b>המורד</b> סירב לציית לכללים המחמירים של הפנימייה שלו.
90d29b5f8a95	4	recordings	הקלטות	ההקלטות	The <b>recordings</b> of the concert were released as an album.	<b>ההקלטות</b> של הקונצרט שוחררו כאלבום.
e4d4159b10a6	4	recycle	למחזר	ממחזרים	We <b>recycle</b> paper, plastic, and glass to protect the environment.	אנחנו <b>ממחזרים</b> נייר, פלסטיק וזכוכית כדי לשמור על הסביבה.
4176d3b245c1	4	redhead	ג'ינג'י (סלנג)	הג ינג ית	The <b>redhead</b> stood out in the crowd with her bright red hair.	<b>הג'ינג'ית</b> בלטה בקהל עם שיערה האדום הבוהק.
8c78c551f6c9	4	reform	שינוי, רפורמה	הרפורמה	The new education <b>reform</b> changed how schools teach mathematics.	<b>הרפורמה</b> החינוכית החדשה שינתה את אופן הוראת המתמטיקה בבתי הספר.
444e4ef28eed	4	regret	להצטער, להתחרט, חרטה	מתחרט	I <b>regret</b> not calling my grandmother before she moved away.	אני <b>מתחרט</b> שלא התקשרתי לסבתא שלי לפני שעברה דירה.
2b27435a33d4	4	relations	יחסים	היחסים	The business <b>relations</b> between the two companies are improving.	<b>היחסים</b> העסקיים בין שתי החברות משתפרים.
5f2232a79a11	4	reorganize	לארגן מחדש	ארגנו מחדש	We <b>reorganized</b> the files to make them easier to find.	<b>ארגנו מחדש</b> את הקבצים כדי שיהיה קל יותר למצוא אותם.
8d66b3e368e4	4	replacement	מחליף	המחליף	His <b>replacement</b> started work on Monday at the company.	<b>המחליף</b> שלו התחיל לעבוד בחברה ביום שני.
c265ff552fe2	4	reply	להשיב	השיבה	She <b>replied</b> to his email within an hour of receiving it.	היא <b>השיבה</b> למייל שלו תוך שעה מרגע קבלתו.
a801501df2a4	4	resource	משאב	המשאב	Water is our most important natural <b>resource</b> for survival.	מים הם <b>המשאב</b> הטבעי החשוב ביותר שלנו להישרדות.
f9dee7b41179	4	rest	מנוחה; יתר, שאר	למנוחה	After the long trip, she needed <b>rest</b> to recover.	אחרי הנסיעה הארוכה היא נזקקה <b>למנוחה</b> כדי להתאושש.
b9caeddf23f7	4	retroactive	רטרואקטיבי, למפרע	רטרואקטיבית	The pay raise was <b>retroactive</b> to January of this year.	העלאת השכר הייתה <b>רטרואקטיבית</b> לינואר של השנה הזו.
2b9b4c59f572	4	rough	קשה, מחוספס	המחוספס	The <b>rough</b> surface of the stone hurt his skin.	המשטח <b>המחוספס</b> של האבן פצע את עורו.
4276f5880539	4	ruin	להרוס; חורבה	הרסו	Poor decisions <b>ruined</b> his chances of getting a good job.	החלטות גרועות <b>הרסו</b> את סיכוייו לקבל עבודה טובה.
ab7ba5f9c34b	4	sacrifice	להקריב, קורבן	מקריבים	Parents <b>sacrifice</b> their time and money for their children.	הורים <b>מקריבים</b> את זמנם וכספם למען ילדיהם.
54b0918f45c7	4	savanna	ערבה, סוואנה	בסוואנה	Many wild animals live in the African <b>savanna</b>.	חיות בר רבות חיות <b>בסוואנה</b> האפריקאית.
e8974581fb1a	4	seek	לחפש, לתור אחר; לשאוף ל-; לבקש	מחפשת	The police <b>seek</b> information about the missing person.	המשטרה <b>מחפשת</b> מידע על האדם הנעדר.
a767081b2a7a	4	segment	קטע, מקטע	הקטע	The final <b>segment</b> of the show featured surprising interviews with the winners.	<b>הקטע</b> האחרון של התוכנית כלל ראיונות מפתיעים עם הזוכים.
d69ee5f9f8f5	4	select	לבחור	בוחרים	Students <b>select</b> which classes they want to take next year.	תלמידים <b>בוחרים</b> באילו שיעורים הם רוצים ללמוד בשנה הבאה.
